% Model,COMSOL_Three_Pipes_Phase_2.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 22 2026, 17:03"
% Table,c_CNN_Outlet_Phase_2 - Surface Average 2
% Time (s),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3)
8.1,2.1953975464979299E-38,2.940513505956054E-35,-2.1868636431237575E-31
8.200000000000001,5.991236411042327E-38,9.753971164757765E-35,-3.1642305918619683E-31
8.3,4.326854207814625E-38,3.982263825014502E-35,-4.757249208710824E-31
8.4,-9.492178317943528E-38,-2.91894890983656E-34,-7.305864941502406E-31
8.5,-4.216029042099059E-37,-1.0457616819047457E-33,-1.1150023238068723E-30
8.6,2.3786621590913854E-37,1.7105377959686295E-33,-1.4550947993680628E-30
8.700000000000001,5.342707715735667E-37,6.285209167261555E-33,-2.2030522699752122E-30
8.8,-3.385117293554045E-36,4.09393876733774E-33,-4.331968219832962E-30
8.9,-1.5373026035811058E-35,-1.3447587068438735E-32,-8.814936133145973E-30
9,-3.9282183511534817E-35,-5.492368200470386E-32,-1.6625049494118905E-29
9.1,1.136979167164973E-34,-1.0406177717485939E-31,-2.8725501603666207E-29
9.200000000000001,3.423328665974467E-34,-2.3636609711317847E-31,-5.955012032157316E-29
9.3,2.077025663428662E-34,-5.980861455855956E-31,-1.3027795097034856E-28
9.4,-7.291130838356715E-34,-1.3354714263580489E-30,-2.6208803887250203E-28
9.5,-2.9070341837265964E-33,-2.594771443196476E-30,-4.761594293505432E-28
9.600000000000001,-9.900581809426412E-26,-3.65749800153881E-30,-9.44825048079136E-28
9.700000000000001,-4.705731317209773E-25,-7.840137418359688E-30,-2.0666440475377488E-27
9.8,-1.226526754719059E-24,-2.1341400964730068E-29,-4.202134813256137E-27
9.9,-2.4786914980203916E-24,-5.035999991172094E-29,-7.711815730764056E-27
10,-4.338892172556865E-24,-1.0109464553040318E-28,-1.295620518559126E-26
10.100000000000001,-6.808159126228326E-24,-7.258095928350567E-29,-1.0745362496044439E-26
10.200000000000001,-1.0002425244943594E-23,-1.1913049973325024E-28,-1.2064310727843349E-26
10.3,-1.4205869146648304E-23,-6.298558837999372E-28,-4.753601388763642E-26
10.4,-1.9702669449288007E-23,-1.9938697284038646E-27,-1.4778343598207205E-25
10.5,-2.6777004770808236E-23,-4.6002846504653335E-27,-3.4342954101779897E-25
10.600000000000001,-4.21458474621507E-23,-5.494844861310463E-27,-5.198435297606509E-25
10.700000000000001,-6.438111801693899E-23,-9.042536157634843E-27,-8.420749487284552E-25
10.8,-8.154941726714344E-23,-2.6611333534412854E-26,-1.7602672805558543E-24
10.9,-8.171734604473427E-23,-6.95692119866187E-26,-3.724564007877488E-24
11,-5.295150518168162E-23,-1.4928414650922701E-25,-7.185108613327997E-24
11.100000000000001,-3.933591850612319E-22,-2.080923584619478E-25,-1.1899035290227793E-23
11.200000000000001,-1.0159265651083219E-21,-3.2293255413330976E-25,-2.0507828179790872E-23
11.3,-1.1810385797175091E-21,-7.070764359115184E-25,-3.778815568649261E-23
11.4,-1.4908016328334903E-22,-1.5737957061847763E-24,-6.851668621480835E-23
11.5,2.8195637497996E-21,-3.1363620673412846E-24,-1.1747008816921327E-22
11.600000000000001,8.780833286802626E-21,-5.4653641675457925E-24,-1.9604766020095488E-22
11.700000000000001,2.107174744035604E-20,-9.297351357061146E-24,-3.3515206202907958E-22
11.8,4.385353957410442E-20,-1.5844536391422922E-23,-5.688150036597686E-22
11.9,8.128744305169224E-20,-2.6319132026166598E-23,-9.310681950992027E-22
12,1.3753469123676403E-19,-4.1933351016827796E-23,-1.4559433463535629E-21
12.100000000000001,2.307658728894967E-19,-7.101105976442965E-23,-2.4672397132410594E-21
12.200000000000001,4.313014450597018E-19,-1.0200683056981135E-22,-4.1331279775882506E-21
12.3,8.21527443545482E-19,-1.063289350382358E-22,-6.254196988413949E-21
12.4,1.4838299041449415E-18,-5.538564477496569E-23,-8.631035594736943E-21
12.5,2.5005948626561823E-18,7.941476861473664E-23,-1.1064232645576017E-20
12.600000000000001,4.670895627540349E-18,-7.460732083174759E-23,-2.3457369313923228E-20
12.700000000000001,1.1013028241184091E-17,5.558394594060568E-22,-4.1374466405788214E-20
12.8,2.4938212840273925E-17,4.168303335447472E-21,-4.310677221971797E-20
12.9,4.985766956149637E-17,1.296033253341181E-20,-6.945535054259288E-21
13,8.918261854153792E-17,2.9129475279418415E-20,8.881799679204082E-20
13.100000000000001,1.5436085372254762E-16,3.409614135057983E-20,1.0967981632441189E-19
13.200000000000001,3.138080191608818E-16,6.544719319806359E-20,2.219259363747735E-19
13.3,6.563871101645428E-16,2.096298580590702E-19,8.984501383846049E-19
13.4,1.2709611220415334E-15,5.530913631707996E-19,2.612146203795388E-18
13.5,2.2463930500998525E-15,1.1822789357704516E-18,5.835907914048597E-18
13.600000000000001,3.610707989399737E-15,6.130370132323017E-19,1.000426835593156E-17
13.700000000000001,6.492297356878423E-15,6.494180355823394E-17,1.8856477952883997E-17
13.8,1.2630573630659522E-14,2.9562591608596577E-16,3.9322506491326296E-17
13.9,2.376494928886659E-14,7.941227121116182E-16,7.833232375767877E-17
14,4.1634836809623246E-14,1.6618895291503818E-15,1.4281589953836172E-16
14.100000000000001,6.404538385459409E-14,1.6237229507610494E-15,2.51047820963243E-16
