% Model,COMSOL_Three_Pipes_Phases_1_to_4.mph
% Version,COMSOL 6.3.0.420
% Date,"Mar 4 2026, 09:32"
% Table,c_CNN_Outlet_Phase_2 - Surface Average 2
% Time (s),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3)
2.3000000000000003,-1.9617048740080798E-56,-2.41142292706652E-60,-1.931948148186235E-60,5.943644868001153E-59,2.792658476677923E-53,1.4457272680354115E-55,4.5227037887039545E-54,3.9799395100902624E-55,1.3398972946737447E-53,1.290549814839597E-57,5.958020314869744E-56,1.0297264903139396E-56,1.8901386965768843E-56,1.6688918549746264E-55
2.4000000000000004,-4.0148972826328912E-56,-5.500422548272497E-60,-4.9557937148179756E-60,3.6159331894239726E-59,6.688006413402522E-55,8.1666037106754E-56,2.3160434320543646E-54,1.7029357597761864E-55,4.983252649523268E-54,3.817326408676247E-58,2.6495862639549717E-56,3.7154221101880336E-57,1.2040302273312288E-56,2.8275841719806884E-56
2.5,-7.38886277962387E-56,-1.092690402319007E-59,-1.037835068998637E-59,-5.215716417601368E-59,-7.59222753505834E-53,-1.4646819941617194E-55,-5.329886953747456E-54,-5.737449755720912E-55,-2.176394453716075E-53,-2.3944235941876476E-57,-8.277501589068936E-56,-1.7031218170919302E-56,-1.490514733537339E-56,-3.776523607083558E-55
2.6,2.0330282086376483E-56,1.1005411306951525E-59,-1.1863033729224869E-59,4.8446480745583846E-55,1.0648733593657164E-49,6.802226243587944E-52,2.0426732683082728E-50,1.7846856679724625E-51,2.6316547249238944E-50,1.5313729985603216E-53,3.950732908210064E-52,5.908171092268672E-53,1.5309356574394248E-52,1.0209765042722826E-51
2.7,1.6124970710385561E-55,4.664464344714337E-59,-1.530231733760755E-59,1.3428817033391456E-54,3.034224232375361E-49,1.927279404995179E-51,5.721886886677689E-50,4.9878326202626763E-51,7.102167807958636E-50,4.378377867709967E-53,1.0996419492270963E-51,1.6261555685069695E-52,4.373472128862444E-52,2.861722986975119E-51
2.8000000000000003,1.1603179821278204E-56,3.0281697836457835E-59,-3.9746242688971136E-59,1.6821089326014743E-54,4.06274936261331E-49,2.5489500822339363E-51,7.358175565564948E-50,6.376711889419814E-51,8.251406031630976E-50,5.917841683818936E-53,1.3918019755212512E-51,1.998519566220133E-52,5.900193250236536E-52,3.6851671226256556E-51
2.9000000000000004,-7.658757671962752E-55,-1.0379252008603277E-58,-1.0424485095715225E-58,6.0905689735856596E-55,2.3059047164174597E-49,1.3531608645992593E-51,3.272607004122095E-50,2.719168252968617E-51,9.214125729214014E-51,3.5268309656166676E-53,5.497321450223424E-52,6.00583602927889E-53,3.4838319090025185E-52,1.6546142381017376E-51
3,-2.5084536013837147E-54,-4.212871048812545E-58,-2.2784818331598686E-58,-2.7693640002738294E-54,-4.0808537398742654E-49,-2.85216203938463E-51,-1.0213751098498737E-49,-9.21695351156609E-51,-2.0045769391189498E-49,-5.417587768167376E-53,-2.1483887669507428E-51,-3.6749778208082025E-52,-5.502879007398713E-52,-5.0666303397187454E-51
3.1,2.643446287264229E-53,1.609727481878131E-56,8.89146090222806E-57,1.8554308127315773E-34,6.880100020976667E-46,1.1279437999822794E-47,3.162225372982455E-46,2.337075284166446E-47,4.8076962164104425E-46,3.0545143642509784E-49,8.416445119046796E-48,2.416492436854266E-48,3.0100093019236876E-48,1.8826021276095828E-47
3.2,6.988159727012666E-53,4.395418556754664E-56,2.485756464741039E-56,5.283977280601638E-34,1.9021146808639016E-45,3.1811185431601626E-47,8.78781888478191E-46,6.515973673257824E-47,1.3421366665789584E-45,8.65653291305024E-49,2.3117928913791393E-47,6.906738132604677E-48,8.541879524097075E-48,5.349938983188089E-47
