% Model,COMSOL_Single_Pipe.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 16 2026, 18:20"
% Table,c_Pipe_1_Sensor - c_Pipe_1_Sensor
% Time (s),c_Pipe_1 (mol/m^3),c_Pipe_1_Biff (mol/m^3),c_Pipe_1_Biff_Phase_2 (mol/m^3)
3.94,0.9597265143474182,0.8911284903957511,0.8410177990957988
3.95,0.9600700298999645,0.8918618703594113,0.8419637954738198
3.96,0.9604104600675716,0.8925890488078684,0.8429031448002225
3.97,0.9607477765362642,0.8933100257411295,0.8438358470750063
3.98,0.9610819793060836,0.8940255101538442,0.8447619022981698
3.99,0.9614130683770019,0.8947359887673211,0.8456820343680146
4,0.9617410437490288,0.8954406728228238,0.8465961364405737
4.01,0.9620659054221551,0.8961395623203464,0.8475039032798469
4.0200000000000005,0.962373028117325,0.8968326572598864,0.8484053348858309
4.03,0.962676741118263,0.8975199576414447,0.8493004312585297
4.04,0.9629804541192005,0.8982014634650248,0.8501891923979439
4.05,0.9632841671201354,0.8988771747306161,0.8510720640672551
4.0600000000000005,0.9635878801210781,0.8995485616982527,0.8519494753044523
4.07,0.9638915931220081,0.900214572900481,0.8528208782309202
4.08,0.9641953061229578,0.9008751528641131,0.8536862728466299
4.09,0.9644764272817169,0.9015303015891285,0.8545456591515922
4.1,0.9647476474332897,0.9021800190755439,0.8553990371458214
4.11,0.9650188675848629,0.9028243053233529,0.8562465361458437
4.12,0.9652900877364368,0.903463160332553,0.8570889291175524
4.13,0.9655613078880054,0.9040972597877408,0.8579255868088645
4.14,0.9658325280395691,0.9047269283501291,0.8587565092197819
4.15,0.9661037481911453,0.9053515208792398,0.8595816963503052
4.16,0.9663749683427185,0.9059710373750532,0.8604011482004326
4.17,0.9666461884942903,0.906585477837575,0.861214864770157
4.18,0.9669174086458565,0.9071948422668147,0.8620237144472107
4.19,0.9671886287974275,0.9077991306627555,0.8628271982360018
4.2,0.9674598489490001,0.9083983430254091,0.8636252207542908
4.21,0.9677310691005682,0.9089939016074763,0.8644177820020779
4.22,0.9680022892521386,0.9095847243474132,0.8652048819793574
4.23,0.9682610637335118,0.910170807556291,0.8659865206861496
4.24,0.9685039263863229,0.9107521512341168,0.8667633007252974
4.25,0.9687467890391475,0.9113287553808767,0.8675352073108529
4.26,0.968989651691961,0.9119006199965881,0.86830193231452
4.2700000000000005,0.9692325143447799,0.9124677450812386,0.8690634757362996
4.28,0.9694753769975941,0.913030756191649,0.869819837576197
4.29,0.9697182396504085,0.9135898440234418,0.8705710178342114
4.3,0.9699611023032251,0.914144495442042,0.8713172915741181
4.3100000000000005,0.9702039649560472,0.9146947104474349,0.8720590183327541
4.32,0.970446827608859,0.9152404890396252,0.8727957911997724
4.33,0.9706896902616765,0.9157818312186227,0.8735276101751814
4.34,0.9709325529144972,0.9163187369844178,0.8742544752589773
4.3500000000000005,0.971175415567314,0.9168512462602375,0.8749763864511693
4.36,0.9714182782201286,0.9173805702932069,0.8756934177285037
4.37,0.9716565810613911,0.9179057598770503,0.8764062589369922
4.38,0.9718744560723599,0.9184268150117929,0.8771143706163295
4.39,0.9720923310833277,0.9189437356974228,0.8778177527665112
4.4,0.9723102060942834,0.9194565219339426,0.8785164053875403
4.41,0.9725280811052425,0.919965173721345,0.879210328479421
4.42,0.972745956116204,0.9204696910596463,0.8798995220421434
4.43,0.9729638311271669,0.9209706691580999,0.8805847076382696
4.44,0.9731817061381286,0.9214681992514998,0.8812655206696116
4.45,0.9733995811490868,0.9219618622015291,0.8819418452865928
4.46,0.9736174561600529,0.9224516580082124,0.8826136814891954
4.47,0.9738353311710116,0.922937586671531,0.8832810292774322
4.48,0.9740532061819754,0.9234196481915005,0.8839438886512977
4.49,0.9742710811929377,0.9238978425681019,0.8846026523461574
4.5,0.9744889562039034,0.9243722384264196,0.885257366358792
4.51,0.9747068312148625,0.9248437678476106,0.8859077893598101
4.5200000000000005,0.9749041363206097,0.9253116780135892,0.8865539213492191
4.53,0.9750997995470202,0.9257759689243531,0.8871957623270201
4.54,0.9752954627734469,0.9262366405798906,0.887833312293208
4.55,0.9754911259998528,0.926693692980212,0.8884667875560245
4.5600000000000005,0.9756867892262749,0.927147126125323,0.8890965659117462
4.57,0.9758824524526979,0.9275969400152154,0.8897222583724026
4.58,0.9760781156791132,0.9280437216462842,0.8903438649379982
4.59,0.9762737789055322,0.9284874834418191,0.8909613856085374
4.6000000000000005,0.9764694421319476,0.9289278714735177,0.8915748203839935
4.61,0.9766651053583637,0.929364885741356,0.8921842049598084
4.62,0.9768607685847808,0.929798526245379,0.8927901694508292
4.63,0.9770564318112039,0.9302287929855481,0.8933922381599522
4.64,0.9772520950376229,0.9306556859618729,0.893990411087157
4.65,0.9774477582640415,0.931079300136447,0.8945846882324617
4.66,0.9776300199898089,0.931500422755742,0.8951750695958577
4.67,0.977805671381333,0.9319183961511688,0.8957615551773547
4.68,0.9779813227728634,0.9323332203227392,0.8963446475160219
4.69,0.9781569741643887,0.9327448952704444,0.8969241313482561
4.7,0.9783326255559104,0.9331534209942773,0.8974998977310523
4.71,0.9785082769474394,0.9335587974942557,0.8980719466644005
4.72,0.9786839283389728,0.9339610247703672,0.8986402781482964
4.73,0.9788595797305003,0.9343606335558706,0.8992048921827468
4.74,0.9790352311220301,0.934757573411648,0.8997661114008038
4.75,0.9792108825135598,0.9351515716068907,0.9003240267718081
4.76,0.9793865339050861,0.9355426281415867,0.900878401340163
4.7700000000000005,0.9795621852966158,0.9359307430157427,0.901429235105864
4.78,0.979737836688146,0.9363159162293616,0.9019765280689134
4.79,0.9799134880796753,0.9366981477824505,0.9025202802293133
4.8,0.9800755943264596,0.9370775562318088,0.9030606473491796
4.8100000000000005,0.9802184707235133,0.9374548168361613,0.903597991789394
4.82,0.9803613471205629,0.9378293436100903,0.9041319679177033
4.83,0.9805042235176171,0.9382011365535925,0.9046625757340968
4.84,0.980647099914675,0.9385701956666834,0.905189815238582
4.8500000000000005,0.9807899763117244,0.9389365209493402,0.9057136864311606
4.86,0.980932852708777,0.9393001124015766,0.9062341971562912
4.87,0.9810757291058354,0.9396609700233866,0.906751930642596
4.88,0.9812186055028854,0.9400196200190915,0.9072664600956852
4.89,0.9813614818999423,0.9403759581781596,0.9077777855155559
4.9,0.9815043582969917,0.9407297556599727,0.9082859069022056
4.91,0.9816472346940514,0.9410810124645359,0.908790824255631
4.92,0.981790111091099,0.9414297285918554,0.9092925375758522
4.93,0.981932987488159,0.9417759040419141,0.9097914626696866
4.94,0.982075863885209,0.9421195388147312,0.910287457134136
4.95,0.9822187402822601,0.942460757852877,0.9107804047510253
4.96,0.9823616166793119,0.9428000802891369,0.9112703055203617
4.97,0.9825044930763694,0.9431370357156882,0.9117571594421435
4.98,0.9826473694734241,0.9434716241325406,0.9122409665163587
4.99,0.982790245870473,0.9438038455396907,0.912721960706059
5,0.9829331222675324,0.944133699937142,0.9132002534279017
5.01,0.9830759986645871,0.9444611873248905,0.9136756397951451
5.0200000000000005,0.9832188750616346,0.9447863077029325,0.9141481198077832
5.03,0.983361751458692,0.9451095535447778,0.9146176934658257
5.04,0.9835046278557433,0.9454307820399646,0.9150843607692658
5.05,0.9836475042527965,0.945749813751698,0.9155482247657712
5.0600000000000005,0.9837903806498532,0.9460666486799836,0.9160096076555765
5.07,0.9839332570469076,0.9463812868248181,0.9164682209630239
5.08,0.9840761334439555,0.9466937281862058,0.9169240646881079
5.09,0.98419423893621,0.947003972764135,0.9173771388308377
5.1000000000000005,0.9843096065595146,0.9473121519028408,0.9178274433912087
5.11,0.9844249741828229,0.9476186772789487,0.9182749783692169
5.12,0.9845403418061309,0.9479231568640702,0.9187202102238043
5.13,0.9846557094294384,0.9482255906582044,0.919162817339947
5.14,0.9847710770527472,0.9485259786613568,0.9196027877210531
5.15,0.9848864446760541,0.9488243208735315,0.9200401213671234
5.16,0.9850018122993596,0.9491206172947098,0.9204748182781588
5.17,0.9851171799226711,0.9494148679249172,0.9209068784541597
5.18,0.9852325475459749,0.9497075037408639,0.9213366359395998
5.19,0.9853479151692843,0.949998364175145,0.9217640085636164
5.2,0.9854632827925907,0.9502873195100501,0.9221888794413613
5.21,0.9855786504158988,0.9505743697455648,0.9226112485728435
5.22,0.985694018039202,0.9508595148817028,0.923031115958046
5.23,0.9858093856625172,0.9511427549184563,0.9234484815969932
5.24,0.9859247532858137,0.9514240898558171,0.9238635210772405
5.25,0.986040120909132,0.9517036610908377,0.9242763588151033
5.26,0.9861554885324391,0.951981809162876,0.9246868113890612
5.2700000000000005,0.9862708561557458,0.9522581905209327,0.9250948787991097
5.28,0.9863862237790573,0.9525328051650097,0.9255005610452619
5.29,0.9865015914023646,0.9528056530951,0.9259038581274978
5.3,0.9866169590256725,0.9530767343112047,0.926304838412127
5.3100000000000005,0.9867323266489799,0.95334604881333,0.926703796093155
5.32,0.9868476942722871,0.9536135966014698,0.9271004814656398
5.33,0.9869630618955887,0.9538797626855559,0.927494894529605
5.34,0.9870784295189023,0.9541443749085228,0.9278870352850263
5.3500000000000005,0.987193797142205,0.9544073394334183,0.9282769037319191
5.36,0.9873091647655192,0.9546686562602285,0.9286644998702765
5.37,0.9874157581577747,0.954928325388947,0.9290501808764116
5.38,0.9875084924734153,0.9551863468195888,0.9294337210811233
5.39,0.9876012267890717,0.9554427205521605,0.9298150962070819
5.4,0.9876939611047133,0.9556975714008192,0.9301943062542894
5.41,0.9877866954203626,0.9559511322142149,0.930571351222757
5.42,0.9878794297360188,0.9562031515448638,0.9309462311124758
5.43,0.98797216405166,0.9564536293927526,0.9313191722031079
5.44,0.9880648983673104,0.9567025657578909,0.931690143543558
5.45,0.9881576326829562,0.9569499606402785,0.9320590479381682
5.46,0.9882503669986042,0.9571958140399098,0.9324258853869203
5.47,0.9883431013142566,0.9574401259567952,0.9327906558898263
5.48,0.9884358356299026,0.957683251072342,0.933153359446887
5.49,0.9885285699455502,0.9579250067791188,0.933514135099211
5.5,0.9886213042612005,0.958165325074184,0.9338731207070109
5.51,0.9887140385768495,0.9584042059575251,0.934230142446221
5.5200000000000005,0.9888067728924979,0.958641649429155,0.9345852003168403
5.53,0.9888995072081439,0.958877655489069,0.9349382943188705
5.54,0.9889922415237956,0.9591122241372543,0.9352894244523083
5.55,0.9890849758394422,0.9593454796764683,0.9356386309732762
5.5600000000000005,0.9891777101550911,0.9595776016352267,0.9359861635894353
5.57,0.9892704444707421,0.9598083796499854,0.9363318198310238
5.58,0.9893631787863885,0.960037813720728,0.9366755996980246
5.59,0.9894559131020403,0.9602659038474652,0.937017503190447
5.6000000000000005,0.9895486474176826,0.9604926500302059,0.9373575303082882
5.61,0.9896413817333304,0.9607180522689355,0.9376956810515406
5.62,0.9897341160489806,0.9609421105636655,0.9380322186467117
5.63,0.9898268503646296,0.9611653617077349,0.9383669934667416
5.64,0.989919584680272,0.9613874961965814,0.9386999754072706
5.65,0.9900123189959245,0.9616084365728619,0.9390311644683137
5.66,0.9900888162587095,0.961828182836574,0.9393605606498492
5.67,0.990162991080218,0.9620467349877211,0.9396881639518946
5.68,0.9902371659017307,0.9622640930263118,0.9400141459400444
5.69,0.9903113407232377,0.9624802569523296,0.940338504530292
5.7,0.9903855155447459,0.9626952267657825,0.9406611504477882
5.71,0.9904596903662604,0.9629090024666683,0.9409820836925188
5.72,0.9905338651877705,0.9631215840549905,0.9413013042644857
5.73,0.9906080400092815,0.9633329715307464,0.9416188121636839
5.74,0.9906822148307926,0.9635431648939343,0.9419346872513036
5.75,0.9907563896523036,0.9637521641445579,0.9422490368303322
5.76,0.9908305644738155,0.963959969282613,0.9425617406425996
5.7700000000000005,0.9909047392953243,0.9641665803081151,0.9428727986880949
5.78,0.9909789141168355,0.9643588936201034,0.9431822109668228
5.79,0.9910530889383427,0.9645496450470988,0.9434899774787816
5.8,0.991127263759851,0.9647403964740877,0.9437961378455096
5.8100000000000005,0.9912014385813647,0.9649311479010769,0.9441010799627296
5.82,0.9912756134028791,0.9651218993280695,0.9444045015513419
5.83,0.9913497882243849,0.9653126507550519,0.9447064026113476
5.84,0.9914239630458921,0.9655034021820414,0.9450067831427492
5.8500000000000005,0.9914981378674051,0.9656941536090372,0.9453056431455426
5.86,0.9915723126889098,0.9658849050360229,0.945602982619727
5.87,0.9916464875104238,0.9660756564630172,0.9458988015653124
5.88,0.991720662331933,0.9662664078900024,0.946193099982285
5.89,0.9917948371534445,0.9664571593169928,0.9464858778706519
5.9,0.9918690119749529,0.9666479107439817,0.9467771352304118
5.91,0.9919431867964644,0.9668386621709693,0.9470668720615766
5.92,0.9920173616179766,0.9670294135979618,0.9473550883641205
5.93,0.9920915364394901,0.9672068961031897,0.9476322806294293
5.94,0.9921602602643224,0.967383461712304,0.9479021954088847
5.95,0.9922193796268214,0.9675600273214153,0.9481721101883294
5.96,0.9922784989893135,0.9677365929305233,0.9484420249677761
5.97,0.9923376183518117,0.9679131585396359,0.9487119397472239
5.98,0.9923967377143034,0.9680897241487505,0.9489818545266681
5.99,0.9924558570767964,0.9682662897578594,0.949251769306119
6,0.9925149764392869,0.9684428553669697,0.9495216840855635
6.01,0.9925740958017887,0.9686194209760786,0.9497915988650112
6.0200000000000005,0.9926332151642852,0.9687959865851863,0.9500615136444593
6.03,0.992692334526779,0.9689725521943039,0.9503314284239069
6.04,0.9927514538892765,0.969149117803411,0.9506013432033585
6.05,0.9928105732517702,0.969325683412521,0.9508703751147035
6.0600000000000005,0.9928696926142635,0.969502249021627,0.9511243197444355
6.07,0.9929288119767584,0.9696788146307386,0.9513782643741739
6.08,0.9929879313392528,0.9698319607695152,0.9516322090039093
6.09,0.9930470507017495,0.9699844688571385,0.9518861536336357
6.1000000000000005,0.9931061700642445,0.9701369769447615,0.9521400982633766
6.11,0.9931652894267446,0.9702894850323845,0.9523940428931138
6.12,0.9932244087892368,0.9704419931199988,0.9526479875228429
6.13,0.99328352815173,0.9705945012076247,0.9529019321525761
6.140000000000001,0.993342647514226,0.9707470092952504,0.9531558767823168
6.15,0.9934017668767202,0.9708995173828666,0.9534098214120479
6.16,0.9934608862392189,0.9710520254704835,0.953663766041787
6.17,0.9935200056017138,0.9712045335581058,0.9539177106715189
6.18,0.9935791249642116,0.9713570416457268,0.9541567618195225
6.19,0.9936382443267002,0.9715095497333531,0.9543827733540464
6.2,0.9936973636891977,0.9716620578209747,0.9546087848885817
6.21,0.9937564830516935,0.9718145659086003,0.9548347964231065
6.22,0.9938156024141882,0.971967073996216,0.9550608079576349
6.23,0.9938643558554444,0.9721195820838345,0.9552868194921649
6.24,0.9939112693503903,0.9722720901714579,0.9555128310266968
6.25,0.9939581828453328,0.9724245982590788,0.9557388425612285
6.26,0.994005096340277,0.9725771063467021,0.955964854095752
6.2700000000000005,0.9940520098352221,0.9727296144343277,0.9561908656302868
6.28,0.9940989233301688,0.9728821225219482,0.9564168771648169
6.29,0.9941458368251163,0.9730346306095644,0.9566428886993448
6.3,0.9941927503200568,0.9731871386971851,0.956868900233873
6.3100000000000005,0.9942396638149971,0.9733396467848049,0.9570949117684029
6.32,0.9942865773099397,0.9734921548724335,0.9573209233029266
6.33,0.994333490804884,0.9736446629600558,0.9575469348374632
6.34,0.9943804042998312,0.9737971710476738,0.957772946371997
6.3500000000000005,0.9944273177947781,0.9739496791353,0.9579989579065218
6.36,0.9944742312897147,0.9741021872229136,0.9582249694410536
6.37,0.9945211447846651,0.9742536431517127,0.9584509809755789
6.38,0.9945680582796051,0.9743849826212271,0.9586769925101147
6.390000000000001,0.9946149717745556,0.9745163220907477,0.9589030040446396
6.4,0.9946618852694998,0.9746476615602601,0.9591290155791704
6.41,0.9947087987644413,0.9747790010297785,0.9593550271136967
6.42,0.9947557122593845,0.9749103404992916,0.9595810386482322
6.43,0.9948026257543295,0.9750416799688074,0.9597947189251402
6.44,0.9948495392492746,0.9751730194383212,0.959995512517265
6.45,0.9948964527442175,0.9753043589078421,0.9601963061093823
6.46,0.9949433662391617,0.9754356983773541,0.9603970997015112
6.47,0.9949902797341023,0.9755670378468693,0.9605978932936313
6.48,0.9950371932290478,0.9756983773163828,0.9607986868857565
6.49,0.9950841067239934,0.9758297167859039,0.9609994804778726
6.5,0.9951310202189306,0.9759610562554238,0.9612002740700054
6.51,0.9951725268267835,0.9760923957249323,0.9614010676621257
6.5200000000000005,0.9952033700769808,0.9762237351944513,0.9616018612542518
6.53,0.9952342133271719,0.9763550746639658,0.9618026548463718
6.54,0.9952650565773646,0.9764864141334899,0.9620034484384931
6.55,0.9952958998275602,0.9766177536029964,0.9622042420306165
6.5600000000000005,0.9953267430777534,0.976749093072515,0.9624050356227429
6.57,0.995357586327954,0.9768804325420308,0.9626058292148679
6.58,0.9953884295781488,0.9770117720115477,0.9628066228069896
6.59,0.9954192728283433,0.9771431114810604,0.9630074163991095
6.6000000000000005,0.9954501160785315,0.9772744509505775,0.9632082099912355
6.61,0.99548095932873,0.9774057904200905,0.9634090035833569
6.62,0.9955118025789261,0.9775371298896098,0.9636097971754894
6.63,0.9955426458291181,0.9776684693591268,0.9638105907676103
6.640000000000001,0.995573489079312,0.977799808828644,0.9640113843597308
6.65,0.9956043323295108,0.9779311482981574,0.9642121779518515
6.66,0.9956351755796998,0.978062487767675,0.9644129715439773
6.67,0.9956660188298965,0.9781914884664049,0.9646137651360974
6.68,0.9956968620800949,0.9783042558443769,0.9648044417058924
6.69,0.9957277053302886,0.9784170232223364,0.9649824897253834
6.7,0.9957585485804806,0.9785297906003114,0.9651605377448761
6.71,0.9957893918306774,0.9786425579782851,0.9653385857643778
6.72,0.9958202350808769,0.9787553253562461,0.9655166337838769
6.73,0.9958510783310683,0.9788680927342148,0.9656946818033708
6.74,0.9958819215812638,0.9789808601121796,0.9658727298228584
6.75,0.9959127648314596,0.9790936274901565,0.9660507778423513
6.76,0.9959436080816532,0.9792063948681247,0.9662288258618483
6.7700000000000005,0.9959744513318546,0.9793191622460882,0.9664068738813402
6.78,0.9960052945820448,0.9794319296240636,0.9665849219008374
6.79,0.9960361378322383,0.9795446970020313,0.9667629699203326
6.8,0.9960669810824241,0.9796574643800001,0.9669410179398336
6.8100000000000005,0.9960978243326294,0.9797702317579697,0.9671190659593277
6.82,0.9961286675828265,0.9798829991359377,0.9672971139788199
6.83,0.9961595108330114,0.9799957665139049,0.967475161998317
6.84,0.9961903540832139,0.9801085338918756,0.9676532100178142
6.8500000000000005,0.9962211973334046,0.9802213012698463,0.9678312580373036
6.86,0.9962520405835963,0.980334068647812,0.9680093060568007
6.87,0.996282883833791,0.9804468360257823,0.9681873540762957
6.88,0.996313727083993,0.9805596034037491,0.9683654020957934
6.890000000000001,0.9963445703341894,0.9806723707817159,0.9685434501152872
6.9,0.9963754135843813,0.9807851381596895,0.9687214981347803
6.91,0.9964062568345764,0.9808979055376559,0.9688995461542744
6.92,0.9964371000847679,0.9810106729156272,0.9690775941737695
6.93,0.9964679433349626,0.9811234402935849,0.9692474276589627
6.94,0.9964987865851599,0.9812362076715619,0.9694049698050612
6.95,0.9965296298353559,0.9813489750495272,0.969562511951157
6.96,0.9965604730855532,0.9814617424274996,0.9697200540972548
6.97,0.9965913163357458,0.9815712273223002,0.9698775962433533
6.98,0.9966221595859398,0.9816677572368785,0.9700351383894456
6.99,0.9966530028361325,0.98176428715145,0.9701926805355453
7,0.996683846086324,0.9818608170660303,0.9703502226816402
7.01,0.9967146893365241,0.9819573469806049,0.97050776482774
7.0200000000000005,0.9967455325867175,0.9820538768951798,0.9706653069738332
7.03,0.9967763758369063,0.9821504068097524,0.9708228491199352
7.04,0.9968072190871046,0.9822469367243324,0.9709803912660275
7.05,0.9968380623373003,0.9823434666389099,0.9711379334121245
7.0600000000000005,0.996868905587498,0.9824399965534839,0.9712954755582157
7.07,0.996899748837691,0.9825365264680599,0.971453017704314
7.08,0.9969272053628151,0.9826330563826351,0.9716105598504182
7.09,0.9969471534087181,0.9827295862972142,0.9717681019965108
7.1000000000000005,0.9969671014546261,0.9828261162117856,0.971925644142608
7.11,0.9969870495005251,0.9829226461263624,0.9720831862887037
7.12,0.9970069975464341,0.9830191760409399,0.9722407284348009
7.13,0.9970269455923385,0.9831157059555151,0.9723982705809042
7.140000000000001,0.9970468936382366,0.9832122358700925,0.9725558127269941
7.15,0.9970668416841444,0.983308765784669,0.9727133548730963
7.16,0.9970867897300483,0.9834052956992481,0.9728708970191934
7.17,0.9971067377759458,0.9835018256138232,0.9730284391652833
7.18,0.9971266858218578,0.9835983555283987,0.9731741090756475
7.19,0.9971466338677609,0.9836948854429728,0.9732983394489205
7.2,0.9971665819136623,0.9837914153575537,0.9734225698221899
7.21,0.997186529959569,0.9838879452721236,0.9735468001954614
7.22,0.997206478005473,0.9839844751867026,0.9736710305687305
7.23,0.9972264260513803,0.984081005101278,0.9737952609419983
7.24,0.9972463740972842,0.9841775350158536,0.9739194913152723
7.25,0.997266322143187,0.9842740649304305,0.9740437216885401
7.26,0.9972862701890909,0.9843705948450107,0.9741679520618156
7.2700000000000005,0.9973062182349972,0.984463193482664,0.9742921824350832
7.28,0.9973261662808981,0.9845456014437032,0.9744164128083547
7.29,0.9973461143268058,0.9846280094047543,0.9745406431816199
7.3,0.9973660623727093,0.9847104173657973,0.974664873554889
7.3100000000000005,0.9973860104186059,0.9847928253268391,0.9747891039281616
7.32,0.9974059584645185,0.9848752332878887,0.9749133343014322
7.33,0.9974259065104182,0.9849576412489394,0.9750375646747009
7.34,0.9974458545563275,0.985040049209986,0.975161795047971
7.3500000000000005,0.9974658026022281,0.9851224571710347,0.9752860254212401
7.36,0.9974857506481362,0.985204865132078,0.9754102557945129
7.37,0.9975056986940392,0.9852872730931242,0.9755344861677835
7.38,0.9975256467399412,0.9853696810541663,0.9756587165410517
7.390000000000001,0.9975455947858477,0.9854520890152116,0.9757829469143218
7.4,0.9975655428317519,0.9855344969762615,0.9759071772875951
7.41,0.9975854908776551,0.9856169049373081,0.9760314076608662
7.42,0.9976054389235602,0.9856993128983484,0.9761556380341294
7.43,0.9976253869694631,0.9857817208593942,0.9762798684074033
7.44,0.99764533501537,0.9858641288204436,0.9764040987806735
7.45,0.9976652830612722,0.9859465367814846,0.9765283291539415
7.46,0.9976852311071801,0.9860289447425349,0.9766525595272132
7.47,0.9977051791530817,0.9861113527035825,0.9767767899004836
7.48,0.9977251271989829,0.9861937606646279,0.9769010202737517
7.49,0.9977450752448982,0.9862761686256747,0.9770252506470296
7.5,0.9977650232907985,0.9863585765867242,0.9771494810202972
7.51,0.9977849713367037,0.9864409845477655,0.9772737113935668
7.5200000000000005,0.9978049193826056,0.9865233925088107,0.9773979417668351
7.53,0.9978248674285115,0.9866058004698539,0.9775221721401057
7.54,0.9978448154744131,0.9866882084309038,0.977646402513371
7.55,0.9978647635203152,0.986770616391945,0.9777706328866506
7.5600000000000005,0.9978847115662178,0.9868530243529966,0.9778948632599165
7.57,0.997904659612128,0.9869278288926675,0.9780190936331866
7.58,0.9979246076580232,0.9869887949762206,0.9781433240064579
7.59,0.997944555703933,0.9870497610597817,0.9782675543797251
7.6000000000000005,0.997964503749833,0.9871107271433388,0.9783917847529949
7.61,0.9979844517957405,0.9871716932268991,0.9785160151262648
7.62,0.998004399841643,0.9872326593104559,0.9786402454995408
7.63,0.9980243478875491,0.9872936253940066,0.9787644758728025
7.640000000000001,0.9980442959334469,0.9873545914775648,0.9788887062460802
7.65,0.9980621961737635,0.9874155575611283,0.9790129366193467
7.66,0.9980749649236187,0.9874765236446786,0.9791371669926221
7.67,0.998087733673467,0.9875374897282369,0.9792613973658887
7.68,0.9981005024233135,0.9875984558117975,0.979378340792183
7.69,0.9981132711731658,0.9876594218953547,0.979475381506297
7.7,0.9981260399230143,0.9877203879789106,0.9795724222204135
7.71,0.9981388086728696,0.9877813540624701,0.9796694629345295
7.72,0.998151577422711,0.9878423201460249,0.9797665036486518
7.73,0.9981643461725614,0.9879032862295838,0.9798635443627657
7.74,0.9981771149224086,0.987964252313144,0.9799605850768802
7.75,0.9981898836722641,0.9880252183967008,0.9800576257909953
7.76,0.9982026524221138,0.9880861844802539,0.9801546665051178
7.7700000000000005,0.9982154211719616,0.9881471505638183,0.980251707219235
7.78,0.9982281899218145,0.9882081166473705,0.9803487479333514
7.79,0.9982409586716655,0.9882690827309296,0.9804457886474663
7.8,0.9982537274215101,0.9883300488144843,0.9805428293615873
7.8100000000000005,0.9982664961713592,0.9883910148980456,0.980639870075703
7.82,0.9982792649212099,0.9884519809816001,0.9807369107898203
7.83,0.9982920336710559,0.9885129470651586,0.980833951503938
7.84,0.998304802420913,0.9885739131487161,0.9809309922180497
7.8500000000000005,0.9983175711707606,0.9886348792322738,0.9810280329321724
7.86,0.9983303399206089,0.9886958453158328,0.9811250736462854
7.87,0.9983431086704624,0.9887568113993875,0.9812221143604053
7.88,0.9983558774203068,0.9888177774829443,0.9813191550745223
7.890000000000001,0.9983686461701642,0.9888787435665053,0.9814161957886378
7.9,0.9983814149200128,0.9889397096500608,0.9815132365027521
7.91,0.9983941836698544,0.9890006757336156,0.9816102772168744
7.92,0.9984069524197099,0.9890616418171734,0.9817073179309922
7.930000000000001,0.998419721169554,0.9891226079007346,0.9818043586451094
7.94,0.9984324899194079,0.9891835739842921,0.9819013993592299
7.95,0.9984452586692558,0.9892445400678492,0.9819984400733409
7.96,0.9984580274191097,0.9893055061514077,0.9820954807874607
7.97,0.9984707961689553,0.989366472234967,0.982192521501574
7.98,0.9984835649188009,0.9894274383185205,0.9822895622156946
7.99,0.9984963336686544,0.989488404402081,0.982386602929809
8,0.9985091024185134,0.9895493704856377,0.9824836436439237
8.01,0.9985218711683568,0.9896103365691974,0.9825806843580408
8.02,0.9985346399182053,0.9896713026527483,0.9826777250721641
8.03,0.9985474086680548,0.9897322687363043,0.9827747657862768
8.040000000000001,0.998560177417901,0.9897932348198711,0.9828718065003977
8.05,0.9985729461677594,0.9898542009034272,0.9829688472145149
8.06,0.9985857149175992,0.9899151669869836,0.9830658879286324
8.07,0.9985984836674499,0.9899761330705452,0.9831629286427477
8.08,0.9986112524172992,0.9900370991540957,0.9832599693568703
8.09,0.9986240211671517,0.9900980652376542,0.9833570100709834
8.1,0.9986367899170054,0.9901590313212137,0.9834540507851038
8.11,0.9986495586668581,0.9902199974047695,0.9835510914992137
8.120000000000001,0.9986623274167026,0.9902809634883329,0.983648132213333
8.13,0.9986750961665525,0.9903419295718875,0.98374517292745
8.14,0.9986878649164029,0.9904028956554406,0.9838422136415699
8.15,0.9987006336662515,0.9904638617390005,0.9839392543556884
8.16,0.9987134024160971,0.9905248278225589,0.9840362950698034
8.17,0.9987261711659488,0.9905774850769851,0.9841333357839172
8.18,0.998738939915795,0.9906220647910683,0.984226471197562
8.19,0.998751708665645,0.9906666445051577,0.9843017688217877
8.2,0.9987644774154985,0.9907112242192453,0.9843770664460112
8.21,0.9987772461653447,0.9907558039333307,0.9844523640702367
8.22,0.9987895693110613,0.9908003836474222,0.9845276616944594
8.23,0.9988005840158727,0.9908449633615051,0.9846029593186807
8.24,0.9988115387992976,0.9908895430755915,0.9846782569429051
8.25,0.9988224336613273,0.9909341227896791,0.9847535545671291
8.26,0.9988332686019611,0.9909787025037695,0.9848288521913534
8.27,0.9988440436212062,0.9910232822178596,0.9849041498155817
8.28,0.9988547587190555,0.9910678619319432,0.9849794474397983
8.290000000000001,0.998865413895508,0.9911124416460277,0.9850547450640275
8.3,0.9988760091505732,0.9911570213601204,0.9851300426882531
8.31,0.9988865444842348,0.9912016010742061,0.9852053403124739
8.32,0.9988970198965066,0.9912461807882937,0.9852806379367023
8.33,0.9989074353873918,0.991290760502377,0.9853559355609262
8.34,0.9989177909568779,0.9913353402164675,0.9854312331851514
8.35,0.998928086604969,0.9913799199305493,0.9855065308093773
