% Model,COMSOL_Single_Pipe.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 16 2026, 18:20"
% Table,c_Pipe_1_Sensor - c_Pipe_1_Sensor
% Time (s),c_Pipe_1 (mol/m^3),c_Pipe_1_Biff (mol/m^3),c_Pipe_1_Biff_Phase_2 (mol/m^3)
0.78,0.0013472682936562716,7.058890990762824E-4,1.0967873477214253E-4
0.79,0.001709225206487385,9.195008848984326E-4,1.48577941830845E-4
0.8,0.002146755845032313,0.0011795638085211459,1.9817079974658786E-4
0.81,0.0026739956832058176,0.0014910637845056828,2.6218491020683037E-4
0.8200000000000001,0.0033070204458811618,0.001861698742638299,3.425263745073988E-4
0.8300000000000001,0.004038021514768583,0.0022941636424668077,4.433862338527658E-4
0.84,0.004868006366970071,0.0027979993700533567,5.679505732717052E-4
0.85,0.005840539946139886,0.0033737571231676772,7.204940488836067E-4
0.86,0.006930777278320684,0.004032097342960283,9.058548294145969E-4
0.87,0.008138718363512695,0.004771841670544091,0.0011278820959474494
0.88,0.009487804748759711,0.005604023769299111,0.0013933539354064575
0.89,0.01099998904595121,0.006526241963520258,0.0017051326655117011
0.9,0.012654941247681009,0.00754917627495958,0.002072056816331358
0.91,0.014452661353949405,0.008669729338582156,0.0024954947018625013
0.92,0.016433739684262507,0.009897494884754596,0.0029951200204739654
0.93,0.01858127636128625,0.011229224799182288,0.003570141649961717
0.9400000000000001,0.020891780533780095,0.012672711914975529,0.004218070259942823
0.9500000000000001,0.02337408042173267,0.014225094353499454,0.0049389058504172
0.96,0.026045781475246083,0.015891793888934306,0.005758118866595689
0.97,0.028893918117218025,0.01767090863016802,0.006661279770657084
0.98,0.031918490347648945,0.019564791213769833,0.007648037945966624
0.99,0.03512990730869225,0.021572912360033537,0.008731831976176978
1,0.03852634352954322,0.023695178111729217,0.009922477943944586
1.01,0.042105434173097894,0.02593158598149616,0.01121009446893476
1.02,0.045866914316918264,0.028280582132918577,0.012595036749780594
1.03,0.0498096316934457,0.030741996155995325,0.014094100616433363
1.04,0.053934327939789035,0.03331357577344554,0.015697862654895058
1.05,0.05824100305594991,0.0359944700349364,0.017406322865166135
1.06,0.06272070079277751,0.03878234494793494,0.019221643064915413
1.07,0.06737198840973797,0.0416753242979381,0.02114496244360494
1.08,0.07219864312524171,0.044671469954997656,0.02317494006767653
1.09,0.0771990323514098,0.04776771551040975,0.025311167277322924
1.1,0.08234987651534163,0.05096280577004684,0.027546809955742567
1.11,0.08766484847017084,0.05425245303176233,0.02988579669029171
1.12,0.09314394821589984,0.05763415325731333,0.032328127480970165
1.1300000000000001,0.09877191076031118,0.06109804229864,0.03486492152026131
1.1400000000000001,0.10453866317055291,0.06464863905363279,0.03749304360403553
1.1500000000000001,0.1104550302913783,0.06828594352229432,0.04021712656881367
1.16,0.11652101212279015,0.07200613596442354,0.043035157262581544
1.17,0.12270112266349373,0.07579485768036237,0.045927782269077275
1.18,0.129012922855579,0.07966243103121919,0.04890642766815168
1.19,0.1354578201180628,0.08360885601699344,0.05197109345980506
1.2,0.14202242525946948,0.08763260163451757,0.05510736994860536
1.21,0.1486868231525395,0.09170768821556201,0.05831233749658942
1.22,0.15546682648010307,0.09585064272138266,0.06159228042849431
1.23,0.16236243524215546,0.10006146515197974,0.06494408626731665
1.24,0.16934167873095682,0.10434015550735302,0.0683476931249906
1.25,0.17641352973048224,0.10866258297723273,0.07181530078459775
1.26,0.18358328504485127,0.11304049238676377,0.07534690924614046
1.27,0.1908423201021621,0.1174758004204591,0.07892825567645781
1.28,0.19816365569817726,0.12196850707831383,0.08255832434421907
1.29,0.20556549161310816,0.12650150908145458,0.08624226609994233
1.3,0.21304782784695694,0.13107822154945165,0.08997681476173101
1.31,0.22058553780607,0.13570309125928592,0.09374677502947125
1.32,0.22817834173150475,0.14037611821095852,0.09756169822372715
1.33,0.2358346725206654,0.14508589801359675,0.10142158434449823
1.34,0.2435505416773955,0.1498297497711972,0.10531482102127637
1.35,0.25129416777510843,0.15461373262003847,0.109241926047842
1.36,0.2590848444864582,0.1594378465601213,0.11320632316452639
1.37,0.2669225718114553,0.1642948454738454,0.11720502653540904
1.3800000000000001,0.2747885017099725,0.16917767289514105,0.12122759171457483
1.3900000000000001,0.2826744736176327,0.17409349548237152,0.12528083439609147
1.4000000000000001,0.29059140029374586,0.17904231323554284,0.12936475457996122
1.41,0.2985392019648305,0.18402019728793162,0.1334699441429853
1.42,0.30648183858897654,0.18901726888458928,0.13759779025075694
1.43,0.314439586833768,0.19404114202328654,0.14175051083007514
1.44,0.3224124466992154,0.19909181670401896,0.14592532756404625
1.45,0.33038687777747616,0.2041678774720471,0.15011475977632585
1.46,0.3383480045585144,0.20925834951281735,0.15432390334042895
1.47,0.3463088222230664,0.21437052419648547,0.1585527582563563
1.48,0.35426933077112677,0.21950440152305786,0.16279338227209816
1.49,0.3622006149794393,0.22465998149253402,0.16704767694564754
1.5,0.37011348260007143,0.22982642186061059,0.17131709346775256
1.51,0.3780111448190145,0.2350099844092758,0.17559912548745515
1.52,0.3858851226303485,0.2402109070228229,0.17988851389546387
1.53,0.3937158327209284,0.24542918970124367,0.18418902479017185
1.54,0.40151724278707807,0.2506564476183537,0.18850065817157788
1.55,0.409289352828799,0.2558954439092561,0.19281719076185427
1.56,0.4170112905494027,0.26114767515603415,0.19714062760045625
1.57,0.42468550802487165,0.2664131413586725,0.20147180779637913
1.58,0.4323174511036542,0.27168542933856565,0.20580877002737372
1.59,0.43990310926846743,0.2769643234483671,0.21014829430491308
1.6,0.4474215645492506,0.2822524263960644,0.21449282701859115
1.61,0.45488600247592126,0.28754973818165575,0.2188423681683943
1.62,0.4622964230484607,0.29285164948295983,0.2231928474253599
1.6300000000000001,0.46963945703651044,0.2981553096641297,0.22754588095667722
1.6400000000000001,0.47691185028900346,0.30346426424170747,0.23190184060481803
1.6500000000000001,0.4841198848723429,0.3087785132157063,0.236259534601096
1.6600000000000001,0.4912627229933802,0.31409499422887127,0.24061743767062213
1.67,0.498322049922314,0.3194084345564378,0.2449767945669289
1.68,0.5053084613068296,0.3247232756356038,0.24933760529001103
1.69,0.5122219571469214,0.3300395174663661,0.2536978450530112
1.7,0.5190560470160561,0.3353554758155017,0.2580584556687876
1.71,0.5258055984688638,0.340663402716122,0.262419541769515
1.72,0.5324757001623805,0.3459687188237519,0.26678055897388475
1.73,0.5390663520966101,0.3512714241383923,0.2711409706086649
1.74,0.5455680810823397,0.35657119497503514,0.2755012553132236
1.75,0.5519852139065378,0.3618577642239492,0.27986141308755025
1.76,0.5583183396983123,0.3671375489316835,0.28422072116773195
1.77,0.5645655146192959,0.37241054909824306,0.28857956068428287
1.78,0.570723390354355,0.3776767647236283,0.2929379426958152
1.79,0.5767945221615829,0.3829266332047674,0.29729546711550214
1.8,0.5827789100410043,0.3881643707893468,0.30165183699882614
1.81,0.5886747839533185,0.3933910135783752,0.3060073491848132
1.82,0.594482550590285,0.39860656157185825,0.31036200367347444
1.83,0.6002025558894615,0.4038031606460474,0.3147158004648084
1.84,0.6058350245876717,0.40898185406602466,0.31906873955881293
1.85,0.6113807816812292,0.4141450126194889,0.3234208209554909
1.86,0.6168392840499948,0.4192926363064389,0.327771088440038
1.87,0.6222105316939869,0.42441868627577817,0.33211934069706833
1.8800000000000001,0.6274970849549979,0.4295210971689934,0.3364662680209849
1.8900000000000001,0.6326991553619642,0.4346034787570986,0.3408118704117907
1.9000000000000001,0.6378157776140987,0.4396658310400918,0.3451561478694906
1.9100000000000001,0.6428474895640427,0.4447039877456179,0.3494991003940769
1.92,0.6477998546711745,0.4497130638996537,0.35383965740806134
1.93,0.6526695524642528,0.45469769122559506,0.35817545900705117
1.94,0.6574565829432738,0.4596578697234366,0.36250878599209746
1.95,0.6621648702520994,0.4645897397908391,0.36683963836319644
1.96,0.6667965369969326,0.4694816954072252,0.37116801612034256
