% Model,COMSOL_Three_Pipes_Phase_2.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 23 2026, 16:42"
% Table,Table 34 - c_CNN_Sensor_Phase_3
% Time (s),c_CNN_Sensor_Phase_2 (mol/m^3)
1.8800000000000001,-1.5428762363401194E-76
1.8900000000000001,-1.8118055480757864E-76
1.9000000000000001,-2.1028540495720068E-76
1.9100000000000001,-2.4167968708764738E-76
1.92,-2.7544091420369288E-76
1.93,-3.116465993101102E-76
1.94,-3.503742554116721E-76
1.95,-3.917013955131545E-76
1.96,-4.3570553261931814E-76
1.97,-4.82464179734944E-76
1.98,-5.320548498648032E-76
1.99,-5.845550560136688E-76
2,-6.400423111863142E-76
2.0100000000000002,-5.780268003910885E-76
2.02,-2.908031862530766E-76
2.0300000000000002,2.0237430179793385E-76
2.04,8.822514343320813E-76
2.05,1.7295739819195685E-75
2.06,2.725087715130595E-75
2.07,3.8495384045352903E-75
2.08,5.083671820703897E-75
2.09,6.408233734206604E-75
2.1,7.803969915613531E-75
2.11,9.251626135494844E-75
2.12,1.073194816442074E-74
2.13,1.2225681772961404E-74
2.14,1.3713572731687103E-74
2.15,1.5176366811167995E-74
2.16,1.6594809781973886E-74
2.17,1.7949647414675553E-74
2.18,1.9221625479842837E-74
2.19,2.0391489748045818E-74
2.2,2.1439985989855456E-74
2.21,2.2347859975840474E-74
2.22,2.3095857476572448E-74
2.23,2.3664724262620767E-74
2.24,2.4035206104555875E-74
2.25,2.418804877294784E-74
2.2600000000000002,2.410399803836707E-74
2.27,2.376379967138372E-74
2.2800000000000002,2.314819944256757E-74
2.29,2.223794312248917E-74
2.3000000000000003,2.10137764817185E-74
2.31,1.9456445290826177E-74
2.32,1.7546695320381785E-74
2.33,1.5265272340955782E-74
2.34,1.2592922123118436E-74
2.35,9.51039043743961E-75
2.36,5.998423054489935E-75
2.37,2.0377657448391956E-75
2.38,-2.390835720942116E-75
2.39,-7.30663557228425E-75
2.4,-1.2728888038616427E-74
2.41,-1.8676847349368914E-74
2.42,-2.516976773397143E-74
2.43,-3.2226903421853925E-74
2.44,-3.986750864244579E-74
2.45,-4.811083762517734E-74
2.46,-5.6976144599478E-74
2.47,-6.648268379477794E-74
