% Model,COMSOL_Single_Pipe.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 15 2026, 13:46"
% Table,Table_c_Pipe_1 - c_Pipe_1
% Time (s),c_Pipe_1 (mol/m^3),c_Pipe_1_Biff (mol/m^3),c_Pipe_1_Biff_2 (mol/m^3)
0.67,1.2362663522216457E-24,5.71523974761688E-38,9.895961340009818E-39
0.68,4.377909431780489E-24,1.507338678061954E-37,2.7477449003973213E-38
0.6900000000000001,1.490846586912668E-23,4.054657723518416E-37,7.7640979711858E-38
0.7000000000000001,4.8867945057939646E-23,1.1459771246947251E-36,2.348747140739035E-37
0.71,1.5438540486172721E-22,2.658881862057966E-36,5.658412856913528E-37
0.72,4.709170334940625E-22,7.593605450774634E-36,1.7423538775964993E-36
0.73,1.4344659038593287E-21,1.908688998470869E-35,4.6725008665044835E-36
0.74,4.4642627879805475E-21,4.5189949997486027E-35,1.1634301092716137E-35
0.75,1.3449016943516677E-20,1.183441965330767E-34,3.3117462256848825E-35
0.76,3.9247866505250436E-20,2.673041191579488E-34,7.933310374035188E-35
0.77,1.1105016396468898E-19,6.55202403570771E-34,2.1037547528604903E-34
0.78,3.0500418118684738E-19,1.5483359084028464E-33,5.4266156453109E-34
0.79,8.143797589546171E-19,3.3027970536664885E-33,1.2281034761752848E-33
0.8,2.1180340841535996E-18,7.977118338568839E-33,3.3173697180608534E-33
0.81,5.5549865288109834E-18,4.3518904316294725E-28,4.214221779038063E-28
0.8200000000000001,1.449038510038029E-17,2.8494341068830287E-27,2.7593347597234115E-27
0.8300000000000001,3.678985947174593E-17,6.760203663812452E-27,6.546457263579501E-27
0.84,9.099241650438714E-17,1.3412845723496072E-26,1.298760902523064E-26
0.85,2.1946665819216818E-16,4.8529321982532486E-26,4.696765481193912E-26
0.86,5.168320582720039E-16,9.808233633953289E-26,9.491580361441856E-26
0.87,1.1900612608571485E-15,1.9786507263459857E-25,1.9138143895042332E-25
