% Model,COMSOL_3D_CNN_Design_3_Phase_1.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 11 2026, 14:52"
% Table,Table 9 - Concentration_CNN
% Time (s),Concentration_CNN (mol/m^3),Concentration_CNN (mol/m^3),Concentration_CNN (mol/m^3),Concentration_CNN (mol/m^3),Concentration_CNN (mol/m^3),Concentration_CNN (mol/m^3),Concentration_CNN (mol/m^3),Concentration_CNN (mol/m^3)
4,4.005583948920494E-6,1.6535682258261554E-4,1.2006499738080111E-4,1.1836144677192215E-4,2.2006956375316315E-5,7.451053632859763E-5,5.778695955167419E-5,2.0167434252648392E-6
4.1000000000000005,4.6833830435261255E-6,1.6712069938070936E-4,1.2757189927384833E-4,1.2548712156061295E-4,2.403269882661525E-5,8.15482033844398E-5,6.392228575243527E-5,2.267231395675278E-6
4.2,5.420411159021794E-6,1.6847936998920385E-4,1.341583819755982E-4,1.3178043246657618E-4,2.6414754131010658E-5,8.858504195019379E-5,7.034531772258227E-5,2.5177193660857123E-6
4.3,6.383852062668048E-6,1.6922423164922274E-4,1.4031601919939837E-4,1.3767870663065153E-4,2.9513715669623898E-5,9.57412127395624E-5,7.705605546211518E-5,2.768207336496148E-6
4.4,7.4726544772736335E-6,1.693552843607661E-4,1.460448109452489E-4,1.43181944052839E-4,3.261267720823718E-5,1.0301671575254572E-4,8.405449897103407E-5,3.3390060949932414E-6
4.5,8.667645279264379E-6,1.6959572153589346E-4,1.513079720445745E-4,1.4827804298194283E-4,3.5711638746850426E-5,1.1017741969775214E-4,9.074948887753368E-5,3.925403557690064E-6
4.6000000000000005,9.9688244686403E-6,1.6993246042597626E-4,1.5566262847440044E-4,1.5258495615942842E-4,3.881060028546368E-5,1.1730783116412221E-4,9.749430334738001E-5,4.51180102038689E-6
4.7,1.1376192045401375E-5,1.7012328040039374E-4,1.5939388004679805E-4,1.563408471117579E-4,4.1909561824076934E-5,1.244382641800367E-4,1.0431586088454057E-4,5.098198483083712E-6
4.800000000000001,1.2889748009547634E-5,1.7016818145914572E-4,1.6250172676176734E-4,1.5954571583893157E-4,4.5008523362690215E-5,1.315685253380698E-4,1.1121416148901553E-4,5.684595945780541E-6
4.9,1.4509492361079046E-5,1.711141385940293E-4,1.6498616861930824E-4,1.6219956234094925E-4,4.8177061568997753E-5,1.3869722033510023E-4,1.181892051608048E-4,6.270993408477362E-6
5,1.6379126295363013E-5,1.7240268091152768E-4,1.6698787529541002E-4,1.6440219753662789E-4,5.208945291849713E-5,1.4582522422857273E-4,1.2451942581450957E-4,6.857390871174186E-6
5.1000000000000005,1.8455721533973508E-5,1.7400603421321596E-4,1.684284659095383E-4,1.6610632572707155E-4,5.6001844267996525E-5,1.529525370184875E-4,1.3067052285853183E-4,7.443788333871012E-6
5.2,2.0689437654542528E-5,1.7606520003911815E-4,1.6930323157232714E-4,1.6730333000998784E-4,5.9914235617495915E-5,1.6017228167572263E-4,1.3665192770641793E-4,8.396521961816131E-6
5.300000000000001,2.3080274657070107E-5,1.7907933493862302E-4,1.6961217228377668E-4,1.6799321038537664E-4,6.38266269669953E-5,1.6759367625681322E-4,1.4246364035816803E-4,9.46852279805818E-6
5.4,2.56282325415562E-5,1.8270848615928924E-4,1.699095964828844E-4,1.6860719798447474E-4,6.773901831649467E-5,1.7512058105760396E-4,1.4809764302465092E-4,1.0540523634300219E-5
5.5,2.8333311308000833E-5,1.8695265370111653E-4,1.7000075306002955E-4,1.6904653107928377E-4,7.165140966599404E-5,1.8275299607809503E-4,1.5311040009024547E-4,1.1612524470542254E-5
5.6000000000000005,3.119551095640402E-5,1.9192815272793258E-4,1.697952488996027E-4,1.6920769889257258E-4,7.556380101549342E-5,1.9069875297389994E-4,1.5780041614693832E-4,1.2684525306784309E-5
5.7,3.425847273773231E-5,1.9771385279288866E-4,1.6929308400160425E-4,1.6909070142434097E-4,7.968086251156716E-5,1.989499132217134E-4,1.6216769119472925E-4,1.3756526143026349E-5
5.800000000000001,3.753066028027053E-5,2.0424931029922245E-4,1.6862544816737142E-4,1.6879704921512085E-4,8.38371800088221E-5,2.074396120315222E-4,1.662122252336186E-4,1.4828526979268395E-5
5.9,4.098064171457092E-5,2.115902228328656E-4,1.681206056894367E-4,1.6856800601965726E-4,8.802986688767293E-5,2.1616784940332645E-4,1.6992950994863755E-4,1.590052781551043E-5
6,4.46189624710296E-5,2.197063574796541E-4,1.677948798703423E-4,1.6848793411462025E-4,9.22995733476195E-5,2.2533492254194688E-4,1.7323365798761796E-4,1.7046962274385418E-5
6.1000000000000005,4.846998301255403E-5,2.2856487407489114E-4,1.6773977421505386E-4,1.6868228013359272E-4,9.662950275157396E-5,2.3487836242594892E-4,1.7617459468876804E-4,1.8253023448794802E-5
6.2,5.2519871549799503E-5,2.3814452981082412E-4,1.680856111677252E-4,1.6925181824348087E-4,1.0101840101514233E-4,2.4499617168398065E-4,1.7873566866580086E-4,1.9493983815184292E-5
6.300000000000001,5.676924228508014E-5,2.484174801802033E-4,1.688774794848246E-4,1.7023541991369472E-4,1.0545722105551316E-4,2.5555548001193415E-4,1.8094244962891647E-4,2.079757050127617E-5
6.4,6.12077717861433E-5,2.5933106521815435E-4,1.7013645444087318E-4,1.716585723911587E-4,1.0994205939738539E-4,2.665541842476274E-4,1.8285226141262254E-4,2.2165244724101815E-5
6.5,6.582431695158648E-5,2.7082086318369077E-4,1.7187838658062318E-4,1.735468223923876E-4,1.1446241781416714E-4,2.779873878097941E-4,1.8454171956095784E-4,2.360104259221806E-5
6.6000000000000005,7.060325273163194E-5,2.8280499606038174E-4,1.74105021096274E-4,1.759120397050762E-4,1.1900551342443622E-4,2.897290791056709E-4,1.8609529716570112E-4,2.5107534145235684E-5
6.7,7.552650973317447E-5,2.951825221399477E-4,1.7681008085955813E-4,1.7875650298850788E-4,1.2356211937443492E-4,3.016654273662755E-4,1.8761949949051886E-4,2.6682127280858856E-5
6.800000000000001,8.057266720526355E-5,3.0784401786035164E-4,1.7999167598370256E-4,1.820815801839324E-4,1.281190920351475E-4,3.1366534288573795E-4,1.8922787647725236E-4,2.8316293155489404E-5
