% Model,COMSOL_Three_Pipes_Phase_2.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 23 2026, 19:10"
% Table,c_CNN_Outlet_Phase_2 - Surface Average 2
% Time (s),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3)
32.7,0.3921207064234767,0.3565985891972871,0.30800986209129455
32.800000000000004,0.40119511746206105,0.3658623460742059,0.31735216421462714
32.9,0.4103216957171424,0.375247440302662,0.3268450422028838
33,0.4194545168466391,0.3847364672092559,0.33646062050515885
33.1,0.4285842168230864,0.394282954981363,0.3461896832741833
33.2,0.4377167590936157,0.40383530030057213,0.3560220519342188
33.300000000000004,0.4468292105280346,0.4133684012348067,0.36592840684165523
33.4,0.4558986379961501,0.4228571558519849,0.3758794283528823
33.5,0.4649021083677725,0.43227646222002925,0.3858457968242924
33.6,0.47381135616856246,0.44162276742796475,0.3957850297947186
33.7,0.4825881130837981,0.45087940818054784,0.405657010315683
33.800000000000004,0.4911944417227128,0.4600016169692957,0.4154359670126065
33.9,0.4995924046945421,0.4689446262857225,0.4250961285109078
34,0.5077440646085198,0.4776636686213486,0.434611723436008
34.1,0.5156431126627086,0.486148889995066,0.4439606345355581
34.2,0.5233023287256159,0.49440877844957987,0.45312754400998473
34.300000000000004,0.5307124084121398,0.5024260795121224,0.4620968796638655
34.4,0.5378640473371793,0.5101835387099255,0.470853069301777
34.5,0.5447479411156315,0.5176639015702206,0.4793805407282991
34.6,0.5513259517016507,0.5248429545904075,0.487611998930443
34.7,0.5575662009828306,0.5317031361247444,0.4954961215167679
34.800000000000004,0.5634687744742308,0.5382371694857544,0.5030412952241797
34.9,0.5690337576909134,0.544437777985959,0.5102559067895817
35,0.5742612361479384,0.5502976849378837,0.5171483429498799
35.1,0.5791560303452121,0.5558176902603651,0.5237165432666168
35.2,0.5837264870982574,0.5610038959477517,0.529948217745121
35.300000000000004,0.5879779813955628,0.565856978425828,0.535836408787978
35.4,0.5919158882256158,0.5703776141203761,0.5413741587977698
35.5,0.5955455825769068,0.5745664794571804,0.5465545101770801
35.6,0.5988675656226591,0.5784307795278207,0.5513796613038053
35.7,0.6018926897668265,0.5819879442175758,0.5558630963439999
35.800000000000004,0.6046418568439934,0.5852539871427725,0.5600147863824904
35.9,0.6071359686887478,0.5882449219197371,0.5638447025041057
36,0.6093959271356718,0.5909767621647981,0.5673628157936719
36.1,0.6114376533249045,0.5934509181119251,0.5705863011983066
36.2,0.6132696268809187,0.5956721779800347,0.5735334003393462
36.300000000000004,0.6149015873648123,0.5976616223628651,0.5762156843129494
36.4,0.6163432743376811,0.5994403318541597,0.5786447242152745
36.5,0.6176044273606199,0.6010293870476592,0.5808320911424811
36.6,0.6187064203203155,0.6024364198495828,0.5827828001862706
36.7,0.6196752025782016,0.603672844251925,0.5845126453349403
36.800000000000004,0.6205273769074919,0.6047654139770952,0.586049366029539
36.9,0.6212795460814021,0.6057408827475003,0.5874207017111163
37,0.6219483128731474,0.6066260042855494,0.5886543918207231
37.1,0.6225544162176835,0.6074222298178323,0.5897550568536687
37.2,0.6231112673996932,0.6081245287612406,0.5907191057153529
37.300000000000004,0.6236244777169794,0.60874993212363,0.5915619604619524
37.4,0.6240996584673428,0.6093154709128569,0.5922990431496451
37.5,0.6245424209485879,0.6098381761367778,0.5929457758346091
37.6,0.6249491109280987,0.6103295457049601,0.5935370495129774
37.7,0.6253249205734484,0.6107952764626607,0.5940992512380069
37.800000000000004,0.6256887307827208,0.6112436978212755,0.5946350471515564
37.9,0.6260594224539991,0.6116831391921965,0.5951471033954859
