% Model,COMSOL_Three_Pipes_Phase_2.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 21 2026, 16:01"
% Table,Table 1 - c_Sensor
% Time (s),c_CNN (mol/m^3)
1.31,-5.623000859119889E-107
1.32,-6.499813137501212E-107
1.33,-7.449473505613824E-107
1.34,-8.767544059947609E-107
1.35,-1.0610705369002586E-106
1.36,-1.2696949196561914E-106
1.37,-1.5026275542625319E-106
1.3800000000000001,-1.7598684407194064E-106
1.3900000000000001,-2.0414175790267636E-106
1.4000000000000001,-2.347274969184547E-106
1.41,-2.815898976185331E-106
1.42,-3.4344241221286938E-106
1.43,-4.1351994303526667E-106
1.44,-4.918224900857223E-106
1.45,-5.783500533641979E-106
1.46,-6.731026328707702E-106
1.47,-7.760802286054008E-106
1.48,-9.383878810767912E-106
1.49,-1.1364125465243747E-105
1.5,-1.359308675991125E-105
1.51,-1.6070762694769777E-105
1.52,-1.87971532698192E-105
1.53,-2.1772258485059637E-105
1.54,-2.4996078340490097E-105
1.55,-3.023758903232648E-105
1.56,-3.624690319909515E-105
1.57,-4.297322890644003E-105
1.58,-5.041656615435978E-105
1.59,-5.857691494285823E-105
1.6,-6.74542752719321E-105
1.61,-7.766287535805022E-105
1.62,-9.336354881466743E-105
1.6300000000000001,-1.1111182208165087E-104
1.6400000000000001,-1.3090769515899635E-104
1.6500000000000001,-1.52751168046704E-104
1.6600000000000001,-1.766422407447738E-104
1.67,-2.0258091325320106E-104
1.68,-2.3459017866797584E-104
1.69,-2.806392187559224E-104
1.7,-3.325357085278811E-104
1.71,-3.902796479838483E-104
1.72,-4.538710371238451E-104
1.73,-5.2330987594785606E-104
1.74,-5.98596164455884E-104
1.75,-6.981436745107416E-104
1.76,-8.330407187662428E-104
1.77,-9.847272480123836E-104
1.78,-1.153203262249153E-103
1.79,-1.338468761476533E-103
1.8,-1.540523745694501E-103
1.81,-1.7593682149031153E-103
1.82,-2.0688097481018516E-103
1.83,-2.464910042771552E-103
1.84,-2.909422741827363E-103
1.85,-3.4023478452692625E-103
1.86,-3.9436853530974124E-103
1.87,-4.533435265311599E-103
1.8800000000000001,-5.171597581911997E-103
1.8900000000000001,-6.132681434611257E-103
1.9000000000000001,-7.296710224489147E-103
1.9100000000000001,-8.600285273565289E-103
1.92,-1.0043406581839912E-102
1.93,-1.1626074149312907E-102
1.94,-1.3348287975984382E-102
1.95,-1.5210048061854476E-102
1.96,-1.818384082005112E-102
1.97,-2.1599300975092926E-102
1.98,-2.5415915778278187E-102
1.99,-2.9633685229607246E-102
2,-3.425260932908066E-102
2.0100000000000002,-3.927268807669743E-102
2.02,-4.498061472126247E-102
2.0300000000000002,-5.360531898523016E-102
2.04,-6.332540909678157E-102
2.05,-7.414088505591832E-102
2.06,-8.605174686263786E-102
2.07,-9.905799451693944E-102
2.08,-1.131596280188262E-101
2.09,-1.3021782139184846E-101
2.1,-1.5426833552230017E-101
2.11,-1.8126098526801546E-101
2.12,-2.1119577062900003E-101
2.13,-2.4407269160525516E-101
2.14,-2.7989174819678142E-101
2.15,-3.1865294040357195E-101
2.16,-3.685299718894181E-101
2.17,-4.350699198210097E-101
2.18,-5.095675415079395E-101
2.19,-5.920228369502066E-101
2.2,-6.824358061478214E-101
2.21,-7.808064491007526E-101
2.22,-8.871347658090451E-101
2.23,-1.032857377243714E-100
2.24,-1.21759604526295E-100
2.25,-1.4240890793728884E-100
2.2600000000000002,-1.6523364795735513E-100
2.27,-1.902338245864916E-100
2.2800000000000002,-2.1740943782470194E-100
2.29,-2.4676048767198793E-100
2.3000000000000003,-2.8963346093353864E-100
2.31,-3.413627907686717E-100
2.32,-3.991080070681628E-100
2.33,-4.628691098320052E-100
2.34,-5.326460990602008E-100
2.35,-6.08438974752747E-100
2.36,-6.902477369096351E-100
2.37,-8.179946198398715E-100
2.38,-9.648676626832398E-100
2.39,-1.1286720773900296E-99
2.4,-1.3094078639601839E-99
2.41,-1.5070750223937888E-99
2.42,-1.7216735526907696E-99
2.43,-5.416492145689673E-67
2.44,-6.519665268954386E-66
2.45,-1.398369889025143E-65
2.46,-2.2933750078459216E-65
2.47,-3.336981883357834E-65
2.48,-4.529190515560879E-65
2.49,-5.870000904455125E-65
2.5,-7.359413050040357E-65
2.5100000000000002,-8.997426952316756E-65
2.52,-1.0784042611284375E-64
2.5300000000000002,-1.2719260026942928E-64
2.54,-1.4803079199292863E-64
2.5500000000000003,-1.7035500128333562E-64
2.56,-1.9416522814065807E-64
2.57,-2.2774075093943444E-64
2.58,-2.7554908860783615E-64
2.59,-3.2754970777188557E-64
2.6,-3.837426084315957E-64
2.61,-4.44127790586948E-64
2.62,-5.0870525423795525E-64
2.63,-5.77474999384625E-64
2.64,-6.5043702602694E-64
2.65,-7.275913341649212E-64
2.66,-8.089379237985433E-64
2.67,-8.944767949278192E-64
2.68,-9.842079475527246E-64
2.69,-1.0845730631950217E-63
2.7,-1.2368800191441303E-63
2.71,-1.4013700271412563E-63
2.72,-1.5780430871864196E-63
2.73,-1.7668991992795813E-63
2.74,-1.9679383634205794E-63
2.75,-2.181160579609781E-63
2.7600000000000002,-2.4065658478469947E-63
2.77,-2.64415416813227E-63
2.7800000000000002,-2.893925540465534E-63
2.79,-3.15587996484684E-63
2.8000000000000003,-3.4300174412761447E-63
2.81,-3.716337969753474E-63
2.82,-4.150877990658528E-63
2.83,-4.649258864351681E-63
2.84,-5.184923624712317E-63
2.85,-5.757872271740383E-63
2.86,-6.368104805435936E-63
2.87,-7.015621225798951E-63
2.88,-7.700421532829397E-63
2.89,-8.422505726526213E-63
2.9,-9.181873806891513E-63
2.91,-9.978525773924268E-63
2.92,-1.0812461627624556E-62
2.93,-1.1683681367992346E-62
2.94,-1.2898793849496977E-62
2.95,-1.4502349494051712E-62
2.96,-1.6234883321595753E-62
2.97,-1.809639533212752E-62
2.98,-2.0086885525650537E-62
2.99,-2.220635390216271E-62
3,-2.4454800461664283E-62
3.0100000000000002,-2.6832225204155224E-62
3.02,-2.9338628129635254E-62
3.0300000000000002,-3.1974009238105233E-62
3.04,-3.4738368529561325E-62
3.0500000000000003,-3.7631706004009537E-62
3.06,-4.111816221394732E-62
3.0700000000000003,-4.661293360998792E-62
3.08,-5.257783198586476E-62
3.09,-5.901285734157931E-62
3.1,-6.591800967712994E-62
3.11,-7.329328899251331E-62
3.12,-8.113869528773773E-62
3.13,-8.945422856280001E-62
3.14,-9.823988881769909E-62
3.15,-1.0749567605243496E-61
3.16,-1.1722159026700695E-61
3.17,-1.2741763146141615E-61
3.18,-1.3808379963565682E-61
3.19,-1.5635560959615762E-61
3.2,-1.7690689399998355E-61
3.21,-1.9911066693690905E-61
3.22,-2.229669284069432E-61
3.23,-2.48475678410081E-61
3.24,-2.756369169463212E-61
3.25,-3.0445064401567036E-61
3.2600000000000002,-3.3491685961812736E-61
3.27,-3.670355637536913E-61
3.2800000000000002,-4.008067564223581E-61
3.29,-4.362304376241291E-61
3.3000000000000003,-4.733066073590088E-61
3.31,-5.27665613298173E-61
3.3200000000000003,-5.969070452554269E-61
