% Model,COMSOL_Single_Pipe.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 17 2026, 11:12"
% Table,Table_c_Sensor - c_Pipe_1_Sensor
% Time (s),c_Pipe_1 (mol/m^3),c_Pipe_1_Phase_2 (mol/m^3)
5.64,0.9683978614460259,0.9961504147971856
5.65,0.968895570892859,0.9962370290400722
5.66,0.9693868558414721,0.9963222826121824
5.67,0.969872171035638,0.9964061755135044
5.68,0.9703513624899543,0.9964887077440223
5.69,0.9708243422976893,0.9965698793037564
5.7,0.9712911104588314,0.9966496901926997
5.71,0.9717518443929195,0.9967281404108446
5.72,0.9722068882675576,0.9968052299582038
5.73,0.9726559485109939,0.9968809588347649
5.74,0.9730990251232363,0.9969553270405346
5.75,0.9735361181042577,0.9970283345755211
5.76,0.9739676755732883,0.9970999814397257
5.7700000000000005,0.9743935192369623,0.9971702676331191
5.78,0.9748135797123496,0.9972391931557343
5.79,0.9752278569994487,0.9973067580075461
5.8,0.9756365375902558,0.9973729621885722
5.8100000000000005,0.976039919009348,0.9974378056988085
5.82,0.9764377336746969,0.9975012885382544
5.83,0.9768299815862977,0.9975634107068965
5.84,0.9772166627441525,0.997624172204765
5.8500000000000005,0.9775982894903275,0.9976835730318319
5.86,0.9779746298468563,0.9977416131881184
5.87,0.9783456227833676,0.9977982926735883
5.88,0.9787112682998772,0.9978536114882761
5.89,0.9790717517639982,0.9979075696321945
5.9,0.979427315661014,0.9979627702826296
5.91,0.9797777280340961,0.9980185205861272
5.92,0.9801229888832307,0.9980732322217513
5.93,0.9804630982084213,0.9981269051895202
5.94,0.9807990254379932,0.9981795394894343
5.95,0.9811302821618856,0.9982311351214902
5.96,0.9814567851240118,0.9982816920856961
5.97,0.9817785343243636,0.9983312103820421
5.98,0.9820955297629609,0.998379690010529
5.99,0.9824077714397872,0.9984271309711646
6,0.9827152593548434,0.9984735332639301
6.01,0.9830179935081453,0.998518896888856
6.0200000000000005,0.9833159738996741,0.9985632218459088
6.03,0.9835771894923386,0.9986065081351114
6.04,0.9838361018745206,0.9986487557564585
6.05,0.9840950142566932,0.9986899647099434
6.0600000000000005,0.984353926638864,0.9987301349955849
6.07,0.9846128390210428,0.9987692666133692
6.08,0.9848717514032146,0.9988073595632811
6.09,0.9851306637853918,0.9988444138453436
6.1000000000000005,0.9853895761675677,0.9988804294595577
6.11,0.9856484885497406,0.9989154064058999
6.12,0.9858751130330767,0.9989493446843927
6.13,0.986100715973891,0.998982244295027
6.140000000000001,0.9863263189147125,0.9990141052377993
6.15,0.9865519218555433,0.9990449275127307
6.16,0.9867775247963644,0.999077706933683
6.17,0.9870031277371746,0.9991104406964405
6.18,0.987228730677996,0.9991424165575425
6.19,0.987454333618827,0.999173634516957
6.2,0.9876798476657621,0.9992040945747103
6.21,0.9878529687418175,0.999233796730801
6.22,0.9880260898178805,0.9992627409852097
6.23,0.9881992108939436,0.9992909273379496
6.24,0.9883723319699933,0.9993183557890213
6.25,0.988545453046052,0.9993450263384265
6.26,0.988718574122115,0.9993709389861555
6.2700000000000005,0.9888916951981715,0.9993960937322036
6.28,0.9890648162742258,0.9994204905765991
6.29,0.989237937350287,0.9994441295193128
6.3,0.9894110584263429,0.9994670105603747
6.3100000000000005,0.9895841795023985,0.999489133699735
6.32,0.9897573005784591,0.9995104989374443
6.33,0.9899304216545157,0.9995311062734812
6.34,0.9901035427305744,0.9995509557078334
6.3500000000000005,0.9902766638066315,0.9995700472405404
6.36,0.9904497848826863,0.9995883808715506
6.37,0.9906229059587403,0.9996059566009063
6.38,0.9907932899927243,0.999622774428576
6.390000000000001,0.9909252016768584,0.9996388343546052
6.4,0.9910571133609827,0.9996541363789313
6.41,0.9911890250451209,0.9996686805015955
6.42,0.9913209367292599,0.9996858085462943
6.43,0.9914528484133911,0.9997024564668961
6.44,0.9915847600975227,0.9997185979013199
6.45,0.9917166717816539,0.9997342328496033
6.46,0.9918485834657943,0.9997493613117143
6.47,0.9919804951499237,0.9997639832876796
6.48,0.992112406834053,0.9997780987774766
6.49,0.9922443185181927,0.9997917077811227
6.5,0.9923762302023271,0.9998048102986135
6.51,0.9925081418864545,0.9998174063299428
6.5200000000000005,0.9926400535705827,0.9998294958751144
6.53,0.9927719652547174,0.9998410789341152
6.54,0.9929038769388622,0.9998521555069617
6.55,0.9930357886229977,0.9998627255936574
6.5600000000000005,0.9931635660133661,0.999872789194186
6.57,0.993263952384608,0.9998823463085601
6.58,0.9933643387558415,0.9998913969367698
6.59,0.993464725127082,0.999899941078825
6.6000000000000005,0.9935651114983194,0.9999079787347196
6.61,0.9936654978695578,0.9999155099044656
6.62,0.9937658842408006,0.9999225345880433
6.63,0.9938662706120361,0.9999290527854585
6.640000000000001,0.9939666569832757,0.9999350644967202
6.65,0.9940670433545079,0.9999405697218239
6.66,0.9941674297257562,0.9999455684607794
6.67,0.9942678160969874,0.9999505697346026
6.68,0.9943682024682269,0.9999574820850567
6.69,0.9944685888394715,0.9999641033475486
6.7,0.994568975210709,0.9999704335220351
6.71,0.9946693615819447,0.9999764726085404
6.72,0.9947697479531877,0.9999822206070632
6.73,0.9948701343244294,0.9999876775175804
6.74,0.9949687683449092,0.9999928433401374
6.75,0.9950596179504313,0.9999977180746931
6.76,0.9951494806711098,1.000002301721259
6.7700000000000005,0.9952383565069601,1.0000065942798402
6.78,0.9953262454579554,1.000010595750439
6.79,0.9954131475241207,1.0000143061330418
6.8,0.9954990627054371,1.0000177254276807
6.8100000000000005,0.995583991001916,1.0000208536343116
6.82,0.9956679324135437,1.0000236907529585
6.83,0.9957508869403315,1.0000262367836215
6.84,0.9958328545822829,1.0000284917263127
6.8500000000000005,0.9959138353393923,1.0000304555810011
6.86,0.9959938292116616,1.0000321283477125
6.87,0.9960728361990909,1.0000335100264182
6.88,0.9961508563016718,1.0000346006171503
6.890000000000001,0.9962278895194182,1.0000354001199026
6.9,0.9963039358523035,1.0000359085346608
6.91,0.9963789953003578,1.0000361258614259
6.92,0.9964528821145741,1.000036052100211
6.93,0.9965252056099053,1.0000364505104198
6.94,0.9965964638728086,1.0000379549819531
6.95,0.9966666569033008,1.0000393251802533
6.96,0.996735784701384,1.0000405611052852
6.97,0.9968038472670546,1.0000416627570816
6.98,0.9968708446003096,1.0000426301356196
6.99,0.9969367767011601,1.0000434632409292
7,0.9970016435695821,1.0000441620729845
7.01,0.9970654452056047,1.0000447266317904
7.0200000000000005,0.9971281816091979,1.0000451569173574
7.03,0.9971898527803952,1.0000454529296592
7.04,0.9972504587191711,1.0000456146687338
7.05,0.9973099994255412,1.0000456421345514
7.0600000000000005,0.9973684748994887,1.0000455353271287
7.07,0.9974258851410295,1.0000452942464566
7.08,0.9974822301501511,1.0000449188925362
7.09,0.9975375099268742,1.0000444092653655
7.1000000000000005,0.9975924548923348,1.0000437653649568
7.11,0.9976480124393844,1.0000429871912873
7.12,0.9977027506691489,1.0000420747443857
7.13,0.9977566695816391,1.0000410280242233
7.140000000000001,0.9978097691768553,1.000039847030823
7.15,0.9978620494547855,1.0000385317641916
7.16,0.9979135104154374,1.000037082224288
7.17,0.9979641520588063,1.0000354984111466
7.18,0.9980139743848869,1.0000337803247596
7.19,0.9980629773936909,1.0000328382953334
7.2,0.998111161085224,1.0000325680926814
7.21,0.9981585254594626,1.0000322865104956
7.22,0.9982050705164272,1.00003199354874
7.23,0.9982507962561061,1.0000316892074432
7.24,0.9982957026785195,1.0000313734866038
7.25,0.998339789783637,1.0000310463862068
7.26,0.998383057571473,1.0000307079062645
7.2700000000000005,0.9984255060420298,1.0000303580467798
7.28,0.9984671351953079,1.000029996807741
7.29,0.9985079450313146,1.0000296241891529
7.3,0.998547935550026,1.0000292401910105
7.3100000000000005,0.9985871067514573,1.0000288448133223
7.32,0.9986254586356194,1.0000284380560949
7.33,0.9986629912024875,1.000028019919303
7.34,0.9986997044520879,1.0000275904029754
7.3500000000000005,0.9987355983843907,1.0000271495070934
7.36,0.9987706729994211,1.0000266972316585
7.37,0.9988049282971764,1.000026233576682
7.38,0.9988383642776439,1.0000257585421513
7.390000000000001,0.9988709809408308,1.0000252721280676
7.4,0.9989027782867415,1.000024774334446
7.41,0.9989337563153625,1.0000242651612765
7.42,0.9989639150267146,1.0000237446085536
7.43,0.9989932544207804,1.0000232126762743
7.44,0.9990217744975658,1.000022669364447
7.45,0.9990494752570669,1.0000221146730797
7.46,0.9990781906483469,1.000021548602154
7.47,0.9991084470391776,1.000020971151681
7.48,0.999138106148595,1.0000203823216665
7.49,0.9991671679765852,1.0000197821121082
7.5,0.9991956325231468,1.0000191705229944
7.51,0.9992234997882924,1.0000185475543188
7.5200000000000005,0.9992507697720046,1.0000179132061147
7.53,0.9992774424743021,1.0000172674783374
7.54,0.9993035178951662,1.0000166103710302
7.55,0.9993289960346212,1.0000159418841692
7.5600000000000005,0.9993538768926346,1.0000152620177511
7.57,0.9993781604692424,1.0000145707718002
7.58,0.9994018467644199,1.0000138681462976
7.59,0.9994249357781673,1.0000131541412345
7.6000000000000005,0.9994474275105042,1.000012428756619
7.61,0.9994693219614074,1.0000116919924813
7.62,0.9994906191309001,1.000010943848769
7.63,0.999511319018951,1.0000101843255267
7.640000000000001,0.9995314216255852,1.000009413422715
7.65,0.999550926950802,1.0000086311403709
7.66,0.9995698349945956,1.0000078374784784
7.67,0.9995881457569536,1.0000070324370327
7.68,0.9996058592378884,1.0000062160160317
7.69,0.9996229754374111,1.0000053882154765
7.7,0.9996394943555084,1.0000045490353866
7.71,0.9996554159921754,1.000004618444285
7.72,0.9996707403474276,1.000004744472147
7.73,0.9996854674212521,1.000004870500014
7.74,0.9996995972136458,1.000004996527881
7.75,0.9997131297246186,1.0000051225557576
7.76,0.9997260649541769,1.0000052485836217
7.7700000000000005,0.9997384029023008,1.0000053746115056
7.78,0.9997501435690146,1.000005500639364
7.79,0.9997612869542881,1.0000056266672435
7.8,0.999771833058155,1.0000057526951072
7.8100000000000005,0.9997817818805849,1.0000058787229835
7.82,0.999793782999146,1.0000060047508488
7.83,0.9998072696595657,1.000006130778719
7.84,0.9998204078571025,1.0000062568065942
7.8500000000000005,0.9998331975917442,1.0000063828344543
7.86,0.9998456388635077,1.0000065088623251
7.87,0.9998577316723711,1.0000066348902041
7.88,0.9998694760183446,1.0000067609180727
7.890000000000001,0.9998808719014433,1.0000068869459342
7.9,0.9998919193216486,1.0000070129738177
7.91,0.9999026182789624,1.0000071390016785
7.92,0.9999129687733899,1.0000072650295455
7.930000000000001,0.9999229708049221,1.0000073910574137
7.94,0.9999326243735746,1.0000075170852847
7.95,0.9999419294793357,1.000007643113154
7.96,0.9999508861222189,1.0000077691410287
7.97,0.9999594943021949,1.000007895168904
7.98,0.9999677540192993,1.0000080211967703
7.99,0.9999756652735018,1.0000081472246445
8,0.999983228064831,1.0000082732525089
8.01,0.9999904423932567,1.000008399280385
8.02,0.9999973082587963,1.0000085253082553
8.03,1.0000038256614572,1.00000865133613
8.040000000000001,1.000009994601228,1.0000087773639854
8.05,1.0000158150781002,1.0000089033918633
8.06,1.0000212870920977,1.0000090294197372
8.07,1.0000264106431966,1.0000091554476003
8.08,1.00003118573141,1.0000092814754677
8.09,1.0000356123567362,1.0000094075033379
8.1,1.0000396905191753,1.000009533531208
8.11,1.0000434202187234,1.0000096595590786
8.120000000000001,1.0000468014553807,1.00000978558695
8.13,1.000049834229163,1.000009911614822
8.14,1.0000525185400488,1.0000100376426961
8.15,1.0000548543880414,1.000010163670558
8.16,1.0000568417731546,1.0000102896984286
8.17,1.0000584806953665,1.000010415726301
8.18,1.000062074818969,1.000010541754169
8.19,1.0000663959797198,1.000010667782051
8.2,1.00007054514505,1.0000107938099123
8.21,1.0000745223149783,1.0000109198377864
8.22,1.0000783274894975,1.0000110458656473
8.23,1.0000819606686056,1.000011171893524
8.24,1.000085421852307,1.000011297921381
8.25,1.0000887110406007,1.000011423949268
8.26,1.0000918282334832,1.000011549977132
8.27,1.0000947734309658,1.0000116760050095
8.28,1.0000975466330335,1.0000118020328737
8.290000000000001,1.000100147839697,1.0000119280607387
8.3,1.0001025770509469,1.0000120540886137
8.31,1.0001048342667818,1.000012180116484
8.32,1.0001069194872312,1.0000123061443564
8.33,1.000108832712257,1.0000124321722221
8.34,1.0001105739418752,1.0000125582000858
8.35,1.0001121431760924,1.0000126842279664
8.36,1.0001135404148926,1.0000128102558277
8.370000000000001,1.0001147656582876,1.0000129362837062
8.38,1.0001158189062598,1.0000130623115675
8.39,1.0001167001588516,1.0000131883394312
8.4,1.0001174094160195,1.0000133143673164
8.41,1.0001179466777834,1.000013440395189
8.42,1.0001183119441321,1.0000135664230567
8.43,1.0001185052150834,1.0000136924509262
8.44,1.000118526490627,1.0000138184787952
8.45,1.0001183757707446,1.000013944506664
8.46,1.0001180530554679,1.0000140705345328
8.47,1.0001175583447817,1.0000141965624014
8.48,1.0001168916386767,1.000014322590274
8.49,1.0001160529371753,1.0000144486181488
8.5,1.000115042240268,1.0000145746460198
8.51,1.0001138595479444,1.0000147006738849
8.52,1.0001125048602197,1.0000148267017606
8.53,1.0001109781770743,1.0000149527296287
8.540000000000001,1.000110934174337,1.0000150787574973
8.55,1.0001111246189833,1.0000152047853617
8.56,1.0001112499816942,1.0000153308132307
8.57,1.0001113102624535,1.0000154568410995
8.58,1.0001113054612507,1.0000155828689739
8.59,1.0001112355780981,1.0000157088968418
8.6,1.0001111006130055,1.0000158349247068
8.61,1.0001109005659579,1.0000159609525872
8.620000000000001,1.0001106354369529,1.000016086980467
8.63,1.0001103052260072,1.000016213008319
8.64,1.000109909933113,1.0000163390361838
8.65,1.0001094495582548,1.0000164650640686
8.66,1.0001089241014502,1.0000165910919359
8.67,1.0001083335627026,1.0000167171198036
8.68,1.0001076779419955,1.0000168431476824
8.69,1.000106957239351,1.0000169691755467
8.700000000000001,1.0001061714547448,1.000017095203425
8.71,1.0001053205881894,1.0000174002305589
8.72,1.0001044046396736,1.0000177163386461
8.73,1.0001034236092214,1.0000180324467387
8.74,1.000102377496819,1.000018348554823
8.75,1.0001012663024624,1.0000186646629188
8.76,1.000100090026151,1.0000189807710125
8.77,1.000098848667888,1.0000192968791026
8.78,1.0000975422276888,1.0000196129871988
8.790000000000001,1.00009617070553,1.0000199290952791
8.8,1.000094734101418,1.0000202452033782
8.81,1.0000932324153584,1.0000205613114788
8.82,1.000091665647342,1.0000208774195631
8.83,1.0000900337973762,1.00002119352765
8.84,1.0000883368654754,1.0000215096357439
8.85,1.0000865748516146,1.0000218257438374
8.86,1.0000847477557915,1.0000221418519304
8.870000000000001,1.0000828555780323,1.0000224579600145
8.88,1.0000808983183238,1.000022774068109
8.89,1.0000788759766561,1.000023090176199
8.9,1.0000779890471752,1.0000234062842779
8.91,1.0000771369997317,1.0000237223923865
8.92,1.0000762868772195,1.000024038500479
8.93,1.0000754386796307,1.0000243546085728
8.94,1.000074592406963,1.0000246707166662
8.950000000000001,1.0000737480592166,1.0000249868247642
8.96,1.0000729056364075,1.0000253029328452
8.97,1.0000720651385004,1.000025619040934
8.98,1.0000712265655376,1.0000259351490322
8.99,1.0000703899174872,1.000026251257126
9,1.000069555194363,1.000026567365199
9.01,1.0000687223961706,1.0000268834733017
9.02,1.0000678915228962,1.0000271995813923
9.03,1.0000670625745467,1.0000275156894851
9.040000000000001,1.000066235551114,1.000027831797573
9.05,1.0000654104526188,1.0000281479056705
9.06,1.0000645872790404,1.0000284640137638
9.07,1.0000637660303884,1.0000287801218524
9.08,1.000062946706653,1.0000290962299379
9.09,1.000062129307844,1.000029412338032
9.1,1.000061313833966,1.000029728446126
9.11,1.000060500285002,1.0000300445542114
9.120000000000001,1.0000596886609758,1.000030360662302
9.13,1.000058878961873,1.0000306767703924
9.14,1.0000580711876816,1.000030992878499
9.15,1.0000572653384203,1.000031308986585
9.16,1.0000564614140923,1.0000316250946737
9.17,1.0000556594146712,1.0000319412027692
9.18,1.0000548593401806,1.000032257310852
9.19,1.0000540611906152,1.0000325734189355
9.200000000000001,1.0000532649659812,1.0000328895270336
9.21,1.0000524706662548,1.000033205635126
9.22,1.0000516782914615,1.000033521743222
9.23,1.000050887841595,1.000033837851315
9.24,1.0000500993166477,1.0000341539594009
9.25,1.0000493127166297,1.0000344700675021
9.26,1.000048528041523,1.000034786175593
9.27,1.0000477452913523,1.0000351022836789
9.28,1.0000469644661043,1.0000354183917717
9.290000000000001,1.0000461855657807,1.0000357344998645
9.3,1.0000454085903703,1.0000360506079553
9.31,1.0000446335398938,1.0000363667160483
9.32,1.000043860414346,1.0000366828241425
9.33,1.0000430892137113,1.0000369989322384
9.34,1.0000423199380166,1.0000373150403203
9.35,1.0000415525872275,1.000037631148417
9.36,1.0000407871613683,1.0000379472565044
9.370000000000001,1.0000400236604445,1.0000382633646019
9.38,1.0000392620844276,1.0000385794726923
9.39,1.0000385024333525,1.000038895580779
9.4,1.0000377447071833,1.000039211688873
9.41,1.0000369889059524,1.00003952779696
9.42,1.0000362350296321,1.0000398439050473
9.43,1.000035483078243,1.0000401600131485
9.44,1.0000347330517794,1.000040476121242
9.450000000000001,1.0000339849502404,1.0000407922293268
9.46,1.0000332387736133,1.000041108337427
9.47,1.0000324945219259,1.000041424445506
9.48,1.0000317521951603,1.0000417405536104
9.49,1.0000310117933036,1.000042056661694
9.5,1.0000302733163824,1.0000423727697967
9.51,1.0000295367643872,1.0000426888778806
9.52,1.0000288021373207,1.0000430049859759
9.53,1.0000280694351698,1.0000433210940585
9.540000000000001,1.0000273386579506,1.0000436372021537
9.55,1.0000266098056454,1.000043953310252
9.56,1.000025882878257,1.0000442694183356
9.57,1.0000251578758212,1.0000445855264246
9.58,1.0000244347982792,1.0000449016345219
9.59,1.0000237136456789,1.0000452177426118
9.6,1.0000229944179904,1.0000455338507017
9.61,1.0000224073073358,1.0000458499587908
9.620000000000001,1.0000222532457184,1.0000461660668858
9.63,1.000022099184088,1.000046482174984
9.64,1.0000219451224597,1.0000467982830696
9.65,1.0000217910608324,1.0000471143911596
9.66,1.0000216369992019,1.0000474304992533
9.67,1.0000214829375857,1.00004774660734
9.68,1.0000213288759472,1.000048062715438
9.69,1.0000211748143248,1.0000483788235246
9.700000000000001,1.0000210207526998,1.0000486949316223
9.71,1.0000208666910733,1.00004885676095
9.72,1.0000207126294438,1.0000490090396448
9.73,1.0000205585678166,1.0000491613183238
9.74,1.000020404506186,1.0000493135970225
9.75,1.000020250444562,1.000049465875724
9.76,1.0000200963829333,1.0000496181543956
9.77,1.0000199423213112,1.0000497704330942
9.78,1.0000197882596882,1.000049922711798
9.790000000000001,1.0000196341980565,1.000050074990491
9.8,1.0000194801364246,1.000050227269182
9.81,1.0000193260748038,1.0000503795478815
9.82,1.0000191720131717,1.0000505318265667
9.83,1.0000190179515467,1.0000506841052663
9.84,1.000018863889923,1.0000508363839509
9.85,1.000018709828293,1.0000509886626385
9.86,1.0000185557666643,1.0000511409413433
9.870000000000001,1.0000184017050353,1.0000512932200347
9.88,1.0000182476434079,1.000051445498728
9.89,1.0000180935817824,1.0000515977774163
9.9,1.000017939520157,1.0000517500561203
9.91,1.0000177854585277,1.0000519023348136
9.92,1.000017631396892,1.0000520546135077
9.93,1.0000174773352717,1.0000522068921949
9.94,1.0000173232736405,1.0000523591708836
9.950000000000001,1.0000171692120194,1.0000525114495842
9.96,1.0000170151503893,1.0000526637282656
9.97,1.0000168610887576,1.0000528160069657
9.98,1.0000167070271377,1.0000529682856576
9.99,1.0000165529655107,1.000053120564355
10,1.0000163989038848,1.0000532728430442
10.01,1.0000162448422572,1.0000532728430442
10.02,1.0000160907806244,1.0000532728430442
10.03,1.0000159367189971,1.0000532728430442
10.040000000000001,1.0000157826573706,1.0000532728430442
10.05,1.000015628595738,1.0000532728430442
10.06,1.0000154745341137,1.0000532728430442
10.07,1.0000153204724875,1.0000532728430442
10.08,1.0000151664108576,1.0000532728430442
10.09,1.000015012349235,1.0000532728430442
10.1,1.0000148582876074,1.0000532728430442
10.11,1.0000147042259826,1.0000532728430442
10.120000000000001,1.0000145501643538,1.0000532728430442
10.13,1.0000143961027335,1.0000532728430442
10.14,1.000014242041096,1.0000532728430442
10.15,1.0000140879794803,1.0000532728430442
10.16,1.0000139339178462,1.0000532728430442
10.17,1.0000137798562123,1.0000532728430442
10.18,1.0000136257945902,1.0000532728430442
10.19,1.0000134717329572,1.0000532728430442
10.200000000000001,1.0000133176713293,1.0000532728430442
10.21,1.0000131636097094,1.0000532728430442
10.22,1.0000130095480828,1.0000532728430442
10.23,1.0000128554864502,1.0000532728430442
10.24,1.0000127014248246,1.0000532728430442
10.25,1.000012547363199,1.0000532728430442
10.26,1.000012393301573,1.0000532728430442
10.27,1.0000122392399442,1.0000532728430442
10.28,1.0000120851783156,1.0000532728430442
10.290000000000001,1.0000119311166933,1.0000532728430442
10.3,1.0000117770550596,1.0000532728430442
10.31,1.000011622993437,1.0000532728430442
10.32,1.00001146893181,1.0000532728430442
10.33,1.0000113148701841,1.0000532728430442
10.34,1.0000111608085538,1.0000532728430442
10.35,1.0000110067469186,1.0000532728430442
10.36,1.0000108526852935,1.0000532728430442
10.370000000000001,1.0000106986236694,1.0000532728430442
10.38,1.0000105445620444,1.0000532728430442
10.39,1.0000103905004156,1.0000532728430442
10.4,1.000010236438788,1.0000532728430442
10.41,1.0000100823771647,1.0000532728430442
10.42,1.0000099283155324,1.0000532728430442
10.43,1.000009774253913,1.0000532728430442
10.44,1.0000096201922775,1.0000532728430442
10.450000000000001,1.0000094661306536,1.0000532728430442
10.46,1.0000093120690257,1.0000532728430442
10.47,1.0000091580074022,1.0000532728430442
10.48,1.000009003945778,1.0000532728430442
10.49,1.0000088498841537,1.0000532728430442
10.5,1.000008695822521,1.0000532728430442
10.51,1.000008541760886,1.0000532728430442
10.52,1.0000083876992605,1.0000532728430442
10.53,1.0000082336376352,1.0000532728430442
10.540000000000001,1.000008079576013,1.0000532728430442
10.55,1.0000079255143832,1.0000532728430442
10.56,1.0000077714527558,1.0000532728430442
10.57,1.0000076173911265,1.0000532728430442
10.58,1.0000074633295035,1.0000532728430442
10.59,1.0000073092678803,1.0000532728430442
10.6,1.0000071552062455,1.0000532728430442
10.61,1.0000070011446187,1.0000532728430442
10.620000000000001,1.0000068470829944,1.0000532728430442
10.63,1.000006693021364,1.0000532728430442
10.64,1.0000065389597346,1.0000532728430442
10.65,1.000006384898109,1.0000532728430442
10.66,1.0000062308364859,1.0000532728430442
10.67,1.0000060767748553,1.0000532728430442
10.68,1.000005922713228,1.0000532728430442
10.69,1.0000057686515988,1.0000532728430442
10.700000000000001,1.0000056145899756,1.0000532728430442
10.71,1.0000054605283464,1.0000532728430442
10.72,1.000005306466723,1.0000532728430442
10.73,1.0000051524050937,1.0000532728430442
10.74,1.0000049983434636,1.0000532728430442
10.75,1.0000048442818372,1.0000532728430442
10.76,1.000004690220208,1.0000532728430442
10.77,1.0000045361585885,1.0000532728430442
10.78,1.000004382096957,1.0000532728430442
10.790000000000001,1.0000042280353256,1.0000532728430442
10.8,1.0000040739737013,1.0000532728430442
10.81,1.000003919912075,1.0000532728430442
10.82,1.0000037658504493,1.0000532728430442
10.83,1.000003611788822,1.0000532728430442
10.84,1.0000034577271915,1.0000532728430442
10.85,1.0000033036655602,1.0000532728430442
10.86,1.0000031496039317,1.0000532728430442
10.870000000000001,1.0000029955423035,1.0000532728430442
10.88,1.0000028414806843,1.0000532728430442
10.89,1.0000026874190588,1.0000532728430442
10.9,1.0000025333574305,1.0000532728430442
10.91,1.0000023792957988,1.0000532728430442
10.92,1.000002225234172,1.0000532728430442
10.93,1.0000020711725486,1.0000532728430442
10.94,1.0000019171109147,1.0000532728430442
10.950000000000001,1.000001763049288,1.0000532728430442
10.96,1.0000016089876589,1.0000532728430442
10.97,1.0000014549260403,1.0000532728430442
10.98,1.0000013008644146,1.0000532728430442
10.99,1.0000011468027854,1.0000532728430442
11,1.000000992741157,1.0000532728430442
11.01,1.0000008386795314,1.0000532728430442
11.02,1.0000006846179046,1.0000532728430442
11.03,1.0000005305562816,1.0000532728430442
11.040000000000001,1.0000003764946581,1.0000532728430442
11.05,1.0000003342037789,1.0000532728430442
11.06,1.0000003293199997,1.0000532728430442
11.07,1.0000003244362246,1.0000532728430442
11.08,1.0000003195524412,1.0000532728430442
11.09,1.0000003146686651,1.0000532728430442
11.1,1.000000309784889,1.0000532728430442
11.11,1.0000003049011092,1.0000532728430442
11.120000000000001,1.000000300017333,1.0000532728430442
11.13,1.0000002951335523,1.0000532728430442
11.14,1.0000002902497713,1.0000532728430442
11.15,1.0000002853659906,1.0000532728430442
11.16,1.0000002804822108,1.0000532728430442
11.17,1.0000002755984325,1.0000532728430442
11.18,1.000000270714657,1.0000532728430442
11.19,1.0000002658308718,1.0000532728430442
11.200000000000001,1.0000002609470924,1.0000532728430442
11.21,1.0000002560633239,1.0000532728430442
11.22,1.000000251179536,1.0000532728430442
11.23,1.00000024629576,1.0000532728430442
11.24,1.0000002414119784,1.0000532728430442
11.25,1.0000002365281977,1.0000532728430442
11.26,1.0000002316444239,1.0000532728430442
11.27,1.000000226760647,1.0000532728430442
11.28,1.0000002218768702,1.0000532728430442
11.290000000000001,1.000000216993087,1.0000532728430442
11.3,1.0000002121093132,1.0000532728430442
11.31,1.0000002072255332,1.0000532728430442
11.32,1.0000002023417556,1.0000532728430442
11.33,1.0000001974579813,1.0000532728430442
11.34,1.0000001925741955,1.0000532728430442
11.35,1.0000001876904125,1.0000532728430442
11.36,1.0000001828066385,1.0000532728430442
11.370000000000001,1.0000001779228531,1.0000532728430442
11.38,1.000000173039084,1.0000532728430442
11.39,1.0000001681553035,1.0000532728430442
11.4,1.0000001632715216,1.0000532728430442
11.41,1.0000001583877423,1.0000532728430442
11.42,1.00000015350397,1.0000532728430442
11.43,1.0000001486201868,1.0000532728430442
11.44,1.0000001437364054,1.0000532728430442
11.450000000000001,1.000000138852627,1.0000532728430442
11.46,1.0000001339688531,1.0000532728430442
11.47,1.0000001290850722,1.0000532728430442
11.48,1.000000124201301,1.0000532728430442
11.49,1.0000001193175225,1.0000532728430442
11.5,1.0000001144337411,1.0000532728430442
11.51,1.0000001095499609,1.0000532728430442
11.52,1.000000104666181,1.0000532728430442
11.53,1.0000000997824103,1.0000532728430442
11.540000000000001,1.000000094898625,1.0000532728430442
11.55,1.0000000900148442,1.0000532728430442
11.56,1.0000000851310649,1.0000532728430442
11.57,1.0000000802472933,1.0000532728430442
11.58,1.0000000753635117,1.0000532728430442
11.59,1.0000000704797354,1.0000532728430442
11.6,1.0000000655959538,1.0000532728430442
11.61,1.00000006071218,1.0000532728430442
11.620000000000001,1.0000000558284032,1.0000532728430442
11.63,1.0000000509446174,1.0000532728430442
11.64,1.0000000460608454,1.0000532728430442
11.65,1.000000041177071,1.0000532728430442
11.66,1.0000000362932837,1.0000532728430442
11.67,1.0000000314095085,1.0000532728430442
11.68,1.0000000265257292,1.0000532728430442
11.69,1.0000000216419491,1.0000532728430442
11.700000000000001,1.0000000167581773,1.0000532728430442
11.71,1.0000000118743895,1.0000532728430442
11.72,1.0000000069906114,1.0000532728430442
11.73,1.0000000021068316,1.0000532728430442
11.74,0.9999999972230594,1.0000532728430442
11.75,0.9999999923392727,1.0000532728430442
11.76,0.9999999874554956,1.0000532728430442
11.77,0.9999999825717188,1.0000532728430442
11.78,0.9999999776879428,1.0000532728430442
11.790000000000001,0.9999999728041608,1.0000532728430442
11.8,0.9999999679203848,1.0000532728430442
11.81,0.9999999630366025,1.0000532728430442
11.82,0.9999999581528247,1.0000532728430442
11.83,0.9999999532690456,1.0000532728430442
11.84,0.9999999483852762,1.0000532728430442
11.85,0.9999999435014969,1.0000532728430442
11.86,0.999999938617712,1.0000532728430442
