% Model,COMSOL_Single_Pipe.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 17 2026, 11:12"
% Table,Table_c_Sensor - c_Pipe_1_Sensor
% Time (s),c_Pipe_1 (mol/m^3),c_Pipe_1_Phase_2 (mol/m^3)
1.21,1.338681665767723E-9,0.021094643608303987
1.22,1.9556299210926686E-9,0.023314060762409883
1.23,2.5303411668349905E-9,0.02568547170950108
1.24,3.0797212850098513E-9,0.028202509511912104
1.25,3.652455557665219E-9,0.030865449830464745
1.26,4.248543984800949E-9,0.03367567239335023
1.27,4.9170639056763185E-9,0.036632359332460174
1.28,5.838604520553059E-9,0.039735510647794584
1.29,6.877552269182081E-9,0.04297151756523347
1.3,8.033907151563509E-9,0.04634690901668384
1.31,9.3076691676973E-9,0.04986204649464097
1.32,1.1594800548030452E-8,0.05349734902286215
1.33,1.4721570416534113E-8,0.05725391121841985
1.34,1.8430762802472246E-8,0.06113687729827719
1.35,2.272237770584466E-8,0.06512875656084789
1.36,2.8436710829486063E-8,0.06921670858841741
1.37,3.807477047757131E-8,0.07341285991638458
1.3800000000000001,4.9690955908188455E-8,0.07770670073322247
1.3900000000000001,6.328526712133792E-8,0.08206930505038197
1.4000000000000001,7.88577041170168E-8,0.08651930368955715
1.41,1.0446650555634508E-7,0.09105456611218107
1.42,1.3798070602053604E-7,0.09563335916467838
1.43,1.774549751951146E-7,0.10027839395583901
1.44,2.228893130800813E-7,0.10498967048566461
1.45,2.815367162080257E-7,0.10973413902483654
1.46,3.7103395153304143E-7,0.11452043616610179
1.47,4.771049821744649E-7,0.11935348387402925
1.48,5.997498081322588E-7,0.12421410308463597
1.49,7.389684294064971E-7,0.1290959311056979
1.5,9.501065346659973E-7,0.134008079656647
1.51,1.2149353851891394E-6,0.13894186229135172
1.52,1.522423559414861E-6,0.14388324325339027
1.53,1.8725710573430693E-6,0.14884235933632448
1.54,2.3109387699930336E-6,0.15381686167634137
1.55,2.9285260695404778E-6,0.15879127767795434
1.56,3.6482743161596283E-6,0.16377454079021952
1.57,4.470183509850288E-6,0.16876665101314084
1.58,5.394253650612829E-6,0.17375620343714768
1.59,6.701250592906632E-6,0.17874805000341004
1.6,8.281870791239067E-6,0.1837428425622835
1.61,1.009108010761063E-5,0.1887357000403921
1.62,1.2128878542021026E-5,0.19372644194418892
1.6300000000000001,1.4608667865689696E-5,0.19871660017301046
1.6400000000000001,1.7881030085263037E-5,0.20370467372433465
1.6500000000000001,2.163330725363419E-5,0.2086892671190003
1.6600000000000001,2.5865499370803078E-5,0.21367157937666864
1.67,3.0577606436769354E-5,0.21865143087788944
1.68,3.685781002439946E-5,0.22362820869606018
1.69,4.422205265689973E-5,0.22860229420386066
1.7,5.253508138025821E-5,0.23357370093236282
1.71,6.179689619447527E-5,0.23854311405075873
1.72,7.27759713650029E-5,0.2435101679706572
1.73,8.650819796166241E-5,0.24847486269204608
1.74,1.0201238752257552E-4,0.25343820545208046
1.75,1.1928854004774806E-4,0.25840000636927674
1.76,1.383366555371734E-4,0.26336007469521794
1.77,1.6245804552322525E-4,0.2683191385367192
1.78,1.9001388359943963E-4,0.27327754000853355
1.79,2.2070473542597945E-4,0.27823487850640083
1.8,2.5453060100285614E-4,0.28319145501793763
1.81,2.936642384099524E-4,0.28814786450511254
1.82,3.404932232864832E-4,0.2931036977063893
1.83,3.925893894813634E-4,0.2980589818748558
1.84,4.499527369945858E-4,0.3030139657003038
1.85,5.125832658261549E-4,0.30796850901356637
1.86,5.884445300632907E-4,0.3129226118146393
1.87,6.732006111626329E-4,0.317876074444876
1.8800000000000001,7.663787599733941E-4,0.3228289701333733
1.8900000000000001,8.679789764955387E-4,0.32778131686100037
1.9000000000000001,9.828867833184774E-4,0.3327329593883718
1.9100000000000001,0.0011154287017845392,0.3376838760109658
1.92,0.0012608116768737987,0.3426341242076333
1.93,0.0014190357085862079,0.3475836558272322
1.94,0.0015901007969217969,0.3525324151504251
1.95,0.0017894080971245585,0.35748044653254823
1.96,0.0020078809890149395,0.3624277328401581
1.97,0.002245056597932874,0.36737420049100916
1.98,0.0025009349238783686,0.3723198938754554
1.99,0.0027842978969350447,0.377264812993489
2,0.003101300637421418,0.3822087770936578
2.0100000000000002,0.0034443663257116056,0.387151878604598
2.02,0.0038134949618055195,0.39209411910210723
2.0300000000000002,0.004208686545703331,0.39703525599727285
2.04,0.004653811715259463,0.40197531570827516
2.05,0.005133799632018219,0.40691435486904504
2.06,0.005648588787158919,0.41185209833419845
2.07,0.006198179180681352,0.41678837373033684
2.08,0.0067951104989437865,0.42172335580259873
2.09,0.007446146321689909,0.42665679788198235
2.1,0.00814176631845715,0.4315881026187959
