% Model,COMSOL_Single_Pipe.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 16 2026, 17:05"
% Table,c_Pipe_1_Sensor - c_Pipe_1_Sensor
% Time (s),c_Pipe_1 (mol/m^3),c_Pipe_1_Biff (mol/m^3)
0.51,2.7987417674987816E-9,4.27966469742071E-11
0.52,5.824363281905833E-9,1.0596748869018688E-10
0.53,1.3554230963493912E-8,2.6220986160238085E-10
0.54,2.7813870366041965E-8,6.480408408642072E-10
0.55,5.7361608306237227E-8,1.582777843734184E-9
0.56,1.1427712186958292E-7,3.782295904963116E-9
0.5700000000000001,2.1492689688263369E-7,8.79013168801223E-9
0.58,4.1271898812000947E-7,1.9812432334471276E-8
0.59,7.21572329427835E-7,4.327460911486126E-8
0.6,1.331269275609192E-6,9.161062037208111E-8
0.61,2.2555875581222828E-6,1.8806275510743342E-7
0.62,3.882348568477948E-6,3.746108973532141E-7
0.63,6.380067017455851E-6,7.245403367870286E-7
0.64,1.0335806981150787E-5,1.3615335710123247E-6
0.65,1.6446481164019342E-5,2.4874218465848393E-6
0.66,2.5319797475182068E-5,4.461210565824575E-6
0.67,3.898606185427872E-5,8.503265438746891E-6
0.68,5.7667913584460024E-5,1.457169069189944E-5
0.6900000000000001,8.56190801202297E-5,2.5483756160853476E-5
0.7000000000000001,1.2299560235143057E-4,4.024215298505032E-5
0.71,1.753213194401447E-4,6.422847258059028E-5
0.72,2.447610737722271E-4,9.609420486153364E-5
0.73,3.366371812810013E-4,1.4304081782400878E-4
0.74,4.5716573607474834E-4,2.043023058253239E-4
0.75,6.092479905730977E-4,2.880948631946321E-4
0.76,8.058315760307883E-4,3.9507869199805097E-4
0.77,0.0010463726528289437,5.334054121025221E-4
0.78,0.0013472682936562716,7.058890990762824E-4
0.79,0.001709225206487385,9.195008848984326E-4
0.8,0.002146755845032313,0.0011795638085211459
0.81,0.0026739956832058176,0.0014910637845056828
0.8200000000000001,0.0033070204458811618,0.001861698742638299
0.8300000000000001,0.004038021514768583,0.0022941636424668077
0.84,0.004868006366970071,0.0027979993700533567
0.85,0.005840539946139886,0.0033737571231676772
0.86,0.006930777278320684,0.004032097342960283
0.87,0.008138718363512695,0.004771841670544091
0.88,0.009487804748759711,0.005604023769299111
0.89,0.01099998904595121,0.006526241963520258
0.9,0.012654941247681009,0.00754917627495958
0.91,0.014452661353949405,0.008669729338582156
0.92,0.016433739684262507,0.009897494884754596
0.93,0.01858127636128625,0.011229224799182288
0.9400000000000001,0.020891780533780095,0.012672711914975529
0.9500000000000001,0.02337408042173267,0.014225094353499454
0.96,0.026045781475246083,0.015891793888934306
0.97,0.028893918117218025,0.01767090863016802
0.98,0.031918490347648945,0.019564791213769833
0.99,0.03512990730869225,0.021572912360033537
1,0.03852634352954322,0.023695178111729217
1.01,0.042105434173097894,0.02593158598149616
1.02,0.045866914316918264,0.028280582132918577
1.03,0.0498096316934457,0.030741996155995325
1.04,0.053934327939789035,0.03331357577344554
1.05,0.05824100305594991,0.0359944700349364
1.06,0.06272070079277751,0.03878234494793494
1.07,0.06737198840973797,0.0416753242979381
1.08,0.07219864312524171,0.044671469954997656
1.09,0.0771990323514098,0.04776771551040975
1.1,0.08234987651534163,0.05096280577004684
1.11,0.08766484847017084,0.05425245303176233
1.12,0.09314394821589984,0.05763415325731333
1.1300000000000001,0.09877191076031118,0.06109804229864
