% Model,COMSOL_Three_Pipes_Phase_2.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 22 2026, 14:46"
% Table,Table 22 - c_CNN_Sensor_Phase_2
% Time (s),c_CNN_Sensor_Phase_2 (mol/m^3),c_CNN_Sensor_Phase_2 (mol/m^3),c_CNN_Sensor_Phase_2 (mol/m^3),c_CNN_Sensor_Phase_2 (mol/m^3),c_CNN_Sensor_Phase_2 (mol/m^3),c_CNN_Sensor_Phase_2 (mol/m^3)
19.5,-9.814008054080899E-10,3.5657642323604926E-6,5.1070740601440537E-5,7.973504323331844E-7,8.017712046402813E-7,6.098430936439142E-7
20,-3.6364115693523286E-10,1.1825002484464577E-5,1.5494286442604963E-4,2.8898006492034048E-6,2.992690306610518E-6,2.2886783795735423E-6
20.5,-2.5774282141592763E-10,3.578797278667968E-5,4.20864135742076E-4,9.589176955762586E-6,1.0187519186679662E-5,7.834592365024264E-6
21,-7.796195801664354E-10,9.912800272141287E-5,0.001049529365547417,2.92004482761443E-5,3.16672628104169E-5,2.4540652548799754E-5
21.5,-6.415892786588463E-10,2.5215292625741355E-4,0.0023643000546623065,8.17922145533995E-5,9.018847211911534E-5,7.052016831165333E-5
22,-1.6297544183681002E-10,6.183372053823322E-4,0.004879919122574856,2.1120653105331295E-4,2.3592354633217652E-4,1.8636650169873758E-4
22.5,-2.756494205606238E-10,0.0013515346422162586,0.00934840457019806,5.038390686579025E-4,5.685365944022136E-4,4.553157706077177E-4
23,-8.033765521367757E-10,0.0026785011039469654,0.016562384952100582,0.0011125489839162233,0.0012671844575567164,0.0010266689743490193
23.5,-3.4981799923622647E-10,0.004873007428455456,0.02731730465599349,0.002278658342857457,0.0026100460198936267,0.0021407622208698012
24,4.1654616398561456E-10,0.008215296718780251,0.04217070964452543,0.004338388188212059,0.004980081155846497,0.0041379251583390135
24.5,1.9603550105588472E-10,0.012933639456363635,0.061108141953728545,0.007695597140199028,0.008825314584952906,0.007432643226755757
25,-4.6400763740369064E-10,0.019139869523799057,0.08351022498102009,0.012748955706505506,0.014566850800179908,0.012439029873961912
25.5,-1.2049285620640444E-8,0.026772146272291533,0.10797937351444122,0.019780170064000086,0.02246570206380524,0.019454058983878957
26,-1.6075070287277235E-8,0.03562294907163567,0.13286439958324944,0.028834782109717308,0.03248616209489466,0.02852717691303855
26.5,-1.6421547933661853E-8,0.04537098700293028,0.15638688737735826,0.03964234797139233,0.04423721051562231,0.03937933463842313
27,-1.63477441987122E-8,0.05565089645190496,0.17696263859382738,0.051626766455837365,0.05701882128328447,0.051419056168737855
27.5,-1.537994197839656E-8,0.06611548710982597,0.1937840250493524,0.06401154589420074,0.06996507611424387,0.0638526594517299
28,-1.4577315681248464E-8,0.07651115295473204,0.20662536061814007,0.0759819827979148,0.08223294104246832,0.07585603489617053
28.5,-1.3150756179572655E-8,0.08667909903748462,0.21588744132082005,0.08685772089837598,0.0931715808439938,0.08674918505063736
29,-9.556599833406985E-9,0.09651895768673387,0.2222601867244183,0.09619982641917353,0.10242465689757531,0.096100658277976
29.5,-6.396180928244732E-9,0.10595785828763789,0.22651289806623984,0.10384547110144733,0.10991068712512202,0.10376037842477513
30,-4.288479102275569E-9,0.11492273671180629,0.2293754183272583,0.109861327871693,0.11575955260931899,0.10980496466352671
30.5,-1.0590038136000583E-9,0.12332360854155078,0.23132801154597787,0.11445720710921152,0.12021639327743419,0.11444375344914413
31,-4.302517649845458E-10,0.13107475707090357,0.232674790350794,0.11790136644408912,0.12355824389788321,0.11793995071976707
31.5,8.597739477998812E-10,0.1381007667438003,0.2335998431143173,0.1204523058841609,0.12603935086579227,0.12054646327178709
32,2.281021785006588E-9,0.14435876635698006,0.23419208235127212,0.12232564338080325,0.1278603133048458,0.1224693275625525
32.5,2.7913879069665523E-9,0.14985010838761714,0.23452228870660635,0.12368444636509032,0.12917577254611615,0.1238719813499639
33,2.28025760023656E-9,0.1546251585030231,0.23466856088427876,0.12464979306927175,0.13010135144929746,0.1248726753675062
33.5,2.01820734264938E-9,0.15876750746526563,0.2346998256944712,0.12531492926384,0.1307298513657144,0.12556409902979385
34,5.667588101586245E-9,0.16237469727512574,0.23466298927176776,0.125754306912011,0.13114181026321464,0.12602204727763097
34.5,5.8504913487589004E-9,0.16554579973112848,0.23460132728565752,0.12602991238569353,0.13139780434264647,0.1263100276741434
35,6.544901397400768E-9,0.1683655518454124,0.23454561305808166,0.12619143603185445,0.13154574503082464,0.12648243604286202
35.5,1.198372960245709E-8,0.1708983653697389,0.2345152316405273,0.1262783950346352,0.13162867308764126,0.12657804524760435
36,3.061804834758834E-8,0.173187547090322,0.23450369771013801,0.12632156755564866,0.13167093437409313,0.12662669250934094
36.5,8.568215611916526E-8,0.17525753640711494,0.23451596625513105,0.12634230470743135,0.131689598929535,0.1266484056681316
37,2.4322520789687874E-7,0.17712703156148285,0.23456032270484758,0.1263542431814875,0.13170364624903128,0.12665940695768735
37.5,6.741652405668486E-7,0.17881454469504957,0.23464952456958071,0.12637043714875304,0.13171982487659523,0.1266739952043252
38,1.7974835260417023E-6,0.1803434359280018,0.23480629033172548,0.12640640231679867,0.13175579491417053,0.12670477515786424
38.5,4.583409824855125E-6,0.18174769914302066,0.2350822272593841,0.126488898840824,0.13183713896837732,0.12677701691612725
39,1.1181052906924747E-5,0.18307305425095163,0.235565856581682,0.12666006287487505,0.13199999822554528,0.12693316266999372
39.5,2.6109629770037677E-5,0.18438237858756867,0.23638353170736398,0.1269924824516505,0.13232373616254617,0.12724176418326846
40,5.8543332092503845E-5,0.18576113171273168,0.23770642601778266,0.12760343244257896,0.13293087132044873,0.12782034736280692
40.5,1.2573475314067188E-4,0.1873221923547505,0.23977182878493195,0.1286861913542792,0.1340141731959029,0.12885687942973723
41,2.5882389685576564E-4,0.18921446742881923,0.2429187076831567,0.1305211990965084,0.1358771957316733,0.13063609963685283
41.5,5.108208757143408E-4,0.19162957560008334,0.24749755129082496,0.13347619720019022,0.13889873847762674,0.13354028209994356
42,9.68637131049013E-4,0.19477986862611807,0.2539076118079856,0.13801393599873032,0.14356581324387896,0.1380350951213778
42.5,0.0017640266453659416,0.19890876839617172,0.2625850269836521,0.14468220968759418,0.15043937131735455,0.14467235744185353
43,0.003085934841732609,0.20427282220075207,0.2738713984928116,0.15405829270879012,0.16010768324290972,0.1540386278928005
43.5,0.005189383428526239,0.21112753477059368,0.28804861309681024,0.16665270148826816,0.17308083630143267,0.1666681896733075
44,0.008397700225378685,0.21970606455179525,0.3052372925125453,0.18284705281414926,0.18968876277884397,0.1829160553069843
44.5,0.013086843670975987,0.23016848049907707,0.3253533268300272,0.20279575972550531,0.21006903340855718,0.2029433912756356
45,0.019652921742913457,0.242601311240333,0.3480968049447866,0.22637776881306385,0.23402358616037797,0.22661359528220498
45.5,0.02847347416103945,0.25699276531395204,0.3728590148310542,0.2531135482578651,0.2609780901581963,0.25338903709095056
46,0.03984668242576988,0.2732297407581566,0.3988830402847271,0.2821443222260099,0.29002020304266646,0.28237962609858996
46.5,0.053940028449581214,0.29108566871712893,0.42529966795044966,0.31248542092710346,0.32006023616648177,0.3125836135357599
47,0.0707232105342477,0.31023526466522006,0.451028240955087,0.342838271442515,0.349961746357285,0.34268298303042277
47.5,0.08997541975532683,0.3303236934658299,0.4751898119951039,0.3722010210741155,0.37857736764145783,0.37156061374643845
48,0.11126530478217488,0.35095524379317616,0.49722839010270947,0.39947717274324585,0.4051301458575409,0.3983007341392959
48.5,0.13399584601430867,0.3717303924268855,0.5163123369229082,0.4241515425350613,0.42881440151327066,0.4223334097356542
49,0.15750431953797508,0.39229531982437266,0.5324079621132946,0.4456419089147414,0.4494965674126678,0.4433746298557492
49.5,0.1810844775871013,0.4123159627317561,0.5456449823421354,0.4639243969544861,0.467038848333715,0.4614398368767419
50,0.20409946548306887,0.43155034571511747,0.5560060399990291,0.4791934770609979,0.4816456058841995,0.476810356193503
50.5,0.22600043677817658,0.449824727052835,0.5642161164463844,0.4916264409369829,0.4937093020619963,0.48949787237521974
51,0.24638249328506395,0.4670068304089532,0.5704835859660433,0.5018923187262425,0.5034937121418301,0.49954681085699876
51.5,0.2650325274015622,0.4830152908089217,0.575286512577715,0.5102424970045806,0.5112997150815929,0.5077287537693903
52,0.28184008167064595,0.4978189983644992,0.5793359098868603,0.5170091259941967,0.5176541915873174,0.5143651303100726
52.5,0.2967262297444077,0.5114058188898434,0.5826330559360825,0.5225255433406873,0.5228778534277873,0.5197744329205828
53,0.3098803757071988,0.5237891174371109,0.5854377621708918,0.5269901388408157,0.5273969495041563,0.5243484757873771
53.5,0.32135287087443465,0.5350231760589113,0.588026603103227,0.5306629008646115,0.5312727195557456,0.5279390076115119
54,0.33136544891992586,0.5451768995345617,0.5900695050319262,0.5337556723127992,0.5345693284625609,0.5307904488452708
54.5,0.34005253396204654,0.5543342510428312,0.5919788944655706,0.5362675180120323,0.5373132946068998,0.5332764876768935
55,0.3475130012100889,0.5626035296470596,0.5934200046527971,0.5382731485852521,0.5395004598702634,0.5353131735071986
55.5,0.3539778331811701,0.5700736918070602,0.5946137287863625,0.5400750646399608,0.5413667256727864,0.5369609631465708
56,0.35954710357489855,0.5768322391936898,0.5956106687517665,0.5416643228510424,0.5428343427682734,0.5384352425337028
56.5,0.36438502425008934,0.5829784300908877,0.5964234460310016,0.5429054488139577,0.5439376323602186,0.5396830863872943
57,0.3686198497377344,0.5885789406664472,0.5972740245098749,0.544154533226889,0.5449472964942771,0.540862015130545
57.5,0.3722019825886743,0.5936912281535172,0.5979421976605432,0.545205195005205,0.5458273440858254,0.5419597607193379
58,0.3752881296018739,0.5983718958389063,0.5987037543453201,0.5460815140429052,0.5465717366571691,0.5428571821791073
58.5,0.3780163230418849,0.6026652541449442,0.5994530343874765,0.5471774054443876,0.5473694177034608,0.5438252102478964
59,0.3802412394274602,0.606618785810711,0.600597825638681,0.5480711050475374,0.5481733624427317,0.5447716209347521
59.5,0.3823819931994557,0.6102839775944876,0.6024084905665174,0.5490165572777979,0.5490529410714207,0.5457949376861321
60,0.38412146885755477,0.613723272557817,0.6049538360520325,0.5502098002481253,0.5504368864701198,0.5471987854712699
60.5,0.385651628827764,0.6170334407685396,0.6081323707127991,0.5516768030700452,0.5522282283936889,0.5488674337768957
61,0.38712241028688354,0.6203082814787232,0.6119294450162853,0.5537933094897143,0.554294616225833,0.5509519316723642
61.5,0.38839734901127093,0.6236458329411085,0.6163345997997385,0.5564600305345313,0.5571169329156408,0.5538407106630931
62,0.38993495255919947,0.6271665385231797,0.6218108840488239,0.5599235944632056,0.5608956120943625,0.5577026961987016
62.5,0.3914763509733513,0.6310019390092101,0.6285800265168819,0.5648315676754921,0.5659321576963896,0.5629369228504941
63,0.3933520825193836,0.6352969571305155,0.6370935473167073,0.5713350670304992,0.5726309861523691,0.5699427367058423
63.5,0.39589494890578125,0.6402033296583859,0.6473043137768898,0.5794948573747476,0.5813175270482809,0.5788714119739898
64,0.39913643200851023,0.6458582271746599,0.6592514791239862,0.5899465367497347,0.5920539378000997,0.5897558271623468
64.5,0.4037249786612834,0.6523704638397937,0.6729922663304992,0.6031417750617483,0.6050110768305247,0.6026174610056504
65,0.4097066321052314,0.6598438645476001,0.6885712589285239,0.6191540924776876,0.620191204862879,0.6175245281728532
65.5,0.4173537110842869,0.6683745938814631,0.705973535607576,0.637251088024668,0.6376590747103718,0.6344749054011034
66,0.4272921520223321,0.6779838732517157,0.7250555129826874,0.6570110662889213,0.6571785209163835,0.6535002979969338
66.5,0.43963695859114904,0.688644741429387,0.7454482295120036,0.6781720081218406,0.6786905777932722,0.6745402711187963
67,0.45459760633358404,0.7002899877286387,0.7668556517383502,0.7004677504640792,0.7014445188921045,0.6971048498924608
67.5,0.4726132665487265,0.7128297457517921,0.7885673969095495,0.7234044519922126,0.7254788636273749,0.7210919644207693
68,0.4932830425889993,0.7261969987095998,0.8102175445301283,0.7469090051718368,0.7496927460571379,0.7454625696575072
68.5,0.5169843937993425,0.7401325713374182,0.8314889538657602,0.7701869393212118,0.7742081839565298,0.770112429390879
69,0.5435756689202583,0.7546146733995343,0.8519522499121348,0.7932695274309917,0.7978222286316325,0.7940847825650343
69.5,0.5720690740914215,0.7693310043858067,0.871269352266817,0.8154019527810563,0.8206404735385155,0.8172525467848601
70,0.6014065812478854,0.784172956965846,0.889125722546458,0.8365928004629691,0.841980132965264,0.8390934501838629
70.5,0.6311270047574848,0.7989527897252786,0.904991457447293,0.856149225206782,0.8618366201799152,0.8594447250967134
71,0.6610266115709768,0.8134200406947044,0.9189550528513052,0.8741555142138039,0.8799386014188691,0.8781308891768909
71.5,0.6907802874792759,0.8275518304930781,0.9309801888010821,0.8901901994247101,0.8962012623833121,0.8948699132391067
72,0.7196457123468566,0.8411002241644056,0.9410834766505325,0.9043925507516659,0.9105534904777386,0.9096475396071942
72.5,0.7467890692211464,0.8540506810701608,0.9497603507710815,0.9166825675587511,0.9229463054950531,0.922344417786896
73,0.7720817950629117,0.8662804008581799,0.9570589375284009,0.9272466161412233,0.933394361982442,0.9330225677706797
73.5,0.7955715303038751,0.8777276111026044,0.9628199780682258,0.9363152605838646,0.9421163970343654,0.941955628765136
74,0.8173870462401183,0.8883830022308379,0.9676176104212573,0.9439859510175704,0.949211113839626,0.9491675248486925
74.5,0.8373966692211391,0.8982604957524631,0.9715378154707774,0.9505340705743844,0.9555862344022172,0.9551682732773594
75,0.8554278696274789,0.9073979366171647,0.9743801013343317,0.956139144635378,0.9609288097681646,0.9599569077422463
75.5,0.8714589703021272,0.9158359239694088,0.976698438061935,0.9611684295073939,0.9652388399374748,0.963942268509939
76,0.8854270578828662,0.9235400875531886,0.9786065285281402,0.965440241297121,0.9689031410596207,0.9672696171146942
76.5,0.8976265649333868,0.9305240836646312,0.9798947418165311,0.9689545800045457,0.9721285610680109,0.9702953648360725
77,0.9080838859857786,0.9370209180082711,0.9810016618223851,0.9720329646336764,0.9746625393915803,0.9728537302946918
77.5,0.9173521599527021,0.9428991826897342,0.9820430171422495,0.9748071548391714,0.9765050760303188,0.9749447134905554
78,0.9253798811770096,0.948158877709008,0.9828393355965057,0.9770794137672225,0.9783980776685876,0.9769225246361796
78.5,0.9327652222854148,0.9530056167806454,0.9836503923937743,0.9788497414178416,0.9800651655960176,0.9786993649711124
79,0.9393048618896476,0.9574505530492385,0.9845608442279906,0.9804901713576502,0.981417785475272,0.9802052988555566
79.5,0.9449987999897186,0.961423641312646,0.9854559428847227,0.9820799933463815,0.9825252795421132,0.9814637155842694
80,0.9501373814849632,0.9649975063622085,0.9863438785933462,0.9834347695997301,0.9837126940741754,0.9828243605134882
80.5,0.954772491135527,0.968345331289653,0.987227858692865,0.984554500117691,0.9847688246782335,0.9840768276586599
81,0.9587775721427362,0.9713487358323644,0.9881039837418315,0.985649303509982,0.9856936713543077,0.9852211170197874
81.5,0.962169981919379,0.9740077199903697,0.988972253740218,0.9867291801657342,0.9865809176019388,0.98628677123407
82,0.9654258354104475,0.9765093545094546,0.9898326686880439,0.9877111109813169,0.9874867942800846,0.9873259881963233
82.5,0.9682699483361511,0.9787709736794823,0.9906852285853074,0.9885950959567205,0.9883465601179728,0.9882980206613351
83,0.9707023206964969,0.9807816220043483,0.9913597242923802,0.9894415134982407,0.9891602151156176,0.9892028686291113
83.5,0.972880617149389,0.9826126816541253,0.9919023987308904,0.9902447066534951,0.9899501142676239,0.9900408020613997
84,0.9749646686602086,0.9843025853164208,0.992445073169396,0.990986021766694,0.9907084950982188,0.9908118686507159
84.5,0.9768099350544919,0.9858076674372265,0.9929877476079068,0.9916654588378132,0.9914323525916571,0.9915159470979712
85,0.9784164163321962,0.9871418809664643,0.9935304220464225,0.9923167125863868,0.9921190713296012,0.9921530374031594
85.5,0.9800010588840536,0.9883868089469431,0.9940730964849354,0.9929325139596087,0.99275503959307,0.9927751650660943
86,0.9814883725543515,0.9894933216984746,0.9944901851286885,0.9935049684603243,0.9933489986940148,0.9933590613685176
86.5,0.9828505197869314,0.9904614192210487,0.9947960168695839,0.9940340760885199,0.993900948632458,0.993900669304133
87,0.9841095208594707,0.9913805052625749,0.9951018486104655,0.9945198368442075,0.9944108894083888,0.9943999888729531
87.5,0.9853316226877062,0.9922336039626442,0.995407680351353,0.9949622507273939,0.9948788210218077,0.9948570200749706
88,0.9864716127283066,0.9930026025362854,0.9957135120922462,0.9953613177380645,0.9953047434727111,0.9952717629101916
88.5,0.9875294909812606,0.9936875009834987,0.9960193438331367,0.9957170378762327,0.995688656761117,0.9956442173786098
89,0.9885052574465678,0.9942882993042933,0.9962409278918335,0.9960764808712067,0.9960554321292903,0.9959952407484397
89.5,0.98939891212425,0.9948049974986535,0.9963761338091448,0.9964106662109228,0.9963916569980102,0.9963362327728094
90,0.9902104550142813,0.9952405140935912,0.9965113397264569,0.9967137436313233,0.9966931243321239,0.9966462674982328
90.5,0.9909188478475717,0.9957016153550577,0.9966465456437704,0.9969857131324181,0.9969598341316154,0.996925344924719
91,0.9913455429704455,0.996107417440679,0.9967817515610815,0.9972265747142038,0.9971917863964884,0.9971734650522536
91.5,0.9917722380933092,0.9964579203504356,0.9969169574784019,0.9974363283766796,0.9973889811267422,0.997390627880852
92,0.992198933216181,0.9967531240843508,0.9970521633957049,0.9976149741198489,0.9975514183223765,0.9975768334105151
92.5,0.9926256283390482,0.9969930286424087,0.9971873693130154,0.9977625119437161,0.9977208696926327,0.9977335250715235
93,0.9930523234619231,0.9971776340246148,0.9973225752303325,0.997963138798158,0.9979141792439541,0.9979347058956135
93.5,0.9934790185847903,0.997335923510933,0.9974577811476419,0.9981532352972194,0.9980942414937252,0.9981230493363783
94,0.99390571370767,0.9975366084070157,0.9975929870649619,0.998331519186776,0.9982610564419716,0.9982985553938193
94.5,0.9941808901257351,0.9977125189758369,0.9977281929822619,0.9984979904668275,0.9984146240886729,0.9984612240679446
95,0.9944380402144705,0.9978636552173956,0.9978302850035955,0.9986526491373706,0.9985549444338316,0.998611055358732
95.5,0.9946951903032026,0.9979900171316785,0.9978867928094701,0.9987954951984046,0.9986820174774487,0.9987480492662149
96,0.9949523403919364,0.9980916047187008,0.9979433006153429,0.9989265286499374,0.9987958432195263,0.9988722057903585
96.5,0.9952094904806618,0.9981684179784504,0.9979998084212237,0.9990457494919727,0.9988964216600705,0.9989835249311843
97,0.9954666405694007,0.9982502620316568,0.9980563162271048,0.9991531577244851,0.9989837527990707,0.999082006688685
97.5,0.9957237906581298,0.9983480520500322,0.9981128240329805,0.9992487533474911,0.9990578366365318,0.9991676510628595
98,0.9958868731697853,0.9984371317500821,0.9981693318388486,0.9993325363610027,0.9991186731724593,0.9992404580537233
98.5,0.9960111498481462,0.9985175011318103,0.9982258396447292,0.9994045067650028,0.9991662624068376,0.9993004276612516
99,0.9961354265265084,0.998589160195205,0.9982823474506061,0.9994646645594906,0.999200604339678,0.9993475598854611
99.5,0.9962597032048675,0.9986521089402778,0.9983388552564892,0.9995130097444672,0.9992216989709839,0.9993818547263429
100,0.99638397988322,0.9987063473670258,0.9983953630623595,0.999549542319953,0.999234121668118,0.9994023672913829
