% Model,COMSOL_Three_Pipes_Phase_2.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 23 2026, 19:48"
% Table,Table 34 - c_CNN_Sensor_Phase_3
% Time (s),c_CNN_Sensor_Phase_2 (mol/m^3)
0.8300000000000001,1.84138291947707E-89
0.84,1.8238018105700624E-89
0.85,1.7939794837490784E-89
0.86,1.7512366779390297E-89
0.87,1.694894132064893E-89
0.88,1.6242725850515528E-89
0.89,1.5386927758239666E-89
0.9,1.4374754433070468E-89
0.91,1.3199413264257395E-89
0.92,1.185411164104961E-89
0.93,1.0332056952696515E-89
0.9400000000000001,8.626456588447427E-90
0.9500000000000001,6.730517937551517E-90
0.96,4.637448389258244E-90
0.97,2.3404553328167817E-90
0.98,-1.6725384252350763E-91
0.99,-2.892471747513324E-90
1,-5.841990992903396E-90
1.01,1.16834688657683E-88
1.02,4.774776094977028E-88
1.03,1.0558142920020297E-87
1.04,1.8315722566455246E-87
1.05,2.784479023903084E-87
1.06,3.8942621142495544E-87
1.07,5.140649048159783E-87
1.08,6.503367346108736E-87
1.09,7.962144528571137E-87
1.1,9.496708116021918E-87
1.11,1.1086785628936099E-86
1.12,1.2712104587788337E-86
1.1300000000000001,1.4352392513053547E-86
1.1400000000000001,1.5987376925206827E-86
1.1500000000000001,1.7596785344722602E-86
1.16,1.916034529207598E-86
1.17,2.065778428774197E-86
1.18,2.2068829852195643E-86
1.19,2.3373209505911113E-86
1.2,2.4550650769364063E-86
1.21,2.5580881163028763E-86
1.22,2.644362820738014E-86
1.23,2.711861942289356E-86
1.24,2.758558233004338E-86
1.25,2.782424444930447E-86
1.26,2.781433330115223E-86
1.27,2.753557640606116E-86
1.28,2.6967701284506103E-86
1.29,2.609043545696205E-86
1.3,2.4883506443903776E-86
1.31,2.332664176580602E-86
1.32,2.1399568943144016E-86
1.33,1.9082015496392298E-86
1.34,1.635370894602612E-86
1.35,1.3194376812519914E-86
1.36,9.58374661634867E-87
1.37,5.50154587798747E-87
1.3800000000000001,9.275021179110377E-88
1.3900000000000001,-4.15865714340574E-87
1.4000000000000001,-9.777204385488012E-87
1.41,-1.594841208786068E-86
1.42,-2.2692552730049253E-86
1.43,-3.002989879157889E-86
1.44,-3.798072275197427E-86
1.45,-4.656529709076054E-86
1.46,-5.580389428746369E-86
1.47,-6.571678682160774E-86
1.48,-7.63242471727188E-86
1.49,-8.7646547820321E-86
1.5,-9.970396124394031E-86
1.51,-9.627639719088808E-86
1.52,-6.3057734630663575E-86
1.53,-2.9391998760740405E-87
1.54,8.118798076007565E-86
1.55,1.8643258096497812E-85
1.56,3.099033744258284E-85
1.57,4.487091348298185E-85
1.58,5.999586358641477E-85
1.59,7.607606512159944E-85
1.6,9.282239545725691E-85
1.61,1.0994573196210581E-84
1.62,1.2715695200486702E-84
1.6300000000000001,1.4416693295425601E-84
1.6400000000000001,1.6068655217899526E-84
1.6500000000000001,1.7642668704780481E-84
1.6600000000000001,1.9109821492940172E-84
1.67,2.0441201319250655E-84
1.68,2.160789592058398E-84
1.69,2.2580993033811886E-84
1.7,2.333158039580628E-84
1.71,2.383074574343933E-84
1.72,2.404957681358305E-84
1.73,2.395916134310867E-84
1.74,2.353058706888904E-84
1.75,2.273494172779554E-84
