% Model,COMSOL_3D_Design_1_1_Transmitter_CNN.mph
% Version,COMSOL 6.3.0.290
% Date,"Oct 7 2025, 14:06"
% Table,Table 23 - Concentration_Outlet_Pipe_2
% Time (s),Concentration_Outlet_Pipe_2 (mol/m^3)
0,0
0.2,2.9199005888711816E-266
0.4,1.82201791289534E-184
0.6000000000000001,-2.3574358123859056E-178
0.8,-3.592176091189348E-104
1,1.6398912169265298E-103
1.2000000000000002,2.003128537144491E-100
1.4000000000000001,1.4002706484203125E-97
1.6,1.4695100448159798E-94
1.8,2.1719120134207785E-91
2,6.499374840322E-89
2.2,-2.371582582351663E-87
2.4000000000000004,-4.981068762480247E-83
2.6,-4.369705532365895E-60
2.8000000000000003,6.952159710598998E-59
3,1.0179344889253623E-56
3.2,4.820727149165811E-55
3.4000000000000004,5.0509006343978215E-53
3.6,2.866760863322257E-50
3.8000000000000003,8.173654412654119E-48
4,2.9280431485866304E-45
4.2,4.656101966260495E-43
4.4,7.643070794843574E-41
4.6000000000000005,7.674424838053338E-39
4.800000000000001,6.404210161538054E-37
5,4.3460241662402613E-35
5.2,2.212750367571475E-33
5.4,1.0252002244950485E-31
5.6000000000000005,3.528907031505058E-30
5.800000000000001,1.310983948145781E-28
6,3.397954326483179E-27
6.2,8.66447745412588E-26
6.4,1.7648622824252372E-24
6.6000000000000005,3.1764656713173606E-23
6.800000000000001,5.086424699293588E-22
7,6.898947214353486E-21
7.2,8.738863981724774E-20
7.4,9.181820637900424E-19
7.6000000000000005,9.217218575363454E-18
7.800000000000001,7.850689386737551E-17
8,6.191766834823137E-16
8.200000000000001,4.33668298570602E-15
8.4,2.78115632652016E-14
8.6,1.6440604148857594E-13
8.8,8.878731772738548E-13
9,4.5494048177330765E-12
9.200000000000001,2.2362334483213217E-11
9.4,1.390665218523033E-10
9.600000000000001,1.0670656693678624E-9
9.8,5.539533598778855E-9
10,2.3188842112816632E-8
10.200000000000001,9.215777215333148E-8
10.4,4.018194964850617E-7
10.600000000000001,1.4742447767998206E-6
10.8,4.733702177882343E-6
11,1.3674622025556634E-5
11.200000000000001,3.681003062615277E-5
11.4,9.00073575827052E-5
11.600000000000001,2.0215052321073703E-4
11.8,4.20844389446683E-4
12,8.225519739801378E-4
12.200000000000001,0.0015071805041495683
12.4,0.002592662460264012
12.600000000000001,0.004203376319356742
12.8,0.006445565961190305
13,0.009370756828082544
13.200000000000001,0.012941492552934529
13.4,0.017028299905236875
13.600000000000001,0.02140494788144416
13.8,0.02575633855541327
14,0.029768356785917775
14.200000000000001,0.03316957573920556
14.4,0.035786941189103944
14.600000000000001,0.0375794946381102
14.8,0.03864745841425056
15,0.03917415383042574
15.200000000000001,0.039348977727959984
15.4,0.03936028748207409
15.600000000000001,0.039366278155487926
15.8,0.03942242407471992
16,0.039535271330087496
16.2,0.03969056271083173
16.400000000000002,0.03986197435241844
16.6,0.040025017034496894
16.8,0.04016596346592387
17,0.04028134390588241
17.2,0.04037851655799444
17.400000000000002,0.04047058300777234
17.6,0.0405686186434144
17.8,0.04068410634832161
18,0.04083361491563012
18.2,0.04104733206932982
18.400000000000002,0.04137783337455413
18.6,0.04190653479433995
18.8,0.04276160486575728
19,0.04413586219967106
19.200000000000003,0.046336846779783426
19.400000000000002,0.04975170470253837
19.6,0.054908419492352416
19.8,0.0624819893334223
20,0.07333222668655108
20.200000000000003,0.08843644621334507
20.400000000000002,0.10879886133584027
20.6,0.13545040776822537
20.8,0.16931917271697383
21,0.21108122541306612
21.200000000000003,0.26091890010308627
21.400000000000002,0.3185137592950071
21.6,0.38291480978740045
21.8,0.4524310834311353
22,0.5248115264672194
22.200000000000003,0.5974427713838419
22.400000000000002,0.667488750775429
22.6,0.7321672491168711
22.8,0.7890783032841223
23,0.8367001186609281
23.200000000000003,0.8742423772666981
23.400000000000002,0.9018019921930499
23.6,0.9203663417800707
23.8,0.9315196586437405
24,0.9371419359854788
24.200000000000003,0.9391484880529778
24.400000000000002,0.9392609812467968
24.6,0.9388887829295817
24.8,0.9388577165465525
25,0.9396086704004626
25.200000000000003,0.9411819251237521
25.400000000000002,0.9433698370260414
25.6,0.9458824545707104
25.8,0.9484428098623856
26,0.950840511997207
26.200000000000003,0.952957516483413
26.400000000000002,0.9547745154402576
26.6,0.9563333069947039
26.8,0.9576995517402171
27,0.9589399567853528
27.200000000000003,0.9601073361034107
27.400000000000002,0.9612275161889684
27.6,0.9623093627279679
27.8,0.9633514505658719
28,0.9643476964430411
28.200000000000003,0.9652932751959316
28.400000000000002,0.9661870916764762
28.6,0.9670311895911431
28.8,0.9678297919680577
29,0.9685901371032488
29.200000000000003,0.9693140457180334
29.400000000000002,0.9700050671143949
29.6,0.9706655169263987
29.8,0.9712971365945977
30,0.9719047298174714
30.200000000000003,0.9724868321470839
30.400000000000002,0.9730434435834354
30.6,0.9735792766849525
30.8,0.9740932225178182
31,0.9745844939710998
31.200000000000003,0.9750569802629547
31.400000000000002,0.9755128213972205
31.6,0.9759496819477431
31.8,0.9763692405053156
32,0.9767761892716156
32.2,0.9771674868476473
32.4,0.9775432051400775
32.6,0.9779089285637799
32.800000000000004,0.9782616648624617
33,0.9786014140361228
33.2,0.9789315260616329
33.4,0.979251721604725
33.6,0.9795611573213108
33.800000000000004,0.9798621185278742
34,0.9801566569482297
34.2,0.9804429677942359
34.4,0.9807210510658932
34.6,0.9809909067632009
34.800000000000004,0.9812525348861588
35,0.9815059354347683
35.2,0.9816977599197624
35.4,0.9818863476218203
35.6,0.9820749353238784
35.800000000000004,0.9822635230259362
