% Model,2D_rectangle.mph
% Version,COMSOL 6.3.0.290
% Date,"Jun 2 2025, 10:28"
% Table,Table 10 - Concentration_versus_L
% Time (s),"Molar concentration, c (mol/m^3)"
0.014100000000000001,2.589942738090607E-33
0.0142,7.553362846135891E-33
0.0143,1.9752005266525736E-32
0.014400000000000001,6.261012335178829E-32
0.0145,1.8136667774742725E-31
0.0146,4.683625066063419E-31
0.014700000000000001,1.37056567202888E-30
0.0148,3.926382878980606E-30
0.0149,1.0188492351111177E-29
0.015000000000000001,2.729061663832443E-29
0.0151,7.707827849499003E-29
0.0152,1.9964500996387667E-28
0.015300000000000001,4.96262236452205E-28
0.0154,4.915910163678979E-24
0.0155,1.4877309477940513E-23
0.015600000000000001,3.0513589796584133E-23
0.015700000000000002,1.2766638250870344E-22
0.0158,2.6930192957736533E-22
0.0159,7.716983739457728E-22
0.016,2.09317680922514E-21
0.0161,3.950104697760401E-21
0.0162,1.3446646901419142E-20
0.016300000000000002,2.940569932575766E-20
0.0164,6.648600068969901E-20
0.0165,1.8424864789941041E-19
0.0166,3.5196489340707635E-19
0.0167,9.497347014640881E-19
0.016800000000000002,2.08966932876253E-18
0.016900000000000002,3.867748488743011E-18
0.017,1.057328231959112E-17
0.0171,2.0235888317978526E-17
0.0172,4.502921098023363E-17
0.0173,9.827296321722223E-17
0.017400000000000002,1.7103965671309076E-16
0.0175,4.1510422010711657E-16
0.0176,7.902599666769602E-16
0.0177,1.5142060501209329E-15
0.0178,3.24284082047365E-15
0.0179,5.622983805470665E-15
0.018000000000000002,1.1801627346866277E-14
0.0181,2.221347177338354E-14
0.0182,3.8014271427754905E-14
0.0183,7.917035729961552E-14
0.0184,1.3623094757407122E-13
0.018500000000000003,2.5468844211373795E-13
0.018600000000000002,4.713005880458423E-13
0.0187,7.587450024048293E-13
0.0188,1.4913149766248354E-12
0.0189,2.5367326748585014E-12
0.019,4.328031699921398E-12
0.019100000000000002,7.832854904721362E-12
0.019200000000000002,1.2503703278488946E-11
0.0193,2.2393640824022887E-11
0.0194,3.751220114396014E-11
0.0195,5.95829947649179E-11
0.0196,1.0497219545154893E-10
0.019700000000000002,1.6567700953144337E-10
0.0198,2.750341729166204E-10
0.0199,4.521228221887517E-10
0.02,6.805951626584215E-10
0.0201,1.1614171128096394E-9
0.020200000000000003,1.8075997329701517E-9
0.020300000000000002,2.82235642571702E-9
0.0204,4.540770177309856E-9
0.0205,6.761768632845605E-9
0.0206,1.0828821328730916E-8
0.0207,1.6585551947487782E-8
0.020800000000000003,2.4652491225647022E-8
0.020900000000000002,3.871539496228595E-8
0.021,5.690613364407846E-8
0.0211,8.635128073555084E-8
0.0212,1.297214736331389E-7
0.0213,1.8522426603565781E-7
0.021400000000000002,2.8304427810368364E-7
0.021500000000000002,4.094940671809516E-7
0.0216,5.939078953607998E-7
0.0217,8.728322507434628E-7
0.0218,1.222701431436709E-6
0.0219,1.79013464649731E-6
0.022000000000000002,2.5427046660130126E-6
0.0221,3.5505701135186762E-6
0.0222,5.092977946775094E-6
0.0223,7.022569693561691E-6
0.0224,9.864439519953052E-6
0.022500000000000003,1.372710338048165E-5
0.022600000000000002,1.856895767984126E-5
0.0227,2.5958264930627855E-5
0.0228,3.516297109424143E-5
0.0229,4.7678297268318366E-5
0.023,6.489649447498331E-5
0.023100000000000002,8.58339372350992E-5
0.023200000000000002,1.1632993788405607E-4
0.0233,1.5454911128664215E-4
0.0234,2.0330174318141723E-4
0.0235,2.7035032921732786E-4
0.0236,3.514049333880604E-4
0.023700000000000002,4.6090756835225007E-4
0.0238,5.997516985736377E-4
0.0239,7.684228437534913E-4
0.024,9.976000427638291E-4
0.0241,0.0012725077110708478
0.024200000000000003,0.0016218615013780455
0.024300000000000002,0.002065024190504346
0.0244,0.0025865416121559465
0.0245,0.0032747798876871796
0.0246,0.0040945957882548055
0.0247,0.005087527257517981
0.024800000000000003,0.006334388842547386
0.024900000000000002,0.007788031529613483
0.025,0.009597431277585982
0.0251,0.011753022057799465
0.0252,0.014270113806371006
0.0253,0.01737014344858206
0.025400000000000002,0.020942747682517138
0.025500000000000002,0.025186835485578415
0.0256,0.030194028226687736
0.0257,0.03588434174432276
0.0258,0.0427067469313541
0.025900000000000003,0.050460202895369684
0.026000000000000002,0.05934169472720801
0.0261,0.06962976812009564
