% Model,2D_turn.mph
% Version,COMSOL 6.3.0.290
% Date,"Jun 1 2025, 22:49"
% Table,Table 1 - Outlet Concentration
% Time (s),"Molar concentration, c (mol/m^3)"
0.0015300000000000001,-4.852676013411326E-39
0.0015400000000000001,-5.646949405356102E-39
0.0015500000000000002,-6.342376820621227E-39
0.0015600000000000002,-6.938958259206704E-39
0.0015700000000000002,-7.436693721112531E-39
0.00158,-7.835583206338699E-39
0.00159,-8.116882625943377E-39
0.0016,-8.046987552377461E-39
0.00161,-7.818392760751621E-39
0.0016200000000000001,-7.431098251065865E-39
0.0016300000000000002,-6.885104023320194E-39
0.0016400000000000002,-6.180410077514606E-39
0.0016500000000000002,-5.317016413649099E-39
0.0016600000000000002,-4.294923031723676E-39
0.00167,-3.167334278548387E-39
0.00168,-2.1723013353836645E-39
0.00169,-1.0930026485716299E-39
0.0017000000000000001,7.05617818877117E-41
0.0017100000000000001,1.318391955994364E-39
0.0017200000000000002,2.650487873748326E-39
0.0017300000000000002,4.0668495351495994E-39
0.0017400000000000002,5.56747694019818E-39
0.00175,6.842324958206556E-39
0.00176,7.210240998608359E-39
0.00177,7.38709720809145E-39
0.0017800000000000001,7.372893586655829E-39
0.0017900000000000001,7.167630134301494E-39
0.0018000000000000002,6.771306851028448E-39
0.0018100000000000002,6.183923736836686E-39
0.0018200000000000002,5.405480791726213E-39
0.0018300000000000002,4.601803969100834E-39
0.00184,3.9583675636029176E-39
0.00185,3.231055076729859E-39
0.00186,2.4198665084816684E-39
0.0018700000000000001,1.524801858858349E-39
0.0018800000000000002,5.458611278598994E-40
0.0018900000000000002,-5.169556845136799E-40
0.0019000000000000002,-1.663648578262389E-39
0.0019100000000000002,-2.512099232310069E-39
0.0019200000000000003,-2.8753892661861952E-39
0.00193,-3.1293546038302994E-39
0.00194,-3.27399524524239E-39
0.0019500000000000001,-3.3093111904224604E-39
0.0019600000000000004,-3.2353024393705104E-39
0.00197,-3.0519689920865525E-39
0.00198,-2.7593108485705694E-39
0.00199,-2.4818024842022185E-39
0.002,-2.2289735562138286E-39
0.00201,-1.9182931263520358E-39
0.00202,-1.5497611946168418E-39
0.00203,-1.1233777610082452E-39
0.00204,-6.391428255262465E-40
0.00205,-9.705638817084536E-41
0.00206,5.028815510579578E-40
0.0020700000000000002,5.786701214832434E-40
0.0020800000000000003,2.5542041066567325E-40
0.0020900000000000003,-2.1288260811064164E-40
0.0021000000000000003,-8.262389348457035E-40
0.0021100000000000003,-1.584648569539509E-39
