% Model,COMSOL_3D_CNN_Design_3_Phase_1.mph
% Version,COMSOL 6.3.0.290
% Date,"Dec 25 2025, 16:48"
% Table,Table 1 - Surface Average 1
% Time (s),c_Outlet (mol/m^3)
12.6333586,8.596567492592467E-7
12.6500253,8.786381476589083E-7
12.666692,8.980123280991082E-7
12.6833587,9.178100075910159E-7
12.7000254,9.380105686817711E-7
12.7166921,9.586196539076846E-7
12.7333588,9.796831984103065E-7
12.7500255,1.0011752618336255E-6
12.7666922,1.0230958441776414E-6
12.7833589,1.0454971356320446E-6
12.8000256,1.068356896188962E-6
12.8166923,1.0916722638932254E-6
12.833359,1.1154846438200904E-6
12.8500257,1.139792610467827E-6
12.8666924,1.1645849142321808E-6
12.8833591,1.1898917656269095E-6
12.9000258,1.2157326507049645E-6
