% Model,COMSOL_3D_CNN_Design_3_1_Phase_1.mph
% Version,COMSOL 6.3.0.420
% Date,"Dec 6 2025, 16:19"
% Table,Table 4 - Concentration_Outlet_Pipe_1
% Time (s),Concentration_Outlet_Pipe_1_2_3 (mol/m^3),Concentration_Outlet_Pipe_1_2_3 (mol/m^3),Concentration_Outlet_Pipe_1_2_3 (mol/m^3),Concentration_Outlet_Pipe_1_2_3 (mol/m^3),Concentration_Outlet_Pipe_1_2_3 (mol/m^3),Concentration_Outlet_Pipe_1_2_3 (mol/m^3),Concentration_Outlet_Pipe_1_2_3 (mol/m^3)
1.75,3.185357332690352E-5,3.322296744178149E-5,2.4999872893340734E-5,2.0232922066271395E-5,5.425160938025315E-6,2.6926337835256496E-7,9.807888310704405E-9
1.8,3.586503639111818E-5,3.616485700323507E-5,2.810374736320118E-5,2.352381155597214E-5,6.035212730344909E-6,3.131498203765054E-7,1.115345576390713E-8
1.85,3.9876499455332916E-5,4.066574045668546E-5,3.120762183306167E-5,2.6814701045672903E-5,6.645264522664508E-6,3.5703626240044586E-7,1.3496246619448685E-8
1.9000000000000001,4.388796251954761E-5,4.542238517038817E-5,3.431149630292212E-5,3.010559053537364E-5,7.255316314984102E-6,4.009227044243862E-7,1.9422957711995157E-8
1.9500000000000002,4.789942558376228E-5,5.017902988409086E-5,3.7415370772782614E-5,3.339648002507441E-5,7.865368107303706E-6,4.448091464483267E-7,2.5349668807573512E-8
2,5.1910888647976923E-5,5.4935674597793555E-5,4.051924524264304E-5,3.668736951477515E-5,9.123261297211362E-6,5.774511992952191E-7,3.127637990315184E-8
2.0500000000000003,5.592235171219168E-5,5.969231931149628E-5,4.4355347828681207E-5,3.9978259004475916E-5,1.0775438293415329E-5,7.169478807623641E-7,3.72030909987302E-8
2.1,5.9933814776406334E-5,6.4448964025199E-5,4.9102176436772356E-5,4.379869166086748E-5,1.2427615289619276E-5,8.564445622295084E-7,4.31298020943085E-8
2.15,6.394527784062103E-5,6.920560873890172E-5,5.384900504486346E-5,4.865504848563212E-5,1.4079792285823226E-5,9.959412436966518E-7,4.905651318988682E-8
2.2,6.850993493243275E-5,7.396225345260447E-5,5.8595833652954656E-5,5.35114053103968E-5,1.5731969282027185E-5,1.135437925163798E-6,5.498322428546518E-8
2.25,7.387654313229753E-5,7.977163066453727E-5,6.334266226104585E-5,5.836776213516147E-5,1.7384146278231137E-5,1.2749346066309415E-6,6.75669842002535E-8
2.3000000000000003,7.924315133216236E-5,8.579953427277486E-5,6.808949086913698E-5,6.322411895992617E-5,1.9036323274435093E-5,1.414431288098087E-6,8.752713586617878E-8
2.35,8.460975953202712E-5,9.18274378810123E-5,7.283631947722811E-5,6.80804757846908E-5,2.0688500270639034E-5,1.5539279695652306E-6,1.074872875321038E-7
2.4000000000000004,8.997636773189189E-5,9.78553414892499E-5,7.758314808531934E-5,7.293683260945547E-5,2.2340677266843007E-5,1.8348865875771633E-6,1.2744743919802894E-7
2.45,9.534297593175666E-5,1.0388324509748736E-4,8.232997669341044E-5,7.789194385653667E-5,2.399285426304695E-5,2.17560260592491E-6,1.4740759086395395E-7
2.5,1.007095841316215E-4,1.0991114870572486E-4,8.795751089960837E-5,8.38098985703689E-5,2.56450312592509E-5,2.516318624272657E-6,1.6736774252987894E-7
2.5500000000000003,1.0607619233148629E-4,1.1593905231396234E-4,9.367399936522027E-5,8.972785331973593E-5,2.729720825545486E-5,2.857034642620406E-6,1.8732789419580417E-7
2.6,1.1144280053135099E-4,1.219669559221999E-4,9.93904878308321E-5,9.564580806910288E-5,2.8972533305715235E-5,3.1977506609681517E-6,2.0728804586172913E-7
2.6500000000000004,1.1680940873121582E-4,1.275007174684899E-4,1.05106976296444E-4,1.0156376281846993E-4,3.1722021534596574E-5,3.538466679315901E-6,2.5259220425629736E-7
2.7,1.2238736874661032E-4,1.3290872663205506E-4,1.1082346476205578E-4,1.0748171756783681E-4,3.447150982788592E-5,3.879182697663648E-6,3.0721979685752003E-7
2.75,1.2804690671783632E-4,1.383167357956203E-4,1.1653995322766754E-4,1.133996723172038E-4,3.722099812117523E-5,4.219898716011394E-6,3.618473894587431E-7
2.8000000000000003,1.3370644468906233E-4,1.4372474495918562E-4,1.2225644169327958E-4,1.1931762706657078E-4,3.997048641446457E-5,4.722324119582244E-6,4.1647498205996627E-7
2.85,1.3936598266028828E-4,1.491327541227507E-4,1.2797293015889136E-4,1.2544351857299283E-4,4.271997470775391E-5,5.401527983021314E-6,4.7110257466118894E-7
2.9000000000000004,1.4502552063151437E-4,1.5454076328631585E-4,1.3368718662332363E-4,1.3160674442822944E-4,4.546946300104327E-5,6.080731846460388E-6,5.257301672624123E-7
2.95,1.5068505860274035E-4,1.5994877244988108E-4,1.3939765643214126E-4,1.377699702834661E-4,4.821895129433261E-5,6.759935709899458E-6,5.803577598636352E-7
