% Model,2D_turn_chemıical_reaction.mph
% Version,COMSOL 6.3.0.290
% Date,"May 28 2025, 12:09"
% Dimension,1
% Nodes,401
% Expressions,1
% Description,Table graph
% ,
0,3.3978171604980855E-66
2.5E-5,-1.197484536430422E-63
5.0E-5,-1.9636617160833192E-63
7.500000000000001E-5,-2.158019932866998E-62
1.0E-4,-5.469766320013794E-62
1.25E-4,-1.391998366135403E-62
1.5000000000000001E-4,-2.195425196954356E-61
1.75E-4,-2.2255151728241355E-60
2.0E-4,-6.143642837555401E-60
2.2500000000000002E-4,-6.629623049667692E-59
2.5E-4,-3.6528873327346705E-57
2.75E-4,-1.4067106044433193E-56
3.0000000000000003E-4,4.2569984490809427E-57
3.2500000000000004E-4,-4.7943777813455225E-54
3.5E-4,-9.620596460059544E-53
3.75E-4,-6.4044944447825064E-52
4.0E-4,4.509836393991576E-51
4.2500000000000003E-4,1.2228748627148248E-49
4.5000000000000004E-4,2.5574913063427653E-48
4.75E-4,1.643392962063888E-46
5.0E-4,1.1537195392029132E-44
5.250000000000001E-4,6.7953729964241905E-43
5.5E-4,3.2927906579973334E-41
5.75E-4,1.488322133387131E-39
6.000000000000001E-4,5.815031164250369E-38
6.25E-4,1.9012811126153957E-36
6.500000000000001E-4,5.016701986543484E-35
6.75E-4,1.0695045633933392E-33
7.0E-4,1.8534077453844666E-32
7.250000000000001E-4,2.5854136811812163E-31
7.5E-4,3.023560100032976E-30
7.750000000000001E-4,2.97342608861696E-29
8.0E-4,2.9311303374788783E-28
8.25E-4,4.832387921418539E-27
8.500000000000001E-4,1.4956658400468773E-25
8.75E-4,5.082445778367669E-24
9.000000000000001E-4,1.5829890656288396E-22
9.25E-4,4.554631484388323E-21
9.5E-4,1.163990282194335E-19
9.750000000000001E-4,2.650008451517198E-18
0.001,5.291381916043221E-17
0.001025,9.473851023458066E-16
0.0010500000000000002,1.3952372965323802E-14
0.001075,1.6645411767244848E-13
0.0011,1.8163702745276553E-12
0.0011250000000000001,1.8203625138530985E-11
0.00115,1.686301891653194E-10
0.001175,1.4827923380125361E-9
0.0012000000000000001,1.0919969030568462E-8
0.001225,6.596119923109584E-8
0.00125,3.76226932651831E-7
0.001275,1.991294592008875E-6
0.0013000000000000002,9.914432036228328E-6
0.001325,4.567076829229749E-5
0.00135,1.911311606935632E-4
0.0013750000000000001,7.277873035148427E-4
0.0014,0.002513177945126933
0.001425,0.007880826860134827
0.0014500000000000001,0.022348110781202656
0.001475,0.05732533855222773
0.0015,0.1328298707824627
0.001525,0.2757169972811105
0.0015500000000000002,0.5082941731510806
0.001575,0.8337172116799934
0.0016,1.222182203951431
0.0016250000000000001,1.6170741965910786
0.00165,1.968942328510556
0.001675,2.262568723119287
