% Model,COMSOL_3D_CNN_Design_1_2.mph
% Version,COMSOL 6.3.0.290
% Date,"Sep 30 2025, 14:53"
% Table,Table 24 - 3D_Pipe_1_Outlet_Concentration_Surface_Average
% Time (s),"Molar concentration, c2 (mol/m^3)"
0,4.1951778603740305E-119
0.1,1.5280214177719411E-115
0.2,1.4316398223821264E-110
0.30000000000000004,-1.2561851179087308E-78
0.4,-5.907775130414129E-72
0.5,-1.6200462296903972E-49
0.6000000000000001,-8.017268462421898E-46
0.7000000000000001,-2.4354340766106724E-42
0.8,-5.360497903773521E-39
0.9,1.4409356775022994E-26
1,1.913309415324992E-24
1.1,1.845567944028284E-22
1.2000000000000002,1.1722186812715492E-20
1.3,4.883279079170787E-19
1.4000000000000001,1.404125916298766E-17
1.5,3.027875172871741E-16
1.6,5.622127502898521E-15
1.7000000000000002,7.892772519333181E-14
1.8,8.651952884035989E-13
1.9000000000000001,7.624061047174264E-12
2,5.582720272687563E-11
2.1,1.5054860921413643E-9
2.2,1.347099436274057E-8
2.3000000000000003,8.483595240354659E-8
2.4000000000000004,4.37721345983233E-7
2.5,1.902782477715603E-6
2.6,7.163964592270577E-6
2.7,2.3841509728522308E-5
2.8000000000000003,7.121505142229057E-5
2.9000000000000004,1.9321202590395526E-4
3,4.8067795308808425E-4
3.1,0.0011051499552430957
3.2,0.002363658501347002
3.3000000000000003,0.00472924275064784
3.4000000000000004,0.008895619886445773
3.5,0.015805462422967233
3.6,0.02663053776331978
3.7,0.04266985002417635
3.8000000000000003,0.06525194914283865
3.9000000000000004,0.09555256209604893
4,0.13440977552984545
4.1000000000000005,0.1821495406053195
4.2,0.23846060430945315
4.3,0.3023541686730914
4.4,0.3722040502640256
4.5,0.44586904856559584
4.6000000000000005,0.520882260873306
4.7,0.5946786113851298
4.800000000000001,0.6648306694250203
4.9,0.729259597448553
5,0.7863992356158709
5.1000000000000005,0.8353338513796532
5.2,0.8758392654965644
5.300000000000001,0.908413503453898
5.4,0.9333531193311608
5.5,0.9520257465466846
5.6000000000000005,0.9646076122578536
5.7,0.9732072582551946
5.800000000000001,0.9778462444723498
5.9,0.9800921972524731
6,0.9804537017026087
6.1000000000000005,0.9795876564404891
6.2,0.9783926645298685
6.300000000000001,0.9768331843130658
6.4,0.975570931776508
6.5,0.9744756322339326
6.6000000000000005,0.9737323051092699
6.7,0.9732549118803402
6.800000000000001,0.9730365788294505
6.9,0.9729518109551821
7,0.9730040924139668
7.1000000000000005,0.9730818934977583
7.2,0.9731906949939675
7.300000000000001,0.9732813761175662
7.4,0.973353525985689
7.5,0.9734004605050577
7.6000000000000005,0.973428040788315
7.7,0.9734379447172355
7.800000000000001,0.9734394244759691
7.9,0.9734338882668477
8,0.9734270867141744
8.1,0.9734210987359349
8.200000000000001,0.9734169518966143
8.3,0.9734162802313836
8.4,0.973418530231441
8.5,0.9734241571935759
8.6,0.97343332659564
8.700000000000001,0.9734463782745323
8.8,0.973464385423863
8.9,0.9734876300202062
9,0.9735189422279648
9.1,0.9735586596282334
9.200000000000001,0.9736103919694385
9.3,0.973676161994531
9.4,0.9737588112836291
9.5,0.973863253677183
9.600000000000001,0.9739902494991347
9.700000000000001,0.9741471042906332
9.8,0.9743340860051048
9.9,0.9745577479196996
10,0.9748206239143388
10.100000000000001,0.975126109958305
10.200000000000001,0.975479625292195
10.3,0.9758812009950073
10.4,0.9763345493557736
10.5,0.9768390001792691
10.600000000000001,0.9773958648673295
10.700000000000001,0.9780029912471795
10.8,0.9786594861574544
10.9,0.9793560332235307
11,0.9800918725391222
11.100000000000001,0.9808532095767214
11.200000000000001,0.9816364884001814
11.3,0.9824278455048103
11.4,0.9832179734443788
11.5,0.9840009337791689
11.600000000000001,0.9847581312718632
11.700000000000001,0.9854913921477052
11.8,0.9861861421673517
11.9,0.9868401435237779
12,0.9874431951677882
12.100000000000001,0.9879914884314345
12.200000000000001,0.9884827591155358
12.3,0.988913776291204
12.4,0.9892867353970929
12.5,0.9896052704323339
12.600000000000001,0.9898681645227172
12.700000000000001,0.9900754176682415
12.8,0.9902434834620747
12.9,0.9903691683937259
13,0.9904490330765932
13.100000000000001,0.9904939261894129
13.200000000000001,0.9905299348633173
13.3,0.9905388960306722
13.4,0.9905208096914785
13.5,0.9905081730169656
13.600000000000001,0.990492072555509
13.700000000000001,0.9904672204699442
13.8,0.9904414235840935
13.9,0.990429660030591
14,0.9904209791067163
14.100000000000001,0.990415380812469
14.200000000000001,0.9904281576453947
14.3,0.9904539993836889
14.4,0.990491064246155
14.5,0.9905406650585729
14.600000000000001,0.990604813470117
14.700000000000001,0.9906819518517291
14.8,0.99077208020341
14.9,0.9908772772825115
15,0.9909966826535404
15.100000000000001,0.9911301265433807
15.200000000000001,0.9912776534433685
15.3,0.9914393175365708
15.4,0.9916150738849969
15.5,0.9918049224886487
15.600000000000001,0.9920074570083416
15.700000000000001,0.992223345590305
15.8,0.9924526528983187
15.9,0.9926941262658503
16,0.9929465671515724
16.1,0.993211056897746
16.2,0.9934875955043699
16.3,0.9937704259771406
16.400000000000002,0.9940626078056859
16.5,0.9943642158254182
16.6,0.9946707424121365
16.7,0.9949788673622567
16.8,0.995291922133161
16.900000000000002,0.9956096846061739
17,0.9959201888644077
17.1,0.9962301395492543
17.2,0.9965395366607138
17.3,0.9968421759897449
17.400000000000002,0.9971346560366705
17.5,0.997420901671875
17.6,0.9977003535097969
17.7,0.9979625374630621
17.8,0.9982134528169084
17.900000000000002,0.9984530995713343
18,0.9986774340495463
18.1,0.9988848980701497
