% Model,COMSOL_Three_Pipes_Phases_1_to_4.mph
% Version,COMSOL 6.3.0.420
% Date,"May 2 2026, 17:39"
% Table,Table 36 - c_CNN_Sensor_Phase_3
% Time (s),c_CNN_Sensor_Phase_3 (mol/m^3),c_CNN_Sensor_Phase_3 (mol/m^3),c_CNN_Sensor_Phase_3 (mol/m^3),c_CNN_Sensor_Phase_3 (mol/m^3),c_CNN_Sensor_Phase_3 (mol/m^3),c_CNN_Sensor_Phase_3 (mol/m^3)
19.5,5.780467777902623E-4,1.8963877859488845E-5,1.8362451281395313E-4,3.5136106863284684E-5,7.025179225044774E-5,8.694705366687718E-5
20,0.0011564289183089206,4.400876298582642E-5,3.8789880221124114E-4,7.952543935563009E-5,1.5709199812721908E-4,1.9251684956068534E-4
20.5,0.0021778339346722104,9.596368773999552E-5,7.70538053136288E-4,1.6920246084989763E-4,3.288015212721511E-4,3.9906792768384524E-4
21,0.003876254889733602,2.0007411029622976E-4,0.0014453665002296995,3.437940927835587E-4,6.471888835922305E-4,7.78073691543981E-4
21.5,0.006552319828643931,3.9401578226962E-4,0.002581106329334934,6.601024953160642E-4,0.0012028362949387914,0.0014326585146357388
22,0.010549085628924329,7.348742777787149E-4,0.004377855227436345,0.0012008674650528606,0.0021184213136386854,0.0025001400897558864
22.5,0.016182430703605935,0.0013023145530662473,0.007065202710388931,0.0020765888373289374,0.0035468202239378795,0.004148404760322742
23,0.02372403765291671,0.002202810906595258,0.010881035336882757,0.003427550366194816,0.005662153448179415,0.006564274093089317
23.5,0.03333827336914307,0.0035648643443077824,0.016038514931256267,0.0054127007619651875,0.008642489076229306,0.009933372585196217
24,0.04502923153136059,0.005518506434178349,0.022687280190803207,0.008180741256597754,0.01264686972548696,0.014414167903511767
24.5,0.05862571977631866,0.008192294728646425,0.030861899231662358,0.011864165063219731,0.017788959094755884,0.020110728803176842
25,0.07381419651701383,0.01169177238222658,0.04049055091321769,0.01655265876712627,0.024115480870329366,0.027050801769004356
25.5,0.09017954218729753,0.016081990285727793,0.05139179393238092,0.022271787254543842,0.03159241470419482,0.03517565483354087
26,0.10725506756881263,0.02136419985098148,0.0632896411728315,0.028970558675176585,0.04010527067281887,0.044344154145799654
26.5,0.12461060922012196,0.027482657284236676,0.07586901082817399,0.03653419873446288,0.049476235772434284,0.05435092611116536
