% Model,COMSOL_Three_Pipes_Phases_1_to_4.mph
% Version,COMSOL 6.3.0.420
% Date,"May 2 2026, 12:02"
% Table,Table 35 - c_CNN_Sensor_Phase_1
% Time (s),c_CNN_Sensor_Phase_1 (mol/m^3)
0,0
0.5,2.4740866685357984E-106
1,-2.4943737660323857E-103
1.5,-8.764068989642618E-102
2,1.953359679227648E-98
2.5,4.970731891498017E-90
3,7.464165897758221E-83
3.5,9.518451332839562E-77
4,-6.302950528222513E-71
4.5,9.465948078092983E-57
5,1.707731585124007E-52
5.5,1.0722617595333585E-48
6,2.1704869707230968E-45
6.5,1.7238175544149174E-42
7,6.503465151925097E-40
7.5,1.3771152434833405E-37
8,1.8984609742913685E-35
8.5,1.832570331505369E-33
9,1.2159704726054423E-31
9.5,5.7159215457073205E-30
10,3.1763001212148826E-28
10.5,3.5418374260228616E-26
11,4.1413344505253236E-24
11.5,3.786767777401671E-22
12,2.6659917365689274E-20
12.5,1.4547703240875444E-18
13,4.345435400126315E-16
13.5,2.3777021743459638E-14
14,7.006362111661336E-13
14.5,1.2947823932156178E-11
15,1.631400240122179E-10
15.5,1.4675993554956025E-9
16,1.0777256265691943E-8
16.5,6.460010455802167E-8
17,3.2158487096104637E-7
17.5,1.3560521943947458E-6
18,4.917821457187294E-6
18.5,1.5649398715372295E-5
19,4.3579498644383635E-5
19.5,1.0718139449914155E-4
20,2.346842025550468E-4
20.5,4.6078872743591815E-4
21,8.164862999864075E-4
21.5,0.0013130831197878045
22,0.0019300921110847373
22.5,0.002612894570084476
23,0.003285655806037985
23.5,0.0038760977832282607
24,0.004337803914127482
24.5,0.004655628048725221
25,0.004840428573282806
25.5,0.00491611662238974
26,0.004904893335182836
26.5,0.00481935168956746
27,0.004663543095278729
27.5,0.004439236191172904
28,0.004152818149992189
28.5,0.0038187076084762635
29,0.0034578523171755124
29.5,0.003093260068395689
30,0.0027449425036198574
30.5,0.0024265832102308323
31,0.002144325229061491
31.5,0.0018981350305100147
32,0.0016840883482152594
32.5,0.0014967600002143051
33,0.0013310256374630576
33.5,0.001183017123457891
34,0.0010500968944775365
34.5,9.307370163405897E-4
35,8.242709272269382E-4
35.5,7.308567333702949E-4
36,6.515584937564649E-4
36.5,5.883332624011927E-4
37,5.442108342729134E-4
37.5,5.231617760622124E-4
38,5.297095828453867E-4
38.5,5.680927421373223E-4
39,6.41515145845661E-4
39.5,7.514029922386379E-4
40,8.967538781598764E-4
40.5,0.001073602505105112
41,0.0012751049341758762
41.5,0.0014918463561978707
42,0.0017126923217536483
42.5,0.0019259214149355507
43,0.0021208787861916917
43.5,0.002289158346938404
44,0.002425066621716188
44.5,0.002525302611431687
45,0.0025883713969439863
45.5,0.0026143636947196036
46,0.0026048941181788573
46.5,0.0025629403914965965
47,0.002492559875809391
47.5,0.0023985946129279167
48,0.002286363211137559
48.5,0.002161279888488195
49,0.0020284860752793486
49.5,0.0018925561817406953
50,0.001757286505665976
50.5,0.0016255372927808185
51,0.0014993692069362127
51.5,0.0013801438398663172
52,0.0012687130562676623
52.5,0.0011656163107734863
53,0.0010713040422003091
53.5,9.862537977683903E-4
54,9.110884896185559E-4
54.5,8.466087326268578E-4
55,7.938552231695003E-4
55.5,7.54058448357641E-4
56,7.28539964705619E-4
56.5,7.186033360646943E-4
57,7.253512122219732E-4
57.5,7.494784957965123E-4
58,7.910706644552287E-4
58.5,8.494668162465342E-4
59,9.231972212714976E-4
59.5,0.0010099943263899406
60,0.0011067877390826641
60.5,0.0012099406281961987
61,0.001315347031541799
61.5,0.001418555995861441
62,0.0015152439740245187
62.5,0.0016016163102713086
63,0.0016746922865981267
63.5,0.00173232592657644
64,0.0017732106086925424
64.5,0.0017968643179844073
65,0.001803436668654703
65.5,0.0017935462028413965
66,0.0017682273512786542
66.5,0.0017290348069161257
67,0.001677954585106879
67.5,0.0016171138379195706
68,0.0015487228537607422
68.5,0.0014749492904354068
69,0.0013977573877900335
69.5,0.0013188544722667697
70,0.0012396485381070326
70.5,0.001161315163620319
71,0.0010847837012281237
71.5,0.001010773201041171
72,9.398054138669454E-4
72.5,8.722027980296517E-4
73,8.088360689479221E-4
73.5,7.492028595613007E-4
74,6.932516954917612E-4
74.5,6.409807365794227E-4
75,5.922009638967222E-4
75.5,5.46784328129449E-4
76,5.045792055580108E-4
76.5,4.6548333934230614E-4
77,4.2931828720373967E-4
77.5,3.958537454126306E-4
78,3.6492447327627936E-4
78.5,3.363666072823989E-4
79,3.1008552833684935E-4
79.5,2.859061072721964E-4
80,2.6366084042439943E-4
80.5,2.4321689406347404E-4
81,2.2444358039915002E-4
81.5,2.072620602235271E-4
82,1.915065998129045E-4
82.5,1.7704993491868926E-4
83,1.6378604325302754E-4
83.5,1.516181596125811E-4
84,1.4048897310805562E-4
84.5,1.3027464520620625E-4
85,1.2089496163235228E-4
85.5,1.1227812887378694E-4
86,1.0436008553128091E-4
86.5,9.709946931331788E-5
87,9.041350359852797E-5
87.5,8.425105847052E-5
88,7.856562343001042E-5
88.5,7.331897376969406E-5
89,6.848033818885589E-5
89.5,6.40014072245303E-5
90,5.9890071884323564E-5
