% Model,2D_turn_chemıical_reaction.mph
% Version,COMSOL 6.3.0.290
% Date,"May 25 2025, 11:16"
% Dimension,1
% Nodes,208
% Expressions,4
% Description,Global
% Time (s),Concentration; Concentration; Concentration; Concentration,Concentration; Concentration; Concentration; Concentration,Concentration; Concentration; Concentration; Concentration,Concentration; Concentration; Concentration; Concentration
4.05966796875E-6,4.767272056887645,4.767272056887637,5.232727943112375,5.232727943112369
4.39716796875E-6,4.56853367482279,4.568533674822782,5.431466325177229,5.431466325177225
4.73466796875E-6,4.3857006481325,4.385700648132492,5.614299351867523,5.614299351867516
5.0721679687499996E-6,4.2169383357655,4.216938335765489,5.783061664234523,5.783061664234516
5.409667968749999E-6,4.0606826078164096,4.0606826078164,5.939317392183612,5.939317392183606
5.747167968749999E-6,3.9155923793850596,3.9155923793850516,6.084407620614961,6.0844076206149555
6.084667968749999E-6,3.780512092458841,3.780512092458832,6.21948790754118,6.219487907541175
6.4221679687499985E-6,3.654440727269172,3.6544407272691624,6.345559272730848,6.345559272730843
6.759667968749998E-6,3.536506361939127,3.536506361939118,6.463493638060893,6.463493638060887
7.097167968749998E-6,3.4259458247045083,3.425945824704499,6.574054175295512,6.574054175295507
7.434667968749998E-6,3.3220884095076197,3.3220884095076113,6.6779115904924,6.6779115904923945
7.772167968749997E-6,3.2243424474738056,3.224342447473797,6.775657552526216,6.77565755252621
8.109667968749997E-6,3.1321839851343096,3.1321839851343007,6.867816014865715,6.867816014865707
8.784667968749997E-6,2.9628212455843754,2.962821245584366,7.037178754415656,7.037178754415646
9.392167968749997E-6,2.8253318585287293,2.82533185852872,7.174668141471305,7.174668141471292
9.999667968749998E-6,2.700036733054529,2.7000367330545187,7.299963266945503,7.299963266945493
1.0607167968749998E-5,2.5853801470662936,2.5853801470662825,7.414619852933741,7.414619852933728
1.1214667968749999E-5,2.480063000411959,2.4800630004119477,7.519936999588075,7.519936999588067
1.182216796875E-5,2.3829902668438487,2.3829902668438367,7.617009733156187,7.617009733156178
1.242966796875E-5,2.2932306525661126,2.2932306525661006,7.706769347433923,7.706769347433915
1.303716796875E-5,2.2099872208078515,2.2099872208078417,7.790012779192182,7.790012779192175
1.3644667968750001E-5,2.132574957635647,2.1325749576356396,7.867425042364385,7.867425042364379
1.4252167968750001E-5,2.060402101806421,2.060402101806414,7.939597898193611,7.939597898193603
1.4859667968750002E-5,1.9929544304725098,1.992954430472503,8.007045569527524,8.007045569527515
1.5467167968750003E-5,1.929782653138989,1.929782653138982,8.070217346861048,8.070217346861037
1.6074667968750003E-5,1.8704925444365088,1.8704925444365024,8.12950745556353,8.129507455563518
1.6682167968750004E-5,1.8147369486931813,1.814736948693176,8.185263051306858,8.185263051306842
1.7289667968750004E-5,1.762209002140015,1.7622090021400092,8.23779099786002,8.237790997860005
1.8504667968750005E-5,1.6657789922114499,1.665778992211444,8.334221007788575,8.334221007788562
1.9598167968750004E-5,1.5875941915198608,1.5875941915198541,8.412405808480155,8.41240580848015
2.0646537830498516E-5,1.5192301096940812,1.519230109694075,8.480769890305936,8.480769890305934
2.1694907692247028E-5,1.4565089471256414,1.4565089471256352,8.543491052874376,8.543491052874373
2.274327755399554E-5,1.3987605131957612,1.3987605131957557,8.601239486804257,8.601239486804252
2.379164741574405E-5,1.3454169541098502,1.3454169541098449,8.654583045890169,8.654583045890163
2.4840017277492563E-5,1.2959928417702087,1.2959928417702036,8.70400715822981,8.704007158229803
2.5888387139241075E-5,1.250071065821172,1.250071065821167,8.749928934178847,8.749928934178838
2.6936757000989587E-5,1.2072919204936563,1.2072919204936514,8.792708079506363,8.792708079506355
2.79851268627381E-5,1.1673436712033465,1.1673436712033416,8.832656328796674,8.832656328796665
2.903349672448661E-5,1.1299545006648333,1.1299545006648288,8.870045499335188,8.870045499335179
3.0081866586235122E-5,1.0948861319486902,1.0948861319486864,8.905113868051332,8.905113868051318
3.113023644798363E-5,1.0619288988473605,1.0619288988473568,8.938071101152662,8.938071101152648
3.217860630973214E-5,1.0308977099990264,1.030897709999023,8.969102290000995,8.969102290000983
3.322697617148065E-5,1.001628560033321,1.0016285600333177,8.998371439966698,8.99837143996669
3.532371589497767E-5,0.9478096832358367,0.9478096832358337,9.052190316764179,9.05219031676418
