% Model,COMSOL_3D_Pipe_1.mph
% Version,COMSOL 6.3.0.290
% Date,"Sep 29 2025, 11:31"
% Table,Table 18 - 3D_Pipe_2_Outlet_Concentration_Surface_Average
% Time (s),"Molar concentration, c2 (mol/m^3)"
0,-2.1239772623020258E-106
0.01,5.374797441883512E-104
0.02,-2.4060165978896627E-102
0.03,-9.989129701002065E-101
0.04,-3.7030333504851476E-98
0.05,1.557831138918629E-94
0.06,4.2970969495452255E-92
0.07,1.3756808500202336E-89
0.08,-3.9033013437502303E-64
0.09,-1.5338692390949766E-61
0.1,-4.480874880777904E-59
0.11,-2.426052260644856E-56
0.12,-6.713088565626661E-54
0.13,-1.2660172268024071E-51
0.14,-3.2203217006298053E-49
0.15,-4.321868329718664E-47
0.16,-3.933706388783614E-45
0.17,-3.27047639111427E-35
0.18,-7.547040902489067E-34
0.19,-2.3672946792128957E-32
0.2,-5.727030061389467E-31
0.21,-9.644966044E-30
0.22,-1.4245515992973615E-28
0.23,-2.470427925813808E-27
0.24,-2.9189981498656775E-26
0.25,-2.7633611893843223E-25
0.26,-2.8464825032667125E-24
0.27,-2.5028269499851135E-23
0.28,-1.8156951501069958E-22
0.29,-1.2222538475143965E-21
0.3,-8.509685013968185E-21
0.31,-5.055097563168093E-20
0.32,-2.6764183623325832E-19
0.33,-1.0218792834795846E-16
0.34,-6.641967026444746E-16
0.35000000000000003,-2.470707172477304E-15
0.36,-1.4549495728537404E-14
0.37,-6.671189179589977E-14
0.38,-2.363859909299126E-13
0.39,-8.094605314283795E-13
0.4,-2.8514378844441818E-12
0.41000000000000003,-8.586003355083244E-12
0.42,-2.1962225133480758E-11
0.43,-2.0755293271522842E-11
0.44,1.4756034451641033E-10
0.45,7.016896743318506E-10
0.46,2.0539401198168003E-9
0.47000000000000003,5.45147409042392E-9
0.48,1.285036603648203E-8
0.49,2.7981124740445396E-8
0.5,6.308133836846342E-8
0.51,1.3407437058644864E-7
0.52,2.683691041998988E-7
0.53,5.256955996457651E-7
0.54,1.0200974074888776E-6
0.55,1.8821621820043838E-6
0.56,3.3374345070499325E-6
