% Model,COMSOL_Three_Pipes_Phase_2.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 23 2026, 11:30"
% Table,Table 34 - c_CNN_Sensor_Phase_3
% Time (s),c_CNN_Sensor_Phase_2 (mol/m^3)
1.85,-9.519983756947108E-105
1.86,-1.0714150444914303E-104
1.87,-1.201326569417815E-104
1.8800000000000001,-1.341732950473859E-104
1.8900000000000001,-1.492634187659578E-104
1.9000000000000001,-1.6540302809749628E-104
1.9100000000000001,-1.8398357621912397E-104
1.92,-2.081032006094601E-104
1.93,-2.3461775786063016E-104
1.94,-2.635272479726316E-104
1.95,-2.9483167094546637E-104
1.96,-3.285310267791354E-104
1.97,-3.646253154736383E-104
1.98,-4.041357349402836E-104
1.99,-4.5819830120447325E-104
2,-5.1780620792882215E-104
2.0100000000000002,-5.829594551133307E-104
2.02,-6.536580427580103E-104
2.0300000000000002,-7.299019708628549E-104
2.04,-8.116912394278564E-104
2.05,-8.990258484530216E-104
2.06,-1.018154522177439E-103
2.07,-1.1525555490704838E-103
2.08,-1.2997041316863438E-103
2.09,-1.4596002700249898E-103
2.1,-1.632243964086446E-103
2.11,-1.8176352138707067E-103
2.12,-2.0157740193777506E-103
2.13,-2.2737186761501344E-103
2.14,-2.577650686589476E-103
2.15,-2.911034296774679E-103
2.16,-3.2738695067057187E-103
2.17,-3.6661563163826428E-103
2.18,-4.087894725805382E-103
2.19,-4.539084734973988E-103
2.2,-5.098245376748763E-103
2.21,-5.787429517026402E-103
2.22,-6.54483694049809E-103
2.23,-7.3704676471638E-103
2.24,-8.264321637023629E-103
2.25,-9.226398910077383E-103
2.2600000000000002,-1.0256699466325367E-102
2.27,-1.1467983939231391E-102
2.2800000000000002,-1.3028630434525394E-102
2.29,-1.4746393905925725E-102
2.3000000000000003,-1.6621274353432518E-102
2.31,-1.8653271777045547E-102
2.32,-2.0842386176765184E-102
2.33,-2.318861755259128E-102
2.34,-2.580141549793125E-102
2.35,-2.9310657188924483E-102
2.36,-3.317705081229262E-102
2.37,-3.740059636803563E-102
2.38,-4.198129385615275E-102
2.39,-4.6919143276644704E-102
2.4,-5.2214144629511335E-102
2.41,-5.786629791475254E-102
2.42,-6.560364148043534E-102
2.43,-7.420064261326529E-102
2.44,-8.359603740885693E-102
2.45,-9.378982586721093E-102
2.46,-1.0478200798832705E-101
2.47,-1.165725837722049E-101
2.48,-1.29161553218844E-101
2.49,-1.4548078495003556E-101
2.5,-1.6430314024099795E-101
2.5100000000000002,-1.848765176340411E-101
2.52,-2.0720091712916454E-101
2.5300000000000002,-2.3127633872637608E-101
2.54,-2.571027824256643E-101
2.5500000000000003,-2.8468024822703832E-101
2.56,-2.6001680556998014E-66
2.57,-7.949655747628361E-66
2.58,-1.4442397805264827E-65
2.59,-2.2078394228608423E-65
2.6,-3.085764501765997E-65
2.61,-4.078015017241887E-65
2.62,-5.18459096928854E-65
2.63,-6.405492357905944E-65
2.64,-7.740719183094128E-65
2.65,-9.190271444853058E-65
2.66,-1.0754149143182736E-64
2.67,-1.2432352278083205E-64
2.68,-1.4224880849554419E-64
2.69,-1.6131734857596457E-64
2.7,-1.8608931348690096E-64
2.71,-2.3104917263912746E-64
2.72,-2.8014129888312867E-64
2.73,-3.3336569221889414E-64
2.74,-3.9072235264643604E-64
2.75,-4.5221128016574275E-64
2.7600000000000002,-5.1783247477682626E-64
2.77,-5.875859364796716E-64
2.7800000000000002,-6.614716652743008E-64
2.79,-7.394896611606854E-64
2.8000000000000003,-8.21639924138854E-64
2.81,-9.079224542087895E-64
2.82,-9.983372513704934E-64
2.83,-1.1039900330534799E-63
2.84,-1.24762139672385E-63
2.85,-1.401593858627134E-63
2.86,-1.565907418763311E-63
2.87,-1.7405620771324023E-63
2.88,-1.9255578337343997E-63
2.89,-2.120894688569318E-63
2.9,-2.3265726416371138E-63
2.91,-2.542591692937849E-63
2.92,-2.768951842471483E-63
2.93,-3.0056530902380157E-63
2.94,-3.2526954362374564E-63
2.95,-3.5100788804698183E-63
2.96,-3.8053680955350377E-63
2.97,-4.1746732005286616E-63
2.98,-4.566815159410396E-63
2.99,-4.981793972180214E-63
3,-5.419609638838203E-63
3.0100000000000002,-5.88026215938435E-63
3.02,-6.363751533818485E-63
3.0300000000000002,-6.870077762140796E-63
3.04,-7.399240844351252E-63
3.0500000000000003,-7.951240780449822E-63
3.06,-8.526077570436485E-63
3.0700000000000003,-9.123751214311302E-63
3.08,-9.744261712074081E-63
3.09,-1.046333298104192E-62
3.1,-1.1341769260493702E-62
3.11,-1.2271868232600557E-62
3.12,-1.3253629897362425E-62
3.13,-1.4287054254779404E-62
3.14,-1.5372141304851555E-62
3.15,-1.6508891047578844E-62
3.16,-1.7697303482961157E-62
3.17,-1.8937378610998443E-62
3.18,-2.022911643169106E-62
3.19,-2.157251694503853E-62
3.2,-2.296758015104158E-62
3.21,-2.441430604969945E-62
3.22,-2.612864273803627E-62
3.23,-2.820409092287361E-62
3.24,-3.0401963482393225E-62
3.25,-3.2722260416594377E-62
3.2600000000000002,-3.516498172547754E-62
3.27,-3.773012740904259E-62
3.2800000000000002,-4.041769746728947E-62
3.29,-4.322769190021753E-62
3.3000000000000003,-4.616011070782795E-62
3.31,-4.921495389011985E-62
3.3200000000000003,-5.239222144709404E-62
3.33,-5.569191337874981E-62
3.34,-5.911402968508687E-62
3.35,-6.32680054095031E-62
3.36,-6.824589941129595E-62
3.37,-7.352132351004859E-62
