% Model,COMSOL_3D_CNN_Design_1_2_Phase_2.mph
% Version,COMSOL 6.3.0.290
% Date,"Oct 16 2025, 12:17"
% Table,Table 6 - Concentration_Outlet_Pipe_3
% Time (s),Concentration_Outlet_Pipe_3 (mol/m^3)
0,1.630622400165333E-194
0.05,2.7451178210824582E-192
0.1,3.4417935576479487E-192
0.15000000000000002,-2.23113057233855E-189
0.2,2.6725842565154746E-188
0.25,1.970436711996594E-186
0.30000000000000004,1.3672016364335294E-184
0.35000000000000003,5.783757227150625E-181
0.4,1.4691082318857418E-178
0.45,2.4758781810555958E-176
0.5,-2.906890213653694E-148
0.55,-2.5835133793499985E-146
0.6000000000000001,-4.1413163919100964E-144
0.65,-1.2293379542431343E-141
0.7000000000000001,9.96047627258548E-140
0.75,5.71596545062665E-136
0.8,3.868851452852179E-133
0.8500000000000001,2.915068436642564E-130
0.9,8.781467657844998E-128
0.9500000000000001,4.817821481107008E-125
1,-4.2372993042767943E-122
1.05,-1.9838531109803304E-118
1.1,-4.1285641865172515E-78
1.1500000000000001,-6.81798143006978E-78
1.2000000000000002,-2.0333311075940238E-77
1.25,-9.69225474664215E-77
1.3,-5.417960514803619E-76
1.35,-4.3187987127208513E-75
1.4000000000000001,-3.091931351521928E-74
1.4500000000000002,-2.4334163342962405E-73
1.5,-1.7272787103324306E-72
1.55,-1.1947701565338798E-71
1.6,-8.20427971939436E-71
1.6500000000000001,-4.863546483301218E-70
1.7000000000000002,-2.8607635575392477E-69
1.75,-1.1979550517544283E-68
1.8,1.1674754217596366E-69
1.85,4.924170286112619E-67
1.9000000000000001,-5.849895691593975E-66
1.9500000000000002,-4.3674946857573956E-64
2,-1.3031627878142106E-62
2.0500000000000003,-3.324335418661684E-61
2.1,-5.082218467258934E-60
2.15,-1.1701515956012808E-58
2.2,-1.668729846959881E-57
2.25,-2.9225695644853975E-56
2.3000000000000003,-3.5763090091426644E-55
2.35,-4.2965842818134424E-54
2.4000000000000004,-5.088434817949297E-53
2.45,-5.14179118196389E-52
2.5,-6.186706454859243E-51
2.5500000000000003,-5.661805874922801E-50
2.6,-2.754102498276914E-37
2.6500000000000004,-5.990611490787833E-37
2.7,-7.229558209492441E-37
2.75,-1.244218962627085E-36
2.8000000000000003,-2.555189381532044E-36
2.85,-4.703925126348518E-36
2.9000000000000004,-1.8293754681691376E-36
2.95,4.801456942504384E-35
3,3.2477528948104266E-34
3.0500000000000003,2.223895078447884E-33
3.1,1.390064550183292E-32
3.1500000000000004,7.515977197576812E-32
3.2,3.5822055968832128E-31
3.25,1.469332367606894E-30
3.3000000000000003,7.369963379351202E-30
3.35,3.791132374988079E-29
3.4000000000000004,1.8245429629979327E-28
3.45,8.022843927384261E-28
3.5,3.1085759541882063E-27
3.5500000000000003,1.457352214111787E-26
3.6,6.763308855533738E-26
3.6500000000000004,2.8928021526693223E-25
3.7,1.1271111570618766E-24
3.75,3.9479251139229704E-24
3.8000000000000003,1.604792387106515E-23
3.85,6.319305201120261E-23
3.9000000000000004,2.3139899588356036E-22
3.95,7.850692054127073E-22
4,2.4595561463346533E-21
4.05,8.663044308059832E-21
4.1000000000000005,2.94180216607912E-20
4.15,9.406065599842817E-20
4.2,2.8292212838488243E-19
4.25,8.013344057229197E-19
4.3,2.4860704062312742E-18
4.3500000000000005,7.428593258330694E-18
4.4,2.1116271327569776E-17
4.45,5.715821917014476E-17
4.5,1.477779491566365E-16
4.55,4.102626241750018E-16
4.6000000000000005,1.25038395464821E-15
4.65,3.5194566749504225E-15
4.7,9.060332749561472E-15
4.75,2.1883523491213207E-14
4.800000000000001,5.503756854950634E-14
4.8500000000000005,1.3362672437512786E-13
4.9,3.1422512032908357E-13
4.95,7.188165593888351E-13
5,1.6069724773315035E-12
5.050000000000001,3.850599210781077E-12
5.1000000000000005,9.41979588105904E-12
5.15,2.3905233356643234E-11
5.2,6.152521184783513E-11
5.25,1.5693471494767463E-10
5.300000000000001,4.490400748037231E-10
5.3500000000000005,1.1356593197519817E-9
5.4,2.555853153356893E-9
5.45,5.28462233879732E-9
5.5,1.0387519257581052E-8
5.550000000000001,2.0339878983484052E-8
5.6000000000000005,3.866059907707504E-8
5.65,7.179499594572944E-8
5.7,1.3076885346029646E-7
5.75,2.34864405573027E-7
5.800000000000001,4.250617919144263E-7
5.8500000000000005,7.547258133745523E-7
5.9,1.316645049784886E-6
5.95,2.2607835360237233E-6
6,3.837256195845555E-6
6.050000000000001,6.527897370858058E-6
6.1000000000000005,1.0921827445865107E-5
6.15,1.7994356462975596E-5
6.2,2.923545588598915E-5
6.25,4.7005371451593586E-5
6.300000000000001,7.544394146019048E-5
6.3500000000000005,1.1929543748416026E-4
6.4,1.860436558093845E-4
6.45,2.9099810069512975E-4
6.5,4.807493217854262E-4
6.550000000000001,7.466613973556686E-4
6.6000000000000005,0.0011683867682398242
6.65,0.001759443193225254
6.7,0.0025989448302419582
6.75,0.003829081915681434
6.800000000000001,0.00544653934070817
6.8500000000000005,0.007857361712791765
6.9,0.010884927873044651
6.95,0.015308785552107811
7,0.020894468491713628
7.050000000000001,0.02840380542186278
7.1000000000000005,0.03805144405209777
7.15,0.05027338681251018
7.2,0.0660611935871954
7.25,0.08523733319494722
7.300000000000001,0.1099162913471696
7.3500000000000005,0.1391859501178592
7.4,0.1757556743709106
7.45,0.21886755626832083
7.5,0.2704701238230536
7.550000000000001,0.3312079044277113
7.6000000000000005,0.4015835830768629
7.65,0.4834089304146021
7.7,0.5761168169665666
7.75,0.6822594113003513
7.800000000000001,0.8007447836092404
7.8500000000000005,0.9327690151519488
7.9,1.0780233440567122
7.95,1.2363653327064756
8,1.4077695073883312
8.05,1.5914376375732266
8.1,1.785985132318643
8.15,1.9915294041728486
8.200000000000001,2.2037502761754193
8.25,2.4244812582319883
8.3,2.6475331313085175
8.35,2.8743663907116304
8.4,3.100548779558469
8.450000000000001,3.3241765448039535
8.5,3.544111567721569
8.55,3.755317424636343
8.6,3.9595689768091082
8.65,4.150406655836533
8.700000000000001,4.330550245913352
8.75,4.495208248036822
8.8,4.645402214361289
8.85,4.7799159064215155
8.9,4.898055435346894
8.950000000000001,5.000531995223876
9,5.087600195471209
9.05,5.159473852170467
9.1,5.219156092269056
9.15,5.2653923235113735
9.200000000000001,5.301910804519504
9.25,5.328003912402082
9.3,5.3456000915366255
9.35,5.355786235855797
9.4,5.359181655246945
9.450000000000001,5.358798495966865
9.5,5.3535883729601945
9.55,5.348101987691692
9.600000000000001,5.340452869356891
9.65,5.33357313465634
9.700000000000001,5.326976802894681
9.75,5.321127198231705
9.8,5.316423572777238
9.850000000000001,5.312595367346645
9.9,5.309715025853523
9.950000000000001,5.307719504374302
10,5.306308476329176
10.05,5.305605493648246
10.100000000000001,5.305181268820656
10.15,5.305096333556965
10.200000000000001,5.305180423156468
10.25,5.305307876920222
10.3,5.305524212678924
10.350000000000001,5.305722147145784
10.4,5.30595301964997
10.450000000000001,5.306200728231698
10.5,5.30647184729262
10.55,5.306716704123178
10.600000000000001,5.306941038558477
10.65,5.307118158407878
10.700000000000001,5.307227500010647
10.75,5.307281828877793
10.8,5.307276757574313
10.850000000000001,5.307218151098001
10.9,5.307161130145077
10.950000000000001,5.3070833565081195
11,5.307033391098203
11.05,5.307006894691661
11.100000000000001,5.307009738736371
11.15,5.3070503529802515
11.200000000000001,5.307117243246597
11.25,5.307195455443833
11.3,5.307289400326217
11.350000000000001,5.3073507944825105
11.4,5.307399061030926
11.450000000000001,5.307406406142256
11.5,5.3073745636237275
11.55,5.307314067291729
11.600000000000001,5.307229676100525
11.65,5.307131237367723
11.700000000000001,5.307055070186246
11.75,5.306985995675046
11.8,5.306967806501583
11.850000000000001,5.306983014750642
11.9,5.307031186050995
11.950000000000001,5.307112335428166
12,5.307199727337618
12.05,5.307272094935546
12.100000000000001,5.307343207728314
12.15,5.307413065715937
12.200000000000001,5.307479276113441
12.25,5.307487812974334
12.3,5.307474114732727
12.350000000000001,5.307438181388631
12.4,5.307380012942048
12.450000000000001,5.307323805008085
12.5,5.307255105958088
12.55,5.307173807557625
12.600000000000001,5.3070799098067
12.65,5.307029993911451
12.700000000000001,5.306994559919165
12.75,5.306970660104154
12.8,5.306958294466446
12.850000000000001,5.306970339427426
12.9,5.307001179868212
12.950000000000001,5.307049458177551
13,5.307115174355441
13.05,5.3071668827376
13.100000000000001,5.307215259403105
13.15,5.307265512520655
13.200000000000001,5.307317642090229
13.25,5.307347032443263
13.3,5.307359326434267
13.350000000000001,5.307360287530701
13.4,5.307349915732579
13.450000000000001,5.307328206919265
13.5,5.307295161511407
13.55,5.307250780798358
13.600000000000001,5.307195064780114
13.65,5.307146161727553
13.700000000000001,5.3071049102619146
13.75,5.307063969708103
13.8,5.307023340066107
13.850000000000001,5.306998041403814
13.9,5.306991400021409
13.950000000000001,5.306995719566967
14,5.307011000040481
14.05,5.307035252503127
14.100000000000001,5.307067618071902
14.15,5.3071093728572825
14.200000000000001,5.307160516859277
14.25,5.307207297718129
14.3,5.3072402376321355
14.350000000000001,5.3072703280909845
14.4,5.307297569094665
14.450000000000001,5.307314580039819
14.5,5.307313896498886
14.55,5.30730287045295
14.600000000000001,5.307281501902
14.65,5.307254056674142
14.700000000000001,5.307226620449919
14.75,5.3071938638982985
14.8,5.3071557870192745
14.850000000000001,5.307119415027353
14.9,5.307098674555193
14.950000000000001,5.307082413253808
15,5.307070631123212
15.05,5.30706516763825
15.100000000000001,5.307071108864071
15.15,5.307084660361949
15.200000000000001,5.307105822131899
15.25,5.307132060895982
15.3,5.307153371376488
15.350000000000001,5.307176798938201
15.4,5.307202343581133
15.450000000000001,5.307228075900741
15.5,5.307242507445138
15.55,5.30725334678144
15.600000000000001,5.3072605939096436
15.65,5.307263949074728
15.700000000000001,5.307260388831304
15.75,5.307251860144656
