% Model,COMSOL_3D_CNN_Design_1_2_Phase_2.mph
% Version,COMSOL 6.3.0.290
% Date,"Oct 16 2025, 12:17"
% Table,Table 5 - Concentration_Outlet_Pipe_2
% Time (s),Concentration_Outlet_Pipe_2 (mol/m^3)
5.1000000000000005,7.334451564483482E-13
5.15,2.9469162835101557E-12
5.2,1.1168531094712699E-11
5.25,3.812960965489362E-11
5.300000000000001,1.6661245707120665E-10
5.3500000000000005,4.419833307374959E-10
5.4,9.778610968266222E-10
5.45,2.0053722662306567E-9
5.5,3.983763952877857E-9
5.550000000000001,7.832837780196273E-9
5.6000000000000005,1.4964604089969813E-8
5.65,2.7958799410785398E-8
5.7,5.124045243524151E-8
5.75,9.25902582835664E-8
5.800000000000001,1.686362591132509E-7
5.8500000000000005,3.013007853417389E-7
5.9,5.288164967516875E-7
5.95,9.132530748412425E-7
6,1.5587214122071715E-6
6.050000000000001,2.666807950276323E-6
6.1000000000000005,4.485570831948926E-6
6.15,7.427399478712643E-6
6.2,1.2125414802299558E-5
6.25,1.9587440242951978E-5
6.300000000000001,3.159478850755936E-5
6.3500000000000005,5.0200582272481926E-5
6.4,7.865519335756803E-5
6.45,1.234474685006686E-4
6.5,2.0365446124181113E-4
6.550000000000001,3.157300869960507E-4
6.6000000000000005,4.965880813351956E-4
6.65,7.524930479320971E-4
6.7,0.0011178659023779857
6.75,0.0016554741506245455
6.800000000000001,0.002364480868984426
6.8500000000000005,0.0034275475874678252
6.9,0.004765220249744272
6.95,0.006740741646490083
7,0.00924485845731839
7.050000000000001,0.012617553486793203
7.1000000000000005,0.016954779579881854
7.15,0.022461302369007376
7.2,0.029595025913529947
7.25,0.038269218612237296
7.300000000000001,0.04943214571297871
7.3500000000000005,0.06267475752272317
7.4,0.07927773510569294
7.45,0.09888282541539385
7.5,0.12237975381897714
7.550000000000001,0.15006347441685053
7.6000000000000005,0.18217448729607533
7.65,0.21955845625298553
7.7,0.26192865612466804
7.75,0.31033341428616573
7.800000000000001,0.36432421024297046
7.8500000000000005,0.42454637207720985
7.9,0.49083331185425516
7.95,0.5629995508372511
8,0.6409932983395309
8.05,0.7244185962594645
8.1,0.8125271993896622
8.15,0.9054541085107686
8.200000000000001,1.001374768109517
8.25,1.1010635308658125
8.3,1.2018419629042338
8.35,1.304342105211326
8.4,1.4066470856697868
8.450000000000001,1.5079335192698242
8.5,1.6077367192074439
8.55,1.7039278108265956
8.6,1.7972572592317086
8.65,1.884996512803163
8.700000000000001,1.9682944209850939
8.75,2.045015181207326
8.8,2.115614148613524
8.85,2.1796130708165764
8.9,2.2367304727884028
8.950000000000001,2.2872092386598215
9,2.331065605624652
9.05,2.3684105738192036
9.1,2.4002873465480197
9.15,2.4262601131344894
9.200000000000001,2.447842194779539
9.25,2.464746363360789
9.3,2.4777271791625015
9.35,2.487212259997598
9.4,2.4933910779829844
9.450000000000001,2.497338637519242
9.5,2.498682778209688
9.55,2.4990671722049442
9.600000000000001,2.49781044333733
9.65,2.49625528604578
9.700000000000001,2.4941791568084217
9.75,2.4920778700451343
9.8,2.4902839142530344
9.850000000000001,2.488627193579145
9.9,2.4872874596349117
9.950000000000001,2.4861773353754346
10,2.485316871159029
10.05,2.4846978184301616
10.100000000000001,2.4842527458950747
10.15,2.483991161707275
10.200000000000001,2.4838486458175844
10.25,2.4837837411027897
10.3,2.483794410310608
10.350000000000001,2.483805980995465
10.4,2.4838518742459437
10.450000000000001,2.4838915441002647
10.5,2.4839415454027214
10.55,2.4839855210143598
10.600000000000001,2.4840253610531344
10.65,2.484060174004779
10.700000000000001,2.484088143064437
10.75,2.4841111510350515
10.8,2.4841306628623965
10.850000000000001,2.484146227607807
10.9,2.484161669401225
10.950000000000001,2.484175438476159
11,2.484189220153947
11.05,2.4842028638404963
11.100000000000001,2.484215731681678
11.15,2.484227543639261
11.200000000000001,2.4842379676855995
11.25,2.484245633164857
11.3,2.4842511638867326
11.350000000000001,2.484253974365736
11.4,2.4842543001269415
11.450000000000001,2.4842530432547245
11.5,2.4842501474761627
11.55,2.4842463856499983
11.600000000000001,2.484242423385298
11.65,2.484238227162217
11.700000000000001,2.484234939499303
11.75,2.4842320673057614
11.8,2.4842306555014555
11.850000000000001,2.484230286814018
11.9,2.484231451077493
11.950000000000001,2.48423413134782
12,2.48423982640458
12.05,2.4842497870216733
12.100000000000001,2.4842632033685708
12.15,2.4842800754452803
12.200000000000001,2.484300962179001
12.25,2.4843384834130635
12.3,2.484384361134479
12.350000000000001,2.484438595343252
12.4,2.4845011860393877
12.450000000000001,2.4846151465213397
12.5,2.484754785678818
12.55,2.484919911100093
12.600000000000001,2.4851105227851598
12.65,2.485428735267702
12.700000000000001,2.4858213087156353
12.75,2.4862829232417702
12.8,2.4868135788461054
12.850000000000001,2.487636067491715
12.9,2.488653234594971
12.950000000000001,2.4898415903316797
13,2.4912011347018455
13.05,2.493178148307022
13.100000000000001,2.495621114964855
13.15,2.498456119727298
13.200000000000001,2.5016831625943587
13.25,2.5061323756219216
13.3,2.5116134607331135
13.350000000000001,2.517932052330878
13.4,2.5250881504152005
13.450000000000001,2.534508102562099
13.5,2.5460463022466486
13.55,2.559256444793652
13.600000000000001,2.574138530203112
13.65,2.5929707106384337
13.700000000000001,2.615858258207509
13.75,2.6418796980805075
13.8,2.67103503025742
13.850000000000001,2.706707155558342
13.9,2.7496452412797576
13.950000000000001,2.798115873466097
14,2.8521190521173536
14.05,2.9163130343115453
14.100000000000001,2.9927093941909115
14.15,3.0783193768169563
14.200000000000001,3.1731429821896815
14.25,3.2831054165012596
14.3,3.412290191996486
14.350000000000001,3.555961623746363
14.4,3.714119711750881
14.450000000000001,3.8936827643706646
14.5,4.101647663677334
14.55,4.331122930817849
14.600000000000001,4.582108565792194
14.65,4.861975292492122
14.700000000000001,5.181238272361382
14.75,5.530689204741513
14.8,5.910328089632532
14.850000000000001,6.327223540827526
14.9,6.795388224814967
14.950000000000001,7.303600897336593
15,7.851861558392382
15.05,8.446013881281521
15.100000000000001,9.102215359584424
15.15,9.808411759342217
15.200000000000001,10.564603080554956
15.25,11.374747961056718
15.3,12.25448119186349
15.350000000000001,13.192793302851992
15.4,14.189684294022184
15.450000000000001,15.246988712147155
15.5,16.375630187842663
15.55,17.56827914002384
15.600000000000001,18.824935568690673
15.65,20.145667966001305
15.700000000000001,21.531167170409162
15.75,22.98098831246287
15.8,24.495131392162584
15.850000000000001,26.072979901521695
