% Model,COMSOL_3D_CNN_Design_1_2_Phase_2.mph
% Version,COMSOL 6.3.0.290
% Date,"Oct 16 2025, 15:53"
% Table,Table 5 - Concentration_Outlet_Pipe_2
% Time (s),Concentration_Outlet_Pipe_2 (mol/m^3),Concentration_Outlet_Pipe_2 (mol/m^3),Concentration_Outlet_Pipe_2 (mol/m^3),Concentration_Outlet_Pipe_2 (mol/m^3)
3.7,-1.734100129587038E-24,-1.6671817125116563E-34,-1.6671817125116563E-34,-5.164167226369638E-30
3.75,-5.5396212638172E-24,-7.78193107495429E-34,-7.78193107495429E-34,-2.000307774733028E-29
3.8000000000000003,-1.9773458842295528E-23,-3.141791094800885E-33,-3.141791094800885E-33,-7.338880551731608E-29
3.85,-6.809218761545206E-23,-9.989155433568901E-33,-9.989155433568901E-33,-2.548395298188584E-28
3.9000000000000004,-2.1967420256108235E-22,-4.780241079126385E-32,-4.780241079126385E-32,-8.376255871194266E-28
3.95,-6.640521491213502E-22,-1.907029268793193E-31,-1.907029268793193E-31,-3.0590036951817383E-27
4,-1.885173416707927E-21,-5.860804904601341E-31,-5.860804904601341E-31,-1.0709486375678038E-26
4.05,-5.810496375552872E-21,-2.6229859826430804E-30,-2.6229859826430804E-30,-3.585487937662168E-26
4.1000000000000005,-1.724539504053329E-20,-9.793520133483287E-30,-9.793520133483287E-30,-1.1478039736842303E-25
4.15,-4.850412808957001E-20,-2.845941630064499E-29,-2.845941630064499E-29,-3.5152310969371202E-25
4.2,-1.2950468867683474E-19,-1.1568645549457042E-28,-1.1568645549457042E-28,-1.0318599659457889E-24
4.25,-3.2968053514162835E-19,-3.9878388400180523E-28,-3.9878388400180523E-28,-3.1308547857357723E-24
4.3,-8.876459729158308E-19,-1.0960574673703502E-27,-1.0960574673703502E-27,-9.481710882349272E-24
4.3500000000000005,-2.2979758621823346E-18,-4.024715025395694E-27,-4.024715025395694E-27,-2.763291158103549E-23
4.4,-5.6783714597880756E-18,-1.2836108617076494E-26,-1.2836108617076494E-26,-7.754723944210073E-23
4.45,-1.3430715997759732E-17,-3.39985679481932E-26,-3.39985679481932E-26,-2.0980063201785635E-22
4.5,-3.0564246312212126E-17,-1.1179148277112819E-25,-1.1179148277112819E-25,-5.483337663031611E-22
4.55,-7.157125900309009E-17,-3.3162548233558606E-25,-3.3162548233558606E-25,-1.4235512453669498E-21
4.6000000000000005,-1.5997221713441815E-16,-8.433713880012628E-25,-8.433713880012628E-25,-3.748593553864637E-21
4.65,-3.1681989702944255E-16,-2.5182926867976433E-24,-2.5182926867976433E-24,-9.513611956674497E-21
4.7,-5.530071156969033E-16,-6.976930850697687E-24,-6.976930850697687E-24,-2.325840725251635E-20
4.75,-8.615002391457205E-16,-1.6994250273041264E-23,-1.6994250273041264E-23,-5.476991591930664E-20
4.800000000000001,-9.9797844381704E-16,-4.6550105970554833E-23,-4.6550105970554833E-23,-1.24313845377763E-19
4.8500000000000005,-4.6545342723661585E-17,-1.2072579111947157E-22,-1.2072579111947157E-22,-2.724612017555191E-19
4.9,4.533486727827532E-15,-2.808729609851536E-22,-2.808729609851536E-22,-5.934402077754255E-19
4.95,1.9200753987593376E-14,-7.094284639892402E-22,-7.094284639892402E-22,-1.2197085779564357E-18
5,5.943098186538329E-14,-1.7183978337686533E-21,-1.7183978337686533E-21,-2.334863845127902E-18
5.050000000000001,1.999439954758021E-13,-3.795496598268253E-21,-3.795496598268253E-21,-4.0542811362032056E-18
5.1000000000000005,7.334451564483482E-13,-8.825096960509487E-21,-8.825096960509487E-21,-5.988731518579888E-18
5.15,2.9469162835101557E-12,-2.3912791546343475E-20,-2.3912791546343475E-20,-5.927277495287878E-18
5.2,1.1168531094712699E-11,-5.629178995376801E-20,-5.629178995376801E-20,6.378218858573995E-18
5.25,3.812960965489362E-11,-1.1732293215936886E-19,-1.1732293215936886E-19,6.370972250078244E-17
5.300000000000001,1.6661245707120665E-10,-2.255889037007677E-19,-2.255889037007677E-19,2.5408255984774867E-16
5.3500000000000005,4.419833307374959E-10,-4.0036382259447132E-19,-4.0036382259447132E-19,8.030437910134252E-16
5.4,9.778610968266222E-10,-6.729593151875455E-19,-6.729593151875455E-19,2.2546441358521504E-15
5.45,2.0053722662306567E-9,-9.376466075299724E-19,-9.376466075299724E-19,5.8680163796596484E-15
5.5,3.983763952877857E-9,-9.473051810249492E-19,-9.473051810249492E-19,1.479394229708455E-14
5.550000000000001,7.832837780196273E-9,4.929669217611054E-19,4.929669217611054E-19,3.688008659971293E-14
5.6000000000000005,1.4964604089969813E-8,7.430311075099713E-18,7.430311075099713E-18,8.834372642599318E-14
5.65,2.7958799410785398E-8,2.6421552984416938E-17,2.6421552984416938E-17,2.0840304302103006E-13
5.7,5.124045243524151E-8,8.088560105122562E-17,8.088560105122562E-17,5.043106782806943E-13
5.75,9.25902582835664E-8,2.3407546169736384E-16,2.3407546169736384E-16,3.876816642382483E-12
5.800000000000001,1.686362591132509E-7,5.782440614754934E-16,5.782440614754934E-16,3.2689078949861537E-11
5.8500000000000005,3.013007853417389E-7,1.4055178541103499E-15,1.4055178541103499E-15,8.36462195551692E-11
5.9,5.288164967516875E-7,3.4610917739777365E-15,3.4610917739777365E-15,3.09254821867491E-10
5.95,9.132530748412425E-7,7.752892339756687E-15,7.752892339756687E-15,7.012726968062127E-10
6,1.5587214122071715E-6,1.7212212793970177E-14,1.7212212793970177E-14,1.702269759763784E-9
6.050000000000001,2.666807950276323E-6,3.9171930100192704E-14,3.9171930100192704E-14,3.49394624309006E-9
6.1000000000000005,4.485570831948926E-6,8.289081676656679E-14,8.289081676656679E-14,7.2018275750813505E-9
6.15,7.427399478712643E-6,1.734472323962554E-13,1.734472323962554E-13,1.4064739106813189E-8
6.2,1.2125414802299558E-5,3.7617675677280754E-13,3.7617675677280754E-13,2.6491355195531322E-8
6.25,1.9587440242951978E-5,7.784529703650571E-13,7.784529703650571E-13,5.058871193882628E-8
6.300000000000001,3.159478850755936E-5,1.6097635646677345E-12,1.6097635646677345E-12,8.943770351120211E-8
