% Model,COMSOL_3D_CNN_Design_1_1_Phase_1.mph
% Version,COMSOL 6.3.0.290
% Date,"Oct 13 2025, 09:10"
% Table,Table 47 - Concentration Pipe_3
% Time (s),Concentration Pipe_3 (mol/m^3),Concentration Pipe_3 (mol/m^3),Concentration Pipe_3 (mol/m^3)
0,9.867207060308518E-164,2.7650603888764046E-163,1.6105808305236907E-163
0.4,-2.0628582161267265E-141,-1.4576612177900916E-137,4.1554817300449115E-131
0.8,8.292292572095503E-85,1.453084328005111E-90,1.331148708253978E-78
1.2000000000000002,1.2089453813607603E-70,4.456490414026951E-57,2.2815445026734483E-65
1.6,3.7531898485384335E-46,3.193962074847771E-47,6.11626293166539E-54
2,1.751176864577654E-38,4.028314664045635E-39,9.775586068239025E-37
2.4000000000000004,4.682656264297496E-32,1.4702331261417963E-32,2.2820381632427433E-30
2.8000000000000003,7.683353301031642E-27,2.483435294301848E-24,2.6556655245251133E-25
3.2,1.4030300099380222E-22,-6.400050322148011E-20,2.893397040828317E-21
3.6,-7.500126152974742E-18,-8.110090823212376E-16,-3.0921123848906054E-18
4,-4.7794938450851077E-14,-8.414188796493072E-13,-1.8975773086455068E-14
4.4,4.127255134505297E-11,1.4305449639644294E-9,1.0706978930199804E-10
4.800000000000001,3.4544150403565906E-8,2.0762913016921562E-7,8.650723066055706E-8
5.2,2.403794484822134E-6,1.183676133298531E-5,6.465824624289992E-6
5.6000000000000005,7.987508648120913E-5,3.3420710535380824E-4,2.0091488154517408E-4
6,0.00140066327186805,0.005069838457453313,0.0031712775761949872
6.4,0.014169947164895244,0.04418242501652638,0.028067360008450507
6.800000000000001,0.09140523675918037,0.24418639593671188,0.15915437017384274
7.2,0.3923549804840988,0.8657257538633761,0.6015730141556848
7.6000000000000005,1.1607553481308517,2.0672073128346677,1.5796961853965426
8,2.4531798312502353,3.5997760580172127,3.0270244443556247
8.4,3.939999881563509,4.912782386034397,4.470727863998656
8.8,5.127027601300067,5.645971752872003,5.433871462158895
9.200000000000001,5.748812750284346,5.879571470837407,5.845414437096364
9.600000000000001,5.920311250474497,5.8837395633028695,5.91146129803671
10,5.899497109161894,5.861395397168513,5.877506422582279
10.4,5.867145728852438,5.857196881002755,5.859304794877941
10.8,5.861176911484275,5.859179605277166,5.859424553283093
11.200000000000001,5.864696527131778,5.8596580094896025,5.86244584955242
11.600000000000001,5.866182785087563,5.859473630830581,5.86294020855957
12,5.865875184652277,5.85944418132662,5.862544762748424
12.4,5.865655284291225,5.8594602092643004,5.8624475815476105
12.8,5.865683154842022,5.859460834602323,5.862495266222128
13.200000000000001,5.865709550015537,5.859459652589638,5.862509046352596
13.600000000000001,5.865705868355156,5.859459729338398,5.86250353047433
14,5.8657031801755775,5.8594597091014915,5.862501939219468
14.4,5.86570356341729,5.859459683347231,5.862502562386987
14.8,5.865703722081362,5.859461153883844,5.862503311361964
15.200000000000001,5.865703988195524,5.859474553642812,5.862507930304339
15.600000000000001,5.865707422078085,5.859552032576938,5.862534398760571
16,5.865728497855388,5.859940711795335,5.8626581714366885
16.400000000000002,5.865829800868036,5.861480904861306,5.863171961532012
16.8,5.866372559169323,5.8672687667010885,5.865068329337047
17.2,5.868750871206909,5.885294575307863,5.871398014698942
17.6,5.876757056568572,5.9374076253012396,5.890574382966138
18,5.902090383946169,6.070109754290906,5.9434070546841316
18.400000000000002,5.970959872702234,6.378106692157694,6.076348127804747
18.8,6.136606808488323,7.029266161993184,6.3904873169215515
19.200000000000003,6.4966473886813505,8.276535599635325,7.089174728092933
19.6,7.230201666279986,10.485731115370536,8.40816853338342
20,8.573910211070382,14.03648448755886,10.685618029991447
20.400000000000002,10.83657157338388,19.300626006522513,14.28058764043904
20.8,14.361976261055556,26.442869896733338,19.494866244321837
21.200000000000003,19.454479061407447,35.33610496829126,26.465987632232036
21.6,26.239896773530837,45.46004190530835,35.04439073740004
22,34.62090473478558,55.97094640748438,44.771909691321646
22.400000000000002,44.18326689191142,65.76348830753048,54.920825408993174
22.8,54.213419344837554,73.90515272643671,64.61512549584762
23.200000000000003,63.882186897863626,80.01474689708613,73.01257256182771
23.6,72.34911559287686,84.07998815439782,79.49201154086427
24,78.94964074967373,86.23688915983853,83.78881608102657
24.400000000000002,83.49221653923647,86.8871741765446,86.32627015736507
24.8,86.1874982005816,86.61362213509793,87.28727847321932
25.200000000000003,87.26166953150009,85.95454898502335,87.35120762624196
25.6,87.41723731715258,85.19902629415736,86.69323792220443
26,86.77408290544199,84.61663653272373,85.8818710823588
26.400000000000002,85.93558046201024,84.30242816973988,85.23644993821154
26.8,85.15085915963175,84.13984413833212,84.741882167414
27.200000000000003,84.53383916948007,84.14086227302785,84.57907266912828
27.6,84.21175861201064,84.21567177489759,84.45922835758262
28,84.05233852637626,84.2990852097503,84.46250687167122
28.400000000000002,83.99980875475262,84.44088719941108,84.46578538575979
28.8,84.07836543059376,84.46426908424974,84.46906389984835
29.200000000000003,84.21816479935994,84.48716656621887,84.47660512514503
29.6,84.31559443250448,84.51006404818801,84.48586841935754
30,84.41302406564894,84.53296153015718,84.49513171357006
30.400000000000002,84.48399616097977,84.55585901212629,84.50439500778255
30.8,84.49650809497885,84.5581540239369,84.51365830199508
31.200000000000003,84.50902002897803,84.55790262025106,84.52292159620758
31.6,84.52153196297711,84.55765121656508,84.5321848904201
32,84.53404389697629,84.5573998128792,84.5360739730599
32.4,84.54655583097535,84.5571484091933,84.537578173306
32.800000000000004,84.55906776497456,84.55689700550741,84.53908237355218
33.2,84.55875441098772,84.55664560182149,84.54058657379832
33.6,84.55819634562161,84.5563941981356,84.54209077404447
34,84.55763828025543,84.55614279444968,84.54359497429057
34.4,84.55708021488925,84.5558913907638,84.54509917453679
34.800000000000004,84.55652214952306,84.55540765828684,84.54660337478285
35.2,84.55596408415686,84.55489521053316,84.54810757502904
35.6,84.5554060187907,84.55438276277943,84.54961177527517
36,84.55484795342451,84.55387031502565,84.55018504050615
36.4,84.55428988805836,84.55335786727194,84.5503451901579
36.800000000000004,84.55373182269223,84.55284541951823,84.55050533980958
37.2,84.55336186807756,84.5523329717645,84.5506654894613
37.6,84.55299550268775,84.55182052401074,84.55082563911297
38,84.55262913729794,84.55130807625703,84.55098578876468
38.400000000000006,84.5522627719081,84.55079562850325,84.55114593841637
38.800000000000004,84.55189640651825,84.5506140031679,84.55130608806802
39.2,84.55153004112846,84.55047326668353,84.55146623771971
39.6,84.55116367573869,84.55033253019916,84.55162638737144
40,84.55079731034884,84.5501917937148,84.55159040480547
