% Model,COMSOL_3D_CNN_Design_1_2_Phase_2.mph
% Version,COMSOL 6.3.0.290
% Date,"Oct 16 2025, 14:47"
% Table,Table 4 - Concentration_Outlet_Pipe_1
% Time (s),Concentration_Outlet_Pipe_1 (mol/m^3),Concentration_Outlet_Pipe_1 (mol/m^3),Concentration_Outlet_Pipe_1 (mol/m^3)
1,6.1648192973520154E-120,-6.5859602615358E-103,-2.3453757906736193E-125
1.05,5.327031277475278E-117,-2.1723677137793758E-101,-1.0078316857140346E-123
1.1,-7.392195142858377E-77,-8.132625409648416E-100,-4.148874673070737E-122
1.1500000000000001,-5.205199345650372E-76,-3.018579808651441E-98,-1.995841628281863E-120
1.2000000000000002,-4.2085690826293856E-75,-1.0061769437831144E-96,-8.09819390381658E-119
1.25,-4.067380677866394E-74,-3.00665088810225E-95,-1.4194800311459585E-79
1.3,-3.187364916214337E-73,-9.109753354028245E-94,-1.9349905942823914E-78
1.35,-3.066035777949715E-72,-4.993020279531074E-92,-9.233023425490044E-78
1.4000000000000001,-2.378920572362888E-71,-5.525825960407935E-90,-4.824769226276333E-77
1.4500000000000002,-2.044795617981859E-70,-2.759243459908258E-62,-2.7080178342982614E-76
1.5,-1.5830337535147633E-69,-1.594137248919481E-61,-1.7375607054918914E-75
1.55,-1.2137673187917134E-68,-1.020402444427158E-60,-1.031626411490335E-74
1.6,-9.456868062512902E-68,-6.864671001212948E-60,-5.7645530878556095E-74
1.6500000000000001,-6.580370291287449E-67,-4.472994438960241E-59,-3.0771127872524666E-73
1.7000000000000002,-5.306531206031593E-66,-2.7900569551999534E-58,-1.688113844971004E-72
1.75,-3.6350556589422783E-65,-1.6779794386272552E-57,-9.752130965670936E-72
1.8,-2.9355972199929612E-64,-1.1678653244158943E-56,-5.294827148055252E-71
1.85,-2.1174951699028666E-63,-7.545035482945205E-56,-2.733926532881156E-70
1.9000000000000001,-1.6672021864858917E-62,-4.6018063416801E-55,-1.355885400216608E-69
1.9500000000000002,-1.3238859874869981E-61,-2.687623981941726E-54,-7.161018379167872E-69
2,-1.0867154088337855E-60,-1.515950275907186E-53,-3.830355485196044E-68
2.0500000000000003,-1.1272033656967528E-59,-8.852603242964557E-53,-1.9617140100451306E-67
2.1,-1.083592511962519E-58,-5.5205939156206224E-52,-9.71491680734919E-67
