% Model,COMSOL_3D_CNN_Design_1_1_Phase_1.mph
% Version,COMSOL 6.3.0.290
% Date,"Oct 13 2025, 09:10"
% Table,Table 46 - Concentration Pipe_2
% Time (s),Concentration Pipe_2 (mol/m^3),Concentration Pipe_2 (mol/m^3),Concentration Pipe_2 (mol/m^3)
14,4.265925982988084,5.705744518211513,4.911064195145159
14.4,5.218000177618421,8.445205679549595,6.612277811335522
14.8,7.23658162444284,13.415124881833849,9.88506937277139
15.200000000000001,11.004009620972631,21.158556876307284,15.434219782306423
15.600000000000001,17.203181560157674,31.689027814501245,23.717589226116704
16,26.17751471896555,44.1675218323791,34.612310620190215
16.400000000000002,37.60081074245374,57.10892273019425,47.193188774331155
16.8,50.22558773845796,68.63750020643728,59.863489783221354
17.2,62.31915320875372,77.43333258272888,70.85292600165776
17.6,72.5561512886428,82.88893170816311,78.8674436192547
18,79.88383862897477,85.38122906472528,83.54104450046731
18.400000000000002,84.17211662552,85.90034401046283,85.44201948414116
18.8,85.93256972405027,85.47735077488825,85.67507319733532
19.200000000000003,86.0550955507815,84.88916702395933,85.29152555011879
19.6,85.50059298816646,84.52996114788576,84.78717578521345
20,84.87254671080015,84.4305081964058,84.47907203507323
20.400000000000002,84.49059109995444,84.46640939620042,84.39668010735639
20.8,84.38393730222413,84.52698067018272,84.4436642730319
21.200000000000003,84.42635810843701,84.55813893374571,84.51614871862702
21.6,84.50545638127423,84.56187515854245,84.55916572562518
22,84.55702591828776,84.55520061275956,84.56997559316538
22.400000000000002,84.57051287880213,84.5499089835135,84.56304378037188
22.8,84.56382417667946,84.54816684544828,84.5533209690001
23.200000000000003,84.55357971720271,84.54821004049813,84.54803466021782
23.6,84.54810475958328,84.54905760922323,84.54739654092849
24,84.54742129873235,84.54985373710537,84.5487587828967
24.400000000000002,84.54803725216848,84.55021062860936,84.54973943307822
24.8,84.5491855541927,84.5502312727708,84.55032109877679
25.200000000000003,84.55010194847166,84.55013989416197,84.55051294754604
25.6,84.55045179544273,84.55002892699032,84.55043242888819
26,84.55043075858569,84.54997267893252,84.55024890507686
26.400000000000002,84.55025027434822,84.54996756220991,84.5501058337127
26.8,84.55007625631644,84.54996725327702,84.5500177228907
27.200000000000003,84.54996046811678,84.54997815498484,84.55000153993495
27.6,84.54993122455367,84.54999044603508,84.54999062648534
28,84.54993295879981,84.54999699782799,84.54999223473284
28.400000000000002,84.54993839759987,84.55000325458215,84.54999384298038
28.8,84.54995937357818,84.55000286409157,84.54999545122791
29.200000000000003,84.54998015902602,84.5500024522872,84.5499963026413
29.6,84.54998774532471,84.55000204048284,84.54999684830561
30,84.54999533162344,84.5500016286785,84.54999739396985
30.400000000000002,84.55000058007032,84.55000121687416,84.5499979396341
30.8,84.55000066283665,84.55000107031348,84.54999848529829
31.200000000000003,84.55000074560299,84.55000095653617,84.5499990309626
31.6,84.55000082836933,84.550000842759,84.54999957662685
32,84.55000091113563,84.55000072898176,84.54999976651739
32.4,84.550000993902,84.55000061520457,84.54999979852843
32.800000000000004,84.55000107666835,84.55000050142728,84.54999983053945
33.2,84.55000098007194,84.55000038765006,84.5499998625504
33.6,84.55000088005325,84.5500002738728,84.54999989456144
34,84.5500007800346,84.55000016009559,84.54999992657243
34.4,84.5500006800159,84.55000004631836,84.5499999585834
34.800000000000004,84.55000057999717,84.55000002054327,84.5499999905945
35.2,84.55000047997852,84.55000000564505,84.55000002260546
35.6,84.55000037995984,84.54999999074678,84.55000005461648
36,84.55000027994114,84.54999997584859,84.55000006301228
36.4,84.55000017992246,84.54999996095027,84.5500000609284
36.800000000000004,84.55000007990378,84.5499999460521,84.55000005884456
37.2,84.5500000610006,84.54999993115388,84.55000005676074
37.6,84.55000004364516,84.54999991625562,84.5500000546769
38,84.55000002628971,84.54999990135738,84.55000005259306
38.400000000000006,84.55000000893423,84.54999988645912,84.5500000505093
38.800000000000004,84.54999999157876,84.54999989208994,84.55000004842539
39.2,84.54999997422331,84.54999990025809,84.55000004634158
39.6,84.54999995686782,84.54999990842624,84.55000004425774
40,84.5499999395124,84.54999991659437,84.5500000407608
