% Model,COMSOL_3D_Design_1_1_Transmitter_CNN.mph
% Version,COMSOL 6.3.0.290
% Date,"Oct 7 2025, 14:07"
% Table,Table 23 - Concentration_Outlet_Pipe_3
% Time (s),Concentration_Outlet_Pipe_3 (mol/m^3)
0,0
0.2,-2.8131053700454526E-266
0.4,-2.166128676990291E-183
0.6000000000000001,3.1509248778558425E-178
0.8,-9.022241456807607E-104
1,1.55419483388507E-104
1.2000000000000002,3.4131441234046743E-100
1.4000000000000001,2.723664238884109E-97
1.6,3.173332255080701E-94
1.8,5.210943807110008E-91
2,1.5489249217327257E-88
2.2,-1.2362934805580493E-86
2.4000000000000004,3.0920415961371756E-83
2.6,-5.832420803114179E-60
2.8000000000000003,2.9261205489325096E-58
3,3.774694363085184E-56
3.2,4.789869527442112E-54
3.4000000000000004,9.985996154291678E-52
3.6,4.125981255956797E-49
3.8000000000000003,8.584935481231179E-47
4,2.1997358850823096E-44
4.2,2.8565482063618976E-42
4.4,3.870469074408913E-40
4.6000000000000005,3.4516118317015587E-38
4.800000000000001,2.6261109007977252E-36
5,1.6427758770804731E-34
5.2,7.889776603479267E-33
5.4,3.4655858731858168E-31
5.6000000000000005,1.1397240795906232E-29
5.800000000000001,4.028401224978253E-28
6,1.0016324216521624E-26
6.2,2.465067465565274E-25
6.4,4.8718430455358186E-24
6.6000000000000005,8.534635988391627E-23
6.800000000000001,1.3308493656606724E-21
7,1.7635817124242204E-20
7.2,2.181304915338519E-19
7.4,2.2525299882254715E-18
7.6000000000000005,2.216172029583476E-17
7.800000000000001,1.8597534812013329E-16
8,1.445074055867945E-15
8.200000000000001,9.98345027115387E-15
8.4,6.336266720645804E-14
8.6,3.70431155688205E-13
8.8,1.98277595086712E-12
9,1.006975893205036E-11
9.200000000000001,4.9006265985456255E-11
9.4,2.952141898729262E-10
9.600000000000001,2.111473469860996E-9
9.8,1.0597675573308486E-8
10,4.3928351458895595E-8
10.200000000000001,1.7338589012565748E-7
10.4,7.515231168794161E-7
10.600000000000001,2.7410786750729826E-6
10.8,8.75213018144601E-6
11,2.5169241811170607E-5
11.200000000000001,6.743937310064892E-5
11.4,1.6433759337598344E-4
11.600000000000001,3.68234228769234E-4
11.8,7.650588500798479E-4
12,0.0014923259321772194
12.200000000000001,0.00272947422937978
12.4,0.004686834201169596
12.600000000000001,0.0075852640423076665
12.8,0.011612546108498887
13,0.01685655322689241
13.200000000000001,0.023243854444829938
13.4,0.03053100923543656
13.600000000000001,0.038305107836039326
13.8,0.045998351029936026
14,0.05305169848735205
14.200000000000001,0.05900164787633385
14.4,0.06354725589115952
14.600000000000001,0.06662426385968792
14.8,0.06843465766520263
15,0.0693123829918975
15.200000000000001,0.06958791379506932
15.4,0.06959705723276033
15.600000000000001,0.06961279252303633
15.8,0.06971904609384368
16,0.06992329386819869
16.2,0.0702021019843144
16.400000000000002,0.07050774799360963
16.6,0.07079576399206819
16.8,0.071040101300823
17,0.07123604559821858
17.2,0.07139765969043649
17.400000000000002,0.07154315096875284
17.6,0.07168111670244565
17.8,0.07181364190676004
18,0.07194015167786832
18.2,0.07205980412402195
18.400000000000002,0.07217224124069944
18.6,0.07227740234726146
18.8,0.07237517101906411
19,0.07246594603670237
19.200000000000003,0.0725512896023091
19.400000000000002,0.07263246125018225
19.6,0.07270968009048141
19.8,0.07278273067666294
20,0.07285181322591404
20.200000000000003,0.07291743632060951
20.400000000000002,0.07297988818361298
20.6,0.07303932728323273
20.8,0.07309594825996647
21,0.07315005647229689
21.200000000000003,0.07320191367913903
21.400000000000002,0.07325174398548844
21.6,0.07329980299579367
21.8,0.0733465242328445
22,0.07339267929272486
22.200000000000003,0.0734395331954609
22.400000000000002,0.07348930547219625
22.6,0.07354588078951521
22.8,0.07361607898397052
23,0.07371029526923037
23.200000000000003,0.073845314744314
23.400000000000002,0.07404737561452632
23.6,0.07435874002920737
23.8,0.07484059650169228
24,0.07558042788781533
24.200000000000003,0.07670215006357456
24.400000000000002,0.07837898547996278
24.6,0.0808555712283913
24.8,0.08442221725169301
25,0.08945568334469584
25.200000000000003,0.09640687825096556
25.400000000000002,0.10584000290929042
25.6,0.11834813397010376
25.8,0.13455800231319973
26,0.15509614696440224
26.200000000000003,0.18056288619131874
26.400000000000002,0.21144354418287828
26.6,0.24800019138694687
26.8,0.29026471632325346
27,0.3379734891918021
27.200000000000003,0.3904712036388727
27.400000000000002,0.446797675454852
27.6,0.5056896879982428
27.8,0.5656156386462357
28,0.6248444794682168
28.200000000000003,0.6816050197079709
28.400000000000002,0.7343590688494142
28.6,0.7817580214991486
28.8,0.822807625643839
29,0.85700669071657
29.200000000000003,0.884507689945288
29.400000000000002,0.9057177242089146
29.6,0.9213791846447532
29.8,0.9320308073410749
30,0.9406060776947004
30.200000000000003,0.9462845107966702
30.400000000000002,0.9490661066469832
30.6,0.9513727457277842
30.8,0.9526345241935056
31,0.9524469295838818
31.200000000000003,0.9521599541567676
31.400000000000002,0.9525164178041574
31.6,0.9527056673050283
31.8,0.9529288916230323
32,0.9537484786835088
32.2,0.9547998989567354
32.4,0.9560807089791704
32.6,0.9574011445027346
32.800000000000004,0.9588628855204475
33,0.9604659320323109
33.2,0.9619446898395467
33.4,0.9633213052325362
33.6,0.9646626405528795
33.800000000000004,0.9659140413755305
34,0.9670264397547477
34.2,0.9680429980528413
34.4,0.9689637162698098
34.6,0.969788594405654
34.800000000000004,0.9705176324603754
35,0.9711508304339715
35.2,0.9715631377215809
35.4,0.9719658093189101
35.6,0.9723684809162391
35.800000000000004,0.9727711525135677
